Measurement Time,Port 1 MPS-1 Water Potential Potential kPa,Port 2 EC-5 Soil Moisture mﾳ/mﾳ VWC,Port 3 EC-5 Soil Moisture mﾳ/mﾳ VWC,Port 4 MPS-1 Water Potential Potential kPa
24 May 2012 12:00 PM,-36,0.23,0.338,-23
24 May 2012 12:30 PM,-36,0.229,0.338,-23
24 May 2012 01:00 PM,-36,0.226,0.337,-23
24 May 2012 01:30 PM,-37,0.224,0.337,-23
24 May 2012 02:00 PM,-37,0.222,0.336,-23
24 May 2012 02:30 PM,-38,0.22,0.335,-24
24 May 2012 03:00 PM,-39,0.219,0.335,-24
24 May 2012 03:30 PM,-39,0.218,0.335,-25
24 May 2012 04:00 PM,-40,0.216,0.335,-25
24 May 2012 04:30 PM,-41,0.214,0.334,-26
24 May 2012 05:00 PM,-41,0.213,0.333,-27
24 May 2012 05:30 PM,-42,0.212,0.332,-27
24 May 2012 06:00 PM,-42,0.212,0.332,-27
24 May 2012 06:30 PM,-42,0.21,0.332,-27
24 May 2012 07:00 PM,-42,0.21,0.332,-27
24 May 2012 07:30 PM,-43,0.21,0.332,-27
24 May 2012 08:00 PM,-43,0.21,0.331,-28
24 May 2012 08:30 PM,-43,0.21,0.331,-27
24 May 2012 09:00 PM,-43,0.21,0.33,-28
24 May 2012 09:30 PM,-43,0.21,0.33,-28
24 May 2012 10:00 PM,-43,0.209,0.329,-28
24 May 2012 10:30 PM,-43,0.209,0.328,-28
24 May 2012 11:00 PM,-43,0.209,0.328,-28
24 May 2012 11:30 PM,-43,0.209,0.328,-28
25 May 2012 12:00 AM,-43,0.209,0.328,-28
25 May 2012 12:30 AM,-43,0.209,0.327,-28
25 May 2012 01:00 AM,-43,0.208,0.327,-28
25 May 2012 01:30 AM,-43,0.208,0.326,-28
25 May 2012 02:00 AM,-44,0.208,0.326,-29
25 May 2012 02:30 AM,-44,0.208,0.326,-28
25 May 2012 03:00 AM,-44,0.207,0.326,-29
25 May 2012 03:30 AM,-44,0.207,0.325,-29
25 May 2012 04:00 AM,-44,0.207,0.325,-29
25 May 2012 04:30 AM,-44,0.207,0.325,-29
25 May 2012 05:00 AM,-44,0.207,0.324,-29
25 May 2012 05:30 AM,-44,0.207,0.324,-29
25 May 2012 06:00 AM,-45,0.207,0.324,-29
25 May 2012 06:30 AM,-45,0.207,0.323,-30
25 May 2012 07:00 AM,-45,0.206,0.323,-30
25 May 2012 07:30 AM,-45,0.206,0.322,-30
25 May 2012 08:00 AM,-45,0.205,0.322,-30
25 May 2012 08:30 AM,-46,0.204,0.321,-30
25 May 2012 09:00 AM,-46,0.203,0.321,-31
25 May 2012 09:30 AM,-46,0.202,0.321,-31
25 May 2012 10:00 AM,-47,0.2,0.321,-32
25 May 2012 10:30 AM,-48,0.199,0.321,-32
25 May 2012 11:00 AM,-48,0.197,0.321,-33
25 May 2012 11:30 AM,-49,0.196,0.32,-33
25 May 2012 12:00 PM,-49,0.194,0.32,-34
25 May 2012 12:30 PM,-49,0.192,0.319,-34
25 May 2012 01:00 PM,-50,0.191,0.318,-35
25 May 2012 01:30 PM,-51,0.189,0.318,-36
25 May 2012 02:00 PM,-51,0.187,0.318,-36
25 May 2012 02:30 PM,-52,0.186,0.318,-37
25 May 2012 03:00 PM,-52,0.185,0.317,-38
25 May 2012 03:30 PM,-53,0.185,0.316,-39
25 May 2012 04:00 PM,-53,0.183,0.316,-40
25 May 2012 04:30 PM,-54,0.183,0.315,-41
25 May 2012 05:00 PM,-55,0.181,0.315,-41
25 May 2012 05:30 PM,-55,0.181,0.315,-42
25 May 2012 06:00 PM,-55,0.179,0.315,-42
25 May 2012 06:30 PM,-55,0.179,0.315,-43
25 May 2012 07:00 PM,-56,0.179,0.315,-43
25 May 2012 07:30 PM,-56,0.179,0.314,-43
25 May 2012 08:00 PM,-56,0.179,0.313,-43
25 May 2012 08:30 PM,-57,0.179,0.313,-43
25 May 2012 09:00 PM,-57,0.179,0.313,-43
25 May 2012 09:30 PM,-57,0.179,0.312,-43
25 May 2012 10:00 PM,-57,0.179,0.311,-43
25 May 2012 10:30 PM,-57,0.179,0.311,-43
25 May 2012 11:00 PM,-57,0.179,0.311,-44
25 May 2012 11:30 PM,-57,0.179,0.311,-43
26 May 2012 12:00 AM,-57,0.179,0.31,-43
26 May 2012 12:30 AM,-57,0.179,0.31,-43
26 May 2012 01:00 AM,-57,0.179,0.31,-44
26 May 2012 01:30 AM,-57,0.179,0.31,-44
26 May 2012 02:00 AM,-57,0.179,0.31,-44
26 May 2012 02:30 AM,-57,0.179,0.309,-44
26 May 2012 03:00 AM,-57,0.179,0.309,-44
26 May 2012 03:30 AM,-57,0.179,0.308,-44
26 May 2012 04:00 AM,-57,0.179,0.308,-44
26 May 2012 04:30 AM,-57,0.179,0.308,-44
26 May 2012 05:00 AM,-57,0.179,0.307,-44
26 May 2012 05:30 AM,-57,0.179,0.307,-44
26 May 2012 06:00 AM,-57,0.178,0.307,-44
26 May 2012 06:30 AM,-57,0.178,0.306,-45
26 May 2012 07:00 AM,-57,0.178,0.306,-45
26 May 2012 07:30 AM,-58,0.178,0.306,-45
26 May 2012 08:00 AM,-58,0.178,0.305,-45
26 May 2012 08:30 AM,-58,0.178,0.305,-45
26 May 2012 09:00 AM,-58,0.177,0.304,-45
26 May 2012 09:30 AM,-58,0.176,0.304,-46
26 May 2012 10:00 AM,-59,0.175,0.304,-46
26 May 2012 10:30 AM,-59,0.175,0.304,-47
26 May 2012 11:00 AM,-60,0.174,0.304,-47
26 May 2012 11:30 AM,-60,0.173,0.304,-47
26 May 2012 12:00 PM,-61,0.172,0.304,-48
26 May 2012 12:30 PM,-61,0.171,0.303,-49
26 May 2012 01:00 PM,-62,0.169,0.302,-49
26 May 2012 01:30 PM,-63,0.168,0.302,-50
26 May 2012 02:00 PM,-63,0.168,0.302,-51
26 May 2012 02:30 PM,-64,0.166,0.301,-52
26 May 2012 03:00 PM,-64,0.166,0.301,-52
26 May 2012 03:30 PM,-64,0.165,0.301,-53
26 May 2012 04:00 PM,-65,0.164,0.3,-54
