Measurement Time,kPa Potential,m³/m³ VWC,m³/m³ VWC,kPa Potential,None
7/19/2014 3:00 PM,-582,0.027,0.076,-106,
7/19/2014 4:00 PM,-582,0.027,0.073,-108,
7/19/2014 5:00 PM,-588,0.028,0.014,-115,
7/19/2014 6:00 PM,-588,0.028,-0.001,-115,
7/19/2014 7:00 PM,-588,0.028,-0.003,-116,
7/19/2014 8:00 PM,-582,0.028,-0.014,-117,
7/19/2014 9:00 PM,-582,0.028,-0.024,-117,
7/19/2014 10:00 PM,-582,0.028,-0.036,-118,
7/19/2014 11:00 PM,-582,0.028,-0.038,-118,
7/20/2014 12:00 AM,-582,0.028,-0.036,-118,
7/20/2014 1:00 AM,-582,0.028,-0.038,-118,
7/20/2014 2:00 AM,-582,0.028,-0.040,-117,
7/20/2014 3:00 AM,-582,0.027,-0.040,-117,
7/20/2014 4:00 AM,-582,0.027,-0.044,-117,
7/20/2014 5:00 AM,-588,0.027,-0.047,-117,
7/20/2014 6:00 AM,-582,0.027,-0.048,-117,
7/20/2014 7:00 AM,-582,0.027,-0.050,-117,
7/20/2014 8:00 AM,-582,0.027,-0.053,-118,
7/20/2014 9:00 AM,-582,0.026,-0.056,-118,
7/20/2014 10:00 AM,-582,0.026,-0.059,-117,
7/20/2014 11:00 AM,-582,0.026,-0.061,-117,
7/20/2014 12:00 PM,-575,0.026,-0.061,-117,
7/20/2014 1:00 PM,-569,0.026,-0.062,-118,
7/20/2014 2:00 PM,-569,0.026,-0.059,-119,
7/20/2014 3:00 PM,-569,0.027,-0.063,-122,
7/20/2014 4:00 PM,-575,0.027,-0.061,-127,
7/20/2014 5:00 PM,-575,0.028,-0.061,-130,
7/20/2014 6:00 PM,-575,0.028,-0.064,-131,
7/20/2014 7:00 PM,-569,0.028,-0.061,-131,
7/20/2014 8:00 PM,-569,0.028,-0.057,-131,
7/20/2014 9:00 PM,-569,0.028,-0.049,-130,
7/20/2014 10:00 PM,-569,0.028,-0.047,-131,
7/20/2014 11:00 PM,-569,0.028,-0.043,-131,
7/21/2014 12:00 AM,-569,0.028,-0.044,-131,
7/21/2014 1:00 AM,-569,0.028,-0.045,-132,
7/21/2014 2:00 AM,-569,0.028,-0.047,-132,
7/21/2014 3:00 AM,-569,0.028,-0.047,-132,
7/21/2014 4:00 AM,-569,0.028,-0.049,-132,
7/21/2014 5:00 AM,-569,0.028,-0.050,-132,
7/21/2014 6:00 AM,-575,0.028,-0.050,-133,
7/21/2014 7:00 AM,-569,0.028,-0.053,-133,
7/21/2014 8:00 AM,-575,0.027,-0.053,-133,
7/21/2014 9:00 AM,-575,0.027,-0.053,-135,
7/21/2014 10:00 AM,-575,0.027,-0.053,-136,
7/21/2014 11:00 AM,-575,0.027,-0.057,-135,
7/21/2014 12:00 PM,-569,0.027,-0.060,-136,
7/21/2014 1:00 PM,-563,0.027,-0.059,-135,
7/21/2014 2:00 PM,-569,0.027,-0.054,-136,
7/21/2014 3:00 PM,-575,0.027,-0.056,-95,
