Measurement Time,m³/m³ VWC,Potential kPa,Potential kPa,m³/m³ VWC,None
4/10/2011 1:30 PM,0.073,-431,-690,0.057,
4/10/2011 2:00 PM,0.073,-431,-690,0.057,
4/10/2011 2:30 PM,0.073,-431,-690,0.057,
4/10/2011 3:00 PM,0.074,-431,-690,0.057,
4/10/2011 3:30 PM,0.074,-431,-690,0.057,
4/10/2011 4:00 PM,0.074,-431,-690,0.058,
4/10/2011 4:30 PM,0.074,-431,-690,0.058,
4/10/2011 5:00 PM,0.074,-435,-690,0.058,
4/10/2011 5:30 PM,0.074,-435,-690,0.058,
4/10/2011 6:00 PM,0.074,-435,-690,0.058,
4/10/2011 6:30 PM,0.074,-439,-690,0.058,
4/10/2011 7:00 PM,0.074,-439,-690,0.057,
4/10/2011 7:30 PM,0.074,-444,-690,0.057,
4/10/2011 8:00 PM,0.074,-448,-690,0.057,
4/10/2011 8:30 PM,0.074,-448,-697,0.057,
4/10/2011 9:00 PM,0.074,-453,-697,0.057,
4/10/2011 9:30 PM,0.074,-453,-697,0.057,
4/10/2011 10:00 PM,0.074,-458,-697,0.057,
4/10/2011 10:30 PM,0.074,-462,-697,0.057,
4/10/2011 11:00 PM,0.074,-462,-697,0.057,
4/10/2011 11:30 PM,0.074,-467,-697,0.056,
4/11/2011 12:00 AM,0.074,-467,-697,0.056,
4/11/2011 12:30 AM,0.074,-472,-705,0.056,
4/11/2011 1:00 AM,0.073,-472,-705,0.056,
4/11/2011 1:30 AM,0.073,-467,-705,0.055,
4/11/2011 2:00 AM,0.073,-467,-705,0.055,
4/11/2011 2:30 AM,0.073,-472,-705,0.055,
4/11/2011 3:00 AM,0.073,-472,-705,0.055,
4/11/2011 3:30 AM,0.073,-472,-705,0.054,
4/11/2011 4:00 AM,0.072,-472,-705,0.054,
4/11/2011 4:30 AM,0.072,-472,-705,0.054,
4/11/2011 5:00 AM,0.072,-472,-705,0.054,
4/11/2011 5:30 AM,0.072,-477,-712,0.054,
4/11/2011 6:00 AM,0.072,-477,-712,0.054,
4/11/2011 6:30 AM,0.072,-477,-712,0.054,
4/11/2011 7:00 AM,0.072,-477,-712,0.054,
4/11/2011 7:30 AM,0.072,-482,-712,0.054,
4/11/2011 8:00 AM,0.072,-482,-712,0.054,
4/11/2011 8:30 AM,0.072,-482,-712,0.053,
4/11/2011 9:00 AM,0.072,-482,-712,0.053,
4/11/2011 9:30 AM,0.072,-477,-712,0.053,
4/11/2011 10:00 AM,0.071,-477,-712,0.053,
4/11/2011 10:30 AM,0.071,-472,-712,0.053,
4/11/2011 11:00 AM,0.071,-472,-712,0.053,
4/11/2011 11:30 AM,0.071,-467,-712,0.053,
4/11/2011 12:00 PM,0.071,-462,-712,0.053,
