Measurement Time,m³/m³ VWC,kPa Potential,kPa Potential,m³/m³ VWC,None
4/6/2014 10:00 AM,0.127,-558,-316,0.145,
4/6/2014 11:00 AM,0.127,-552,-316,0.145,
4/6/2014 12:00 PM,0.127,-552,-316,0.145,
4/6/2014 1:00 PM,0.127,-546,-313,0.145,
4/6/2014 2:00 PM,0.127,-540,-310,0.145,
4/6/2014 3:00 PM,0.127,-535,-304,0.145,
4/6/2014 4:00 PM,0.127,-529,-298,0.147,
4/6/2014 5:00 PM,0.127,-524,-292,0.147,
4/6/2014 6:00 PM,0.127,-524,-290,0.147,
4/6/2014 7:00 PM,0.127,-518,-287,0.147,
4/6/2014 8:00 PM,0.127,-524,-287,0.147,
4/6/2014 9:00 PM,0.127,-524,-290,0.147,
4/6/2014 10:00 PM,0.127,-524,-292,0.147,
4/6/2014 11:00 PM,0.127,-529,-292,0.147,
4/7/2014 12:00 AM,0.127,-535,-298,0.147,
4/7/2014 1:00 AM,0.127,-535,-298,0.146,
4/7/2014 2:00 AM,0.127,-535,-301,0.146,
4/7/2014 3:00 AM,0.127,-540,-301,0.145,
4/7/2014 4:00 AM,0.127,-546,-301,0.145,
4/7/2014 5:00 AM,0.126,-546,-304,0.145,
4/7/2014 6:00 AM,0.126,-546,-307,0.145,
4/7/2014 7:00 AM,0.126,-552,-313,0.145,
4/7/2014 8:00 AM,0.125,-558,-316,0.145,
4/7/2014 9:00 AM,0.125,-558,-316,0.145,
4/7/2014 10:00 AM,0.125,-563,-316,0.144,
4/7/2014 11:00 AM,0.125,-558,-316,0.144,
4/7/2014 12:00 PM,0.125,-558,-313,0.144,
4/7/2014 1:00 PM,0.125,-552,-313,0.144,
4/7/2014 2:00 PM,0.125,-546,-307,0.144,
4/7/2014 3:00 PM,0.125,-540,-304,0.144,
4/7/2014 4:00 PM,0.125,-535,-301,0.145,
4/7/2014 5:00 PM,0.125,-535,-298,0.145,
4/7/2014 6:00 PM,0.126,-529,-298,0.145,
4/7/2014 7:00 PM,0.126,-529,-292,0.146,
4/7/2014 8:00 PM,0.127,-529,-292,0.147,
4/7/2014 9:00 PM,0.127,-535,-295,0.146,
4/7/2014 10:00 PM,0.127,-535,-298,0.146,
4/7/2014 11:00 PM,0.127,-535,-301,0.145,
4/8/2014 12:00 AM,0.127,-540,-304,0.145,
4/8/2014 1:00 AM,0.127,-546,-307,0.145,
4/8/2014 2:00 AM,0.127,-552,-307,0.145,
4/8/2014 3:00 AM,0.126,-558,-310,0.144,
4/8/2014 4:00 AM,0.126,-563,-313,0.144,
4/8/2014 5:00 AM,0.125,-563,-316,0.144,
4/8/2014 6:00 AM,0.125,-563,-316,0.144,
4/8/2014 7:00 AM,0.125,-569,-319,0.143,
4/8/2014 8:00 AM,0.124,-575,-322,0.142,
4/8/2014 9:00 AM,0.124,-575,-322,0.142,
4/8/2014 10:00 AM,0.124,-575,-322,0.142,
4/8/2014 11:00 AM,0.123,-575,-322,0.142,
4/8/2014 12:00 PM,0.123,-575,-319,0.142,
4/8/2014 1:00 PM,0.123,-563,-316,0.142,
4/8/2014 2:00 PM,0.123,-563,-310,0.142,
4/8/2014 3:00 PM,0.124,-558,-304,0.143,
4/8/2014 4:00 PM,0.124,-540,-301,0.144,
4/8/2014 5:00 PM,0.125,-529,-292,0.145,
4/8/2014 6:00 PM,0.125,-529,-287,0.145,
4/8/2014 7:00 PM,0.125,-524,-284,0.145,
4/8/2014 8:00 PM,0.125,-529,-284,0.146,
4/8/2014 9:00 PM,0.126,-529,-287,0.146,
4/8/2014 10:00 PM,0.127,-529,-290,0.147,
4/8/2014 11:00 PM,0.126,-535,-290,0.146,
4/9/2014 12:00 AM,0.126,-540,-292,0.145,
4/9/2014 1:00 AM,0.126,-540,-295,0.145,
4/9/2014 2:00 AM,0.126,-546,-298,0.145,
4/9/2014 3:00 AM,0.125,-552,-301,0.145,
4/9/2014 4:00 AM,0.125,-558,-304,0.144,
4/9/2014 5:00 AM,0.125,-563,-307,0.144,
4/9/2014 6:00 AM,0.125,-563,-310,0.144,
4/9/2014 7:00 AM,0.125,-569,-313,0.144,
4/9/2014 8:00 AM,0.124,-569,-316,0.143,
4/9/2014 9:00 AM,0.124,-569,-319,0.143,
4/9/2014 10:00 AM,0.123,-569,-313,0.142,
4/9/2014 11:00 AM,0.123,-569,-313,0.142,
4/9/2014 12:00 PM,0.123,-563,-313,0.142,
4/9/2014 1:00 PM,0.123,-558,-310,0.142,
4/9/2014 2:00 PM,0.123,-552,-301,0.142,
4/9/2014 3:00 PM,0.123,-540,-295,0.144,
4/9/2014 4:00 PM,0.123,-529,-290,0.144,
4/9/2014 5:00 PM,0.124,-524,-287,0.145,
4/9/2014 6:00 PM,0.125,-518,-279,0.146,
4/9/2014 7:00 PM,0.125,-513,-279,0.147,
4/9/2014 8:00 PM,0.125,-518,-279,0.147,
4/9/2014 9:00 PM,0.126,-518,-281,0.147,
4/9/2014 10:00 PM,0.126,-524,-281,0.147,
4/9/2014 11:00 PM,0.126,-524,-287,0.146,
4/10/2014 12:00 AM,0.126,-529,-290,0.146,
4/10/2014 1:00 AM,0.125,-535,-290,0.145,
4/10/2014 2:00 AM,0.125,-535,-292,0.145,
4/10/2014 3:00 AM,0.125,-540,-295,0.145,
4/10/2014 4:00 AM,0.125,-540,-298,0.145,
4/10/2014 5:00 AM,0.125,-546,-298,0.144,
