Measurement Time,m³/m³ VWC,m³/m³ VWC,kPa Potential,°C Temp,kPa Potential,°C Temp,None
5/21/2013 4:00 PM,0.035,0.101,-2737.3,24.3,-4614.5,18.1,
5/21/2013 5:00 PM,0.035,0.101,-2571.1,25.0,-4662.6,18.5,
5/21/2013 6:00 PM,0.035,0.101,-2395.7,25.5,-3970.3,19.1,
5/21/2013 7:00 PM,0.036,0.101,-2360.1,25.6,-3686.6,19.5,
5/21/2013 8:00 PM,0.036,0.101,-2375.9,25.5,-3576.2,19.8,
5/21/2013 9:00 PM,0.036,0.102,-2435.7,25.2,-3562.3,19.8,
5/21/2013 10:00 PM,0.037,0.102,-2571.1,24.8,-3550.0,19.7,
5/21/2013 11:00 PM,0.036,0.102,-2900.9,24.3,-3622.6,19.5,
5/22/2013 12:00 AM,0.036,0.102,-3196.1,23.7,-3837.3,19.2,
5/22/2013 1:00 AM,0.036,0.102,-3482.8,23.0,-4176.6,18.8,
5/22/2013 2:00 AM,0.036,0.102,-3947.5,22.4,-4544.9,18.5,
5/22/2013 3:00 AM,0.035,0.101,-4638.0,21.8,-5000.6,18.1,
5/22/2013 4:00 AM,0.035,0.101,-5001.8,21.2,-5331.2,17.7,
5/22/2013 5:00 AM,0.035,0.101,-5422.8,20.6,-5662.7,17.4,
5/22/2013 6:00 AM,0.035,0.101,-6315.8,20.1,-6399.2,17.0,
5/22/2013 7:00 AM,0.035,0.101,-7786.2,19.6,-7160.2,16.7,
5/22/2013 8:00 AM,0.035,0.101,-8748.3,19.0,-8183.3,16.4,
5/22/2013 9:00 AM,0.035,0.101,-9757.2,18.6,-9101.8,16.1,
5/22/2013 10:00 AM,0.034,0.101,-10822.5,18.3,-9663.3,15.8,
5/22/2013 11:00 AM,0.035,0.100,-10486.4,18.3,-10299.7,15.6,
5/22/2013 12:00 PM,0.034,0.100,-9532.9,18.6,-10026.0,15.7,
5/22/2013 1:00 PM,0.034,0.100,-8553.2,19.3,-9186.0,16.0,
5/22/2013 2:00 PM,0.034,0.100,-6179.1,20.5,-7923.7,16.5,
5/22/2013 3:00 PM,0.035,0.101,-4197.8,22.1,-6366.9,17.1,
5/22/2013 4:00 PM,0.035,0.101,-3205.7,23.9,-5378.1,17.8,
5/22/2013 5:00 PM,0.035,0.101,-2550.5,25.1,-4646.5,18.4,
5/22/2013 6:00 PM,0.035,0.101,-2355.7,25.7,-4044.1,19.0,
5/22/2013 7:00 PM,0.035,0.101,-2290.0,25.8,-3696.8,19.5,
5/22/2013 8:00 PM,0.035,0.101,-2299.5,25.8,-3529.6,19.8,
5/22/2013 9:00 PM,0.035,0.102,-2329.3,25.6,-3525.5,19.9,
