MDS,Port 1,Port 2,Port 3,Port 4,Port 5
10/6/2012 12:30 PM,-17,0.212,-38,0.269,
10/6/2012 1:00 PM,-17,0.21,-39,0.268,
10/6/2012 1:30 PM,-17,0.207,-40,0.266,
10/6/2012 2:00 PM,-17,0.206,-40,0.264,
10/6/2012 2:30 PM,-18,0.205,-41,0.261,
10/6/2012 3:00 PM,-18,0.203,-42,0.259,
10/6/2012 3:30 PM,-18,0.202,-43,0.258,
10/6/2012 4:00 PM,-18,0.201,-43,0.257,
10/6/2012 4:30 PM,-18,0.2,-44,0.256,
10/6/2012 5:00 PM,-18,0.198,-44,0.254,
10/6/2012 5:30 PM,-18,0.198,-45,0.254,
10/6/2012 6:00 PM,-18,0.197,-46,0.253,
10/6/2012 6:30 PM,-18,0.196,-46,0.253,
10/6/2012 7:00 PM,-18,0.196,-47,0.253,
10/6/2012 7:30 PM,-18,0.196,-47,0.252,
10/6/2012 8:00 PM,-18,0.195,-48,0.251,
10/6/2012 8:30 PM,-19,0.195,-48,0.251,
10/6/2012 9:00 PM,-19,0.194,-48,0.251,
10/6/2012 9:30 PM,-19,0.193,-48,0.25,
10/6/2012 10:00 PM,-19,0.192,-48,0.25,
10/6/2012 10:30 PM,-19,0.192,-48,0.25,
10/6/2012 11:00 PM,-19,0.191,-48,0.249,
10/6/2012 11:30 PM,-19,0.191,-48,0.249,
10/7/2012 12:00 AM,-19,0.191,-49,0.248,
10/7/2012 12:30 AM,-19,0.19,-48,0.248,
10/7/2012 1:00 AM,-19,0.19,-48,0.247,
10/7/2012 1:30 AM,-19,0.19,-49,0.247,
10/7/2012 2:00 AM,-19,0.19,-49,0.247,
10/7/2012 2:30 AM,-19,0.189,-49,0.247,
10/7/2012 3:00 AM,-19,0.189,-49,0.247,
10/7/2012 3:30 AM,-19,0.188,-49,0.246,
10/7/2012 4:00 AM,-19,0.188,-49,0.246,
10/7/2012 4:30 AM,-19,0.187,-49,0.245,
10/7/2012 5:00 AM,-19,0.187,-50,0.245,
10/7/2012 5:30 AM,-19,0.187,-50,0.244,
10/7/2012 6:00 AM,-19,0.186,-50,0.243,
10/7/2012 6:30 AM,-19,0.186,-50,0.244,
10/7/2012 7:00 AM,-19,0.186,-50,0.243,
10/7/2012 7:30 AM,-19,0.185,-50,0.243,
10/7/2012 8:00 AM,-20,0.185,-50,0.242,
10/7/2012 8:30 AM,-20,0.185,-51,0.242,
10/7/2012 9:00 AM,-20,0.185,-51,0.242,
10/7/2012 9:30 AM,-20,0.185,-51,0.241,
10/7/2012 10:00 AM,-20,0.185,-50,0.241,
10/7/2012 10:30 AM,-20,0.185,-50,0.241,
10/7/2012 11:00 AM,-20,0.185,-50,0.24,
10/7/2012 11:30 AM,-20,0.185,-50,0.239,
10/7/2012 12:00 PM,-20,0.184,-51,0.238,
10/7/2012 12:30 PM,-20,0.183,-51,0.237,
10/7/2012 1:00 PM,-20,0.183,-51,0.236,
10/7/2012 1:30 PM,-20,0.182,-52,0.236,
10/7/2012 2:00 PM,-20,0.181,-52,0.233,
10/7/2012 2:30 PM,-20,0.179,-53,0.231,
10/7/2012 3:00 PM,-20,0.179,-53,0.23,
10/7/2012 3:30 PM,-21,0.179,-54,0.229,
10/7/2012 4:00 PM,-21,0.178,-55,0.229,
10/7/2012 4:30 PM,-21,0.178,-55,0.227,
10/7/2012 5:00 PM,-21,0.177,-56,0.227,
