PLOT,NORTHING,EASTING,long,lat
OG14,663288,3239657,-103.31900000000,29.27530000000
plot10,665482,3238499,-103.29700000000,29.26460000000
plot11,665695,3238347,-103.29500000000,29.26320000000
plot111,665820,3236711,-103.29400000000,29.24840000000
plot14,665401,3237919,-103.29800000000,29.25930000000
plot17,665187,3238046,-103.30000000000,29.26050000000
plot32,665253,3235356,-103.30000000000,29.23620000000
plot33,665374,3235593,-103.29800000000,29.23830000000
plot4,664995,3238180,-103.30200000000,29.26170000000
plot49,666033,3235317,-103.29200000000,29.23580000000
plot98,665173,3236581,-103.30000000000,29.24730000000
plot99,665303,3236794,-103.29900000000,29.24920000000
