PLOT,NORTHING,EASTING,jude,long,lat
D106,584539,3397019,200,-104.11700000000,30.70300000000
D125,578535,3391024,61,-104.18000000000,30.64930000000
D126,579139,3391022,95,-104.17400000000,30.64930000000
D18,580963,3392228,135,-104.15500000000,30.66000000000
D19,581542,3392823,63,-104.14900000000,30.66530000000
D20,582150,3393419,107,-104.14200000000,30.67070000000
D33,583339,3394015,105,-104.13000000000,30.67600000000
D34,583933,3394023,106,-104.12400000000,30.67600000000
D35,583937,3394622,113,-104.12400000000,30.68140000000
D36,583337,3394618,152,-104.13000000000,30.68140000000
D37,583339,3395223,177,-104.13000000000,30.68690000000
D38,583941,3395228,73,-104.12400000000,30.68690000000
D4,582761,3394015,125,-104.13600000000,30.67600000000
D40,582749,3394633,75,-104.13600000000,30.68160000000
D43,583938,3396432,107,-104.12400000000,30.69770000000
D44,583340,3395824,97,-104.13000000000,30.69230000000
D45,583945,3395822,100,-104.12400000000,30.69220000000
D48,582735,3395828,117,-104.13600000000,30.69240000000
D52,579745,3392220,108,-104.16800000000,30.66000000000
D8,579763,3391574,80,-104.16700000000,30.65420000000
D86,579145,3392821,115,-104.17400000000,30.66550000000
