1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0200000014944E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sun May 15 21:43:01 CDT 2011
Mission Sample Count:  4002
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun May 15 21:43:01 CDT 2011
Total Mission Samples:  4002
Total Device Samples:  10735
Temperature Logging:  disabled
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/15/11 9:43:01 PM,%RH,40.991
5/15/11 10:43:01 PM,%RH,47.079
5/15/11 11:43:01 PM,%RH,50.075
5/16/11 12:43:01 AM,%RH,51.264
5/16/11 1:43:01 AM,%RH,51.857
5/16/11 2:43:01 AM,%RH,52.449
5/16/11 3:43:01 AM,%RH,57.716
5/16/11 4:43:01 AM,%RH,62.88
5/16/11 5:43:01 AM,%RH,66.825
5/16/11 6:43:01 AM,%RH,71.258
5/16/11 7:43:01 AM,%RH,51.264
5/16/11 8:43:01 AM,%RH,68.497
5/16/11 9:43:01 AM,%RH,55.388
5/16/11 10:43:01 AM,%RH,39.14
5/16/11 11:43:01 AM,%RH,29.075
5/16/11 12:43:01 PM,%RH,39.14
5/16/11 1:43:01 PM,%RH,31.622
5/16/11 2:43:01 PM,%RH,33.519
5/16/11 3:43:01 PM,%RH,24.569
5/16/11 4:43:01 PM,%RH,20.001
5/16/11 5:43:01 PM,%RH,21.966
5/16/11 6:43:01 PM,%RH,18.684
5/16/11 7:43:01 PM,%RH,37.9
5/16/11 8:43:01 PM,%RH,52.449
5/16/11 9:43:01 PM,%RH,51.857
5/16/11 10:43:01 PM,%RH,54.216
5/16/11 11:43:01 PM,%RH,62.88
5/17/11 12:43:01 AM,%RH,61.741
5/17/11 1:43:01 AM,%RH,67.384
5/17/11 2:43:01 AM,%RH,67.941
5/17/11 3:43:01 AM,%RH,66.825
5/17/11 4:43:01 AM,%RH,64.014
5/17/11 5:43:01 AM,%RH,58.872
5/17/11 6:43:01 AM,%RH,65.705
5/17/11 7:43:01 AM,%RH,52.449
5/17/11 8:43:01 AM,%RH,25.217
5/17/11 9:43:01 AM,%RH,13.367
5/17/11 10:43:01 AM,%RH,13.367
5/17/11 11:43:01 AM,%RH,13.367
5/17/11 12:43:01 PM,%RH,9.326
5/17/11 1:43:01 PM,%RH,9.326
5/17/11 2:43:01 PM,%RH,12.025
5/17/11 3:43:01 PM,%RH,10.678
5/17/11 4:43:01 PM,%RH,7.968
5/17/11 5:43:01 PM,%RH,5.239
5/17/11 6:43:01 PM,%RH,5.239
5/17/11 7:43:01 PM,%RH,4.553
5/17/11 8:43:01 PM,%RH,5.923
5/17/11 9:43:01 PM,%RH,7.968
5/17/11 10:43:01 PM,%RH,7.288
5/17/11 11:43:01 PM,%RH,7.968
5/18/11 12:43:01 AM,%RH,8.648
5/18/11 1:43:01 AM,%RH,7.288
5/18/11 2:43:01 AM,%RH,10.003
5/18/11 3:43:01 AM,%RH,13.367
5/18/11 4:43:01 AM,%RH,18.024
5/18/11 5:43:01 AM,%RH,20.001
5/18/11 6:43:01 AM,%RH,20.001
5/18/11 7:43:01 AM,%RH,19.343
5/18/11 8:43:01 AM,%RH,19.343
5/18/11 9:43:01 AM,%RH,8.648
5/18/11 10:43:01 AM,%RH,10.003
5/18/11 11:43:01 AM,%RH,10.678
5/18/11 12:43:01 PM,%RH,12.025
5/18/11 1:43:01 PM,%RH,10.003
5/18/11 2:43:01 PM,%RH,8.648
5/18/11 3:43:01 PM,%RH,5.923
5/18/11 4:43:01 PM,%RH,7.968
5/18/11 5:43:01 PM,%RH,10.003
5/18/11 6:43:01 PM,%RH,9.326
5/18/11 7:43:01 PM,%RH,12.025
5/18/11 8:43:01 PM,%RH,14.704
5/18/11 9:43:01 PM,%RH,14.036
5/18/11 10:43:01 PM,%RH,14.704
5/18/11 11:43:01 PM,%RH,16.036
5/19/11 12:43:01 AM,%RH,14.704
5/19/11 1:43:01 AM,%RH,15.371
5/19/11 2:43:01 AM,%RH,17.363
5/19/11 3:43:01 AM,%RH,21.313
5/19/11 4:43:01 AM,%RH,22.619
5/19/11 5:43:01 AM,%RH,22.619
5/19/11 6:43:01 AM,%RH,26.508
5/19/11 7:43:01 AM,%RH,27.152
5/19/11 8:43:01 AM,%RH,28.435
5/19/11 9:43:01 AM,%RH,19.343
5/19/11 10:43:01 AM,%RH,20.001
5/19/11 11:43:01 AM,%RH,18.684
5/19/11 12:43:01 PM,%RH,16.7
5/19/11 1:43:01 PM,%RH,15.371
5/19/11 2:43:01 PM,%RH,12.025
5/19/11 3:43:01 PM,%RH,10.003
5/19/11 4:43:01 PM,%RH,9.326
5/19/11 5:43:01 PM,%RH,12.025
5/19/11 6:43:01 PM,%RH,10.003
5/19/11 7:43:01 PM,%RH,13.367
5/19/11 8:43:01 PM,%RH,14.704
5/19/11 9:43:01 PM,%RH,14.704
5/19/11 10:43:01 PM,%RH,14.704
5/19/11 11:43:01 PM,%RH,16.036
5/20/11 12:43:01 AM,%RH,18.684
5/20/11 1:43:01 AM,%RH,23.27
5/20/11 2:43:01 AM,%RH,23.92
5/20/11 3:43:01 AM,%RH,24.569
5/20/11 4:43:01 AM,%RH,25.217
5/20/11 5:43:01 AM,%RH,30.351
5/20/11 6:43:01 AM,%RH,32.888
5/20/11 7:43:01 AM,%RH,35.404
5/20/11 8:43:01 AM,%RH,34.148
5/20/11 9:43:01 AM,%RH,24.569
5/20/11 10:43:01 AM,%RH,22.619
5/20/11 11:43:01 AM,%RH,24.569
5/20/11 12:43:01 PM,%RH,23.92
5/20/11 1:43:01 PM,%RH,22.619
5/20/11 2:43:01 PM,%RH,21.313
5/20/11 3:43:01 PM,%RH,16.036
5/20/11 4:43:01 PM,%RH,16.7
5/20/11 5:43:01 PM,%RH,16.7
5/20/11 6:43:01 PM,%RH,16.036
5/20/11 7:43:01 PM,%RH,18.024
5/20/11 8:43:01 PM,%RH,20.657
5/20/11 9:43:01 PM,%RH,22.619
5/20/11 10:43:01 PM,%RH,25.863
5/20/11 11:43:01 PM,%RH,27.794
5/21/11 12:43:01 AM,%RH,30.987
5/21/11 1:43:01 AM,%RH,34.148
5/21/11 2:43:01 AM,%RH,36.655
5/21/11 3:43:01 AM,%RH,38.521
5/21/11 4:43:01 AM,%RH,36.03
5/21/11 5:43:01 AM,%RH,38.521
5/21/11 6:43:01 AM,%RH,37.9
5/21/11 7:43:01 AM,%RH,28.435
5/21/11 8:43:01 AM,%RH,20.001
5/21/11 9:43:01 AM,%RH,10.678
5/21/11 10:43:01 AM,%RH,10.678
5/21/11 11:43:01 AM,%RH,14.704
5/21/11 12:43:01 PM,%RH,14.704
5/21/11 1:43:01 PM,%RH,12.025
5/21/11 2:43:01 PM,%RH,12.025
5/21/11 3:43:01 PM,%RH,7.288
5/21/11 4:43:01 PM,%RH,7.288
5/21/11 5:43:01 PM,%RH,8.648
5/21/11 6:43:01 PM,%RH,5.923
5/21/11 7:43:01 PM,%RH,10.003
5/21/11 8:43:01 PM,%RH,14.036
5/21/11 9:43:01 PM,%RH,18.684
5/21/11 10:43:01 PM,%RH,19.343
5/21/11 11:43:01 PM,%RH,21.313
5/22/11 12:43:01 AM,%RH,19.343
5/22/11 1:43:01 AM,%RH,20.001
5/22/11 2:43:01 AM,%RH,18.024
5/22/11 3:43:01 AM,%RH,33.519
5/22/11 4:43:01 AM,%RH,32.888
