1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A900000014C0E241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri May 13 08:52:01 CDT 2011
Mission Sample Count:  4065
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri May 13 08:52:01 CDT 2011
Total Mission Samples:  4065
Total Device Samples:  10877
Temperature Logging:  disabled
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/13/11 8:52:01 AM,%RH,7.448
5/13/11 9:52:01 AM,%RH,6.766
5/13/11 10:52:01 AM,%RH,10.162
5/13/11 11:52:01 AM,%RH,8.128
5/13/11 12:52:01 PM,%RH,8.128
5/13/11 1:52:01 PM,%RH,10.838
5/13/11 2:52:01 PM,%RH,10.162
5/13/11 3:52:01 PM,%RH,8.807
5/13/11 4:52:01 PM,%RH,9.485
5/13/11 5:52:01 PM,%RH,10.838
5/13/11 6:52:01 PM,%RH,15.53
5/13/11 7:52:01 PM,%RH,17.522
5/13/11 8:52:01 PM,%RH,18.844
5/13/11 9:52:01 PM,%RH,22.779
5/13/11 10:52:01 PM,%RH,28.595
5/13/11 11:52:01 PM,%RH,24.08
5/14/11 12:52:01 AM,%RH,23.43
5/14/11 1:52:01 AM,%RH,26.023
5/14/11 2:52:01 AM,%RH,27.954
5/14/11 3:52:01 AM,%RH,29.235
5/14/11 4:52:01 AM,%RH,28.595
5/14/11 5:52:01 AM,%RH,34.308
5/14/11 6:52:01 AM,%RH,39.3
5/14/11 7:52:01 AM,%RH,41.765
5/14/11 8:52:01 AM,%RH,44.819
5/14/11 9:52:01 AM,%RH,38.68
5/14/11 10:52:01 AM,%RH,39.3
5/14/11 11:52:01 AM,%RH,41.151
5/14/11 12:52:01 PM,%RH,36.19
5/14/11 1:52:01 PM,%RH,34.936
5/14/11 2:52:01 PM,%RH,31.147
5/14/11 3:52:01 PM,%RH,29.873
5/14/11 4:52:01 PM,%RH,31.147
5/14/11 5:52:01 PM,%RH,32.415
5/14/11 6:52:01 PM,%RH,34.936
5/14/11 7:52:01 PM,%RH,40.535
5/14/11 8:52:01 PM,%RH,49.638
5/14/11 9:52:01 PM,%RH,56.131
5/14/11 10:52:01 PM,%RH,58.454
5/14/11 11:52:01 PM,%RH,57.295
5/15/11 12:52:01 AM,%RH,64.738
5/15/11 1:52:01 AM,%RH,61.33
5/15/11 2:52:01 AM,%RH,65.302
5/15/11 3:52:01 AM,%RH,70.868
5/15/11 4:52:01 AM,%RH,77.38
5/15/11 5:52:01 AM,%RH,78.448
5/15/11 6:52:01 AM,%RH,84.228
5/15/11 7:52:01 AM,%RH,82.667
5/15/11 8:52:01 AM,%RH,80.567
5/15/11 9:52:01 AM,%RH,69.765
5/15/11 10:52:01 AM,%RH,58.454
5/15/11 11:52:01 AM,%RH,49.638
5/15/11 12:52:01 PM,%RH,45.426
5/15/11 1:52:01 PM,%RH,38.06
5/15/11 2:52:01 PM,%RH,38.06
5/15/11 3:52:01 PM,%RH,28.595
5/15/11 4:52:01 PM,%RH,33.047
5/15/11 5:52:01 PM,%RH,33.047
5/15/11 6:52:01 PM,%RH,38.06
5/15/11 7:52:01 PM,%RH,41.151
5/15/11 8:52:01 PM,%RH,47.238
5/15/11 9:52:01 PM,%RH,45.426
5/15/11 10:52:01 PM,%RH,48.441
5/15/11 11:52:01 PM,%RH,57.876
5/16/11 12:52:01 AM,%RH,50.235
5/16/11 1:52:01 AM,%RH,57.876
5/16/11 2:52:01 AM,%RH,54.962
5/16/11 3:52:01 AM,%RH,56.714
5/16/11 4:52:01 AM,%RH,53.199
5/16/11 5:52:01 AM,%RH,52.017
5/16/11 6:52:01 AM,%RH,46.635
5/16/11 7:52:01 AM,%RH,48.441
5/16/11 8:52:01 AM,%RH,37.438
5/16/11 9:52:01 AM,%RH,32.415
5/16/11 10:52:01 AM,%RH,31.147
5/16/11 11:52:01 AM,%RH,31.147
5/16/11 12:52:01 PM,%RH,36.814
5/16/11 1:52:01 PM,%RH,31.147
5/16/11 2:52:01 PM,%RH,29.873
5/16/11 3:52:01 PM,%RH,22.779
5/16/11 4:52:01 PM,%RH,23.43
5/16/11 5:52:01 PM,%RH,18.844
5/16/11 6:52:01 PM,%RH,19.503
5/16/11 7:52:01 PM,%RH,46.635
5/16/11 8:52:01 PM,%RH,58.454
5/16/11 9:52:01 PM,%RH,65.302
5/16/11 10:52:01 PM,%RH,51.424
5/16/11 11:52:01 PM,%RH,54.376
5/17/11 12:52:01 AM,%RH,52.608
5/17/11 1:52:01 AM,%RH,53.788
5/17/11 2:52:01 AM,%RH,53.788
5/17/11 3:52:01 AM,%RH,48.441
5/17/11 4:52:01 AM,%RH,54.962
5/17/11 5:52:01 AM,%RH,56.131
5/17/11 6:52:01 AM,%RH,66.985
5/17/11 7:52:01 AM,%RH,70.868
5/17/11 8:52:01 AM,%RH,36.19
5/17/11 9:52:01 AM,%RH,18.184
5/17/11 10:52:01 AM,%RH,19.503
5/17/11 11:52:01 AM,%RH,13.527
5/17/11 12:52:01 PM,%RH,8.807
5/17/11 1:52:01 PM,%RH,9.485
5/17/11 2:52:01 PM,%RH,10.838
5/17/11 3:52:01 PM,%RH,9.485
5/17/11 4:52:01 PM,%RH,8.128
5/17/11 5:52:01 PM,%RH,4.026
5/17/11 6:52:01 PM,%RH,4.713
5/17/11 7:52:01 PM,%RH,6.083
5/17/11 8:52:01 PM,%RH,10.162
5/17/11 9:52:01 PM,%RH,13.527
5/17/11 10:52:01 PM,%RH,16.86
5/17/11 11:52:01 PM,%RH,18.184
5/18/11 12:52:01 AM,%RH,18.844
5/18/11 1:52:01 AM,%RH,16.196
5/18/11 2:52:01 AM,%RH,14.196
5/18/11 3:52:01 AM,%RH,16.196
5/18/11 4:52:01 AM,%RH,21.472
5/18/11 5:52:01 AM,%RH,22.126
5/18/11 6:52:01 AM,%RH,26.668
5/18/11 7:52:01 AM,%RH,30.511
5/18/11 8:52:01 AM,%RH,25.376
5/18/11 9:52:01 AM,%RH,14.864
5/18/11 10:52:01 AM,%RH,13.527
5/18/11 11:52:01 AM,%RH,11.512
5/18/11 12:52:01 PM,%RH,10.838
5/18/11 1:52:01 PM,%RH,9.485
5/18/11 2:52:01 PM,%RH,7.448
5/18/11 3:52:01 PM,%RH,6.766
5/18/11 4:52:01 PM,%RH,8.128
5/18/11 5:52:01 PM,%RH,9.485
5/18/11 6:52:01 PM,%RH,12.185
5/18/11 7:52:01 PM,%RH,13.527
5/18/11 8:52:01 PM,%RH,16.86
5/18/11 9:52:01 PM,%RH,18.844
5/18/11 10:52:01 PM,%RH,15.53
5/18/11 11:52:01 PM,%RH,15.53
5/19/11 12:52:01 AM,%RH,18.184
5/19/11 1:52:01 AM,%RH,18.184
5/19/11 2:52:01 AM,%RH,20.817
5/19/11 3:52:01 AM,%RH,22.126
5/19/11 4:52:01 AM,%RH,25.376
5/19/11 5:52:01 AM,%RH,26.668
5/19/11 6:52:01 AM,%RH,27.954
5/19/11 7:52:01 AM,%RH,31.147
5/19/11 8:52:01 AM,%RH,31.147
5/19/11 9:52:01 AM,%RH,22.779
5/19/11 10:52:01 AM,%RH,18.844
5/19/11 11:52:01 AM,%RH,17.522
5/19/11 12:52:01 PM,%RH,15.53
5/19/11 1:52:01 PM,%RH,12.856
5/19/11 2:52:01 PM,%RH,10.162
5/19/11 3:52:01 PM,%RH,9.485
5/19/11 4:52:01 PM,%RH,10.162
5/19/11 5:52:01 PM,%RH,10.838
5/19/11 6:52:01 PM,%RH,12.856
5/19/11 7:52:01 PM,%RH,14.196
5/19/11 8:52:01 PM,%RH,13.527
5/19/11 9:52:01 PM,%RH,13.527
