1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A900000014C0E241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Oct 29 17:32:01 CDT 2011
Mission Sample Count:  8111
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Oct 29 17:32:01 CDT 2011
Total Mission Samples:  8111
Total Device Samples:  18990
Temperature Logging:  disabled
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/29/11 5:32:01 PM,%RH,38.06
10/29/11 6:02:01 PM,%RH,43.601
10/29/11 6:32:01 PM,%RH,46.635
10/29/11 7:02:01 PM,%RH,49.04
10/29/11 7:32:01 PM,%RH,51.424
10/29/11 8:02:01 PM,%RH,52.017
10/29/11 8:32:01 PM,%RH,52.608
10/29/11 9:02:01 PM,%RH,53.788
10/29/11 9:32:01 PM,%RH,56.714
10/29/11 10:02:01 PM,%RH,59.608
10/29/11 10:32:01 PM,%RH,60.757
10/29/11 11:02:01 PM,%RH,61.33
10/29/11 11:32:01 PM,%RH,59.032
10/30/11 12:02:01 AM,%RH,56.131
10/30/11 12:32:01 AM,%RH,56.131
10/30/11 1:02:01 AM,%RH,55.547
10/30/11 1:32:01 AM,%RH,56.131
10/30/11 1:02:01 AM,%RH,57.295
10/30/11 1:32:01 AM,%RH,57.876
10/30/11 2:02:01 AM,%RH,59.032
10/30/11 2:32:01 AM,%RH,56.131
10/30/11 3:02:01 AM,%RH,60.757
10/30/11 3:32:01 AM,%RH,64.173
10/30/11 4:02:01 AM,%RH,67.544
10/30/11 4:32:01 AM,%RH,58.454
10/30/11 5:02:01 AM,%RH,49.638
10/30/11 5:32:01 AM,%RH,47.238
10/30/11 6:02:01 AM,%RH,52.017
10/30/11 6:32:01 AM,%RH,52.017
10/30/11 7:02:01 AM,%RH,51.424
10/30/11 7:32:01 AM,%RH,56.714
10/30/11 8:02:01 AM,%RH,50.83
10/30/11 8:32:01 AM,%RH,44.211
10/30/11 9:02:01 AM,%RH,38.68
10/30/11 9:32:01 AM,%RH,34.308
10/30/11 10:02:01 AM,%RH,27.954
10/30/11 10:32:01 AM,%RH,26.668
10/30/11 11:02:01 AM,%RH,25.376
10/30/11 11:32:01 AM,%RH,29.873
10/30/11 12:02:01 PM,%RH,27.311
10/30/11 12:32:01 PM,%RH,24.729
10/30/11 1:02:01 PM,%RH,22.126
10/30/11 1:32:01 PM,%RH,22.126
10/30/11 2:02:01 PM,%RH,21.472
10/30/11 2:32:01 PM,%RH,24.08
10/30/11 3:02:01 PM,%RH,23.43
10/30/11 3:32:01 PM,%RH,20.817
10/30/11 4:02:01 PM,%RH,21.472
10/30/11 4:32:01 PM,%RH,26.023
10/30/11 5:02:01 PM,%RH,29.235
10/30/11 5:32:01 PM,%RH,32.415
10/30/11 6:02:01 PM,%RH,36.19
10/30/11 6:32:01 PM,%RH,41.765
10/30/11 7:02:01 PM,%RH,47.84
10/30/11 7:32:01 PM,%RH,46.031
10/30/11 8:02:01 PM,%RH,50.83
10/30/11 8:32:01 PM,%RH,53.788
10/30/11 9:02:01 PM,%RH,54.962
10/30/11 9:32:01 PM,%RH,51.424
10/30/11 10:02:01 PM,%RH,54.376
10/30/11 10:32:01 PM,%RH,61.901
10/30/11 11:02:01 PM,%RH,56.131
10/30/11 11:32:01 PM,%RH,56.131
10/31/11 12:02:01 AM,%RH,61.33
10/31/11 12:32:01 AM,%RH,66.985
10/31/11 1:02:01 AM,%RH,70.317
10/31/11 1:32:01 AM,%RH,69.212
10/31/11 2:02:01 AM,%RH,69.765
10/31/11 2:32:01 AM,%RH,73.604
10/31/11 3:02:01 AM,%RH,73.604
10/31/11 3:32:01 AM,%RH,75.23
10/31/11 4:02:01 AM,%RH,76.844
10/31/11 4:32:01 AM,%RH,80.039
10/31/11 5:02:01 AM,%RH,79.51
10/31/11 5:32:01 AM,%RH,83.189
10/31/11 6:02:01 AM,%RH,81.62
10/31/11 6:32:01 AM,%RH,80.567
10/31/11 7:02:01 AM,%RH,74.689
10/31/11 7:32:01 AM,%RH,73.604
10/31/11 8:02:01 AM,%RH,65.302
10/31/11 8:32:01 AM,%RH,52.608
10/31/11 9:02:01 AM,%RH,44.211
10/31/11 9:32:01 AM,%RH,36.814
10/31/11 10:02:01 AM,%RH,31.782
10/31/11 10:32:01 AM,%RH,28.595
10/31/11 11:02:01 AM,%RH,29.235
10/31/11 11:32:01 AM,%RH,27.311
10/31/11 12:02:01 PM,%RH,27.954
10/31/11 12:32:01 PM,%RH,24.729
10/31/11 1:02:01 PM,%RH,22.126
10/31/11 1:32:01 PM,%RH,23.43
10/31/11 2:02:01 PM,%RH,19.503
10/31/11 2:32:01 PM,%RH,20.161
10/31/11 3:02:01 PM,%RH,21.472
10/31/11 3:32:01 PM,%RH,18.844
10/31/11 4:02:01 PM,%RH,20.817
10/31/11 4:32:01 PM,%RH,25.376
10/31/11 5:02:01 PM,%RH,29.873
10/31/11 5:32:01 PM,%RH,33.047
10/31/11 6:02:01 PM,%RH,37.438
10/31/11 6:32:01 PM,%RH,39.918
10/31/11 7:02:01 PM,%RH,34.936
10/31/11 7:32:01 PM,%RH,34.308
10/31/11 8:02:01 PM,%RH,31.147
10/31/11 8:32:01 PM,%RH,30.511
10/31/11 9:02:01 PM,%RH,31.147
10/31/11 9:32:01 PM,%RH,29.873
10/31/11 10:02:01 PM,%RH,32.415
10/31/11 10:32:01 PM,%RH,38.68
10/31/11 11:02:01 PM,%RH,40.535
10/31/11 11:32:01 PM,%RH,39.918
11/1/11 12:02:01 AM,%RH,38.68
11/1/11 12:32:01 AM,%RH,38.06
11/1/11 1:02:01 AM,%RH,41.765
11/1/11 1:32:01 AM,%RH,40.535
11/1/11 2:02:01 AM,%RH,39.3
11/1/11 2:32:01 AM,%RH,38.68
11/1/11 3:02:01 AM,%RH,37.438
11/1/11 3:32:01 AM,%RH,38.06
11/1/11 4:02:01 AM,%RH,40.535
11/1/11 4:32:01 AM,%RH,41.151
11/1/11 5:02:01 AM,%RH,42.379
11/1/11 5:32:01 AM,%RH,41.765
