1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 44000000149BAE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Apr 14 11:24:01 CDT 2012
Mission Sample Count:  7225
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Apr 14 11:24:01 CDT 2012
Total Mission Samples:  7225
Total Device Samples:  25788
Temperature Logging:  disabled
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/14/12 11:24:01 AM,%RH,12.575
4/14/12 12:24:01 PM,%RH,9.792
4/14/12 1:24:01 PM,%RH,6.986
4/14/12 2:24:01 PM,%RH,6.28
4/14/12 3:24:01 PM,%RH,6.28
4/14/12 4:24:01 PM,%RH,4.155
4/14/12 5:24:01 PM,%RH,4.155
4/14/12 6:24:01 PM,%RH,3.443
4/14/12 7:24:01 PM,%RH,5.573
4/14/12 8:24:01 PM,%RH,13.267
4/14/12 9:24:01 PM,%RH,4.155
4/14/12 10:24:01 PM,%RH,5.573
4/14/12 11:24:01 PM,%RH,6.28
4/15/12 12:24:01 AM,%RH,8.392
4/15/12 1:24:01 AM,%RH,8.392
4/15/12 2:24:01 AM,%RH,8.392
4/15/12 3:24:01 AM,%RH,11.187
4/15/12 4:24:01 AM,%RH,13.957
4/15/12 5:24:01 AM,%RH,20.101
4/15/12 6:24:01 AM,%RH,26.783
4/15/12 7:24:01 AM,%RH,31.371
4/15/12 8:24:01 AM,%RH,30.72
4/15/12 9:24:01 AM,%RH,30.068
4/15/12 10:24:01 AM,%RH,26.122
4/15/12 11:24:01 AM,%RH,22.122
4/15/12 12:24:01 PM,%RH,18.746
4/15/12 1:24:01 PM,%RH,14.646
4/15/12 2:24:01 PM,%RH,14.646
4/15/12 3:24:01 PM,%RH,18.067
4/15/12 4:24:01 PM,%RH,17.385
4/15/12 5:24:01 PM,%RH,16.703
4/15/12 6:24:01 PM,%RH,12.575
4/15/12 7:24:01 PM,%RH,14.646
4/15/12 8:24:01 PM,%RH,16.703
4/15/12 9:24:01 PM,%RH,17.385
4/15/12 10:24:01 PM,%RH,18.746
4/15/12 11:24:01 PM,%RH,19.424
4/16/12 12:24:01 AM,%RH,11.881
4/16/12 1:24:01 AM,%RH,14.646
4/16/12 2:24:01 AM,%RH,21.45
4/16/12 3:24:01 AM,%RH,22.122
4/16/12 4:24:01 AM,%RH,26.122
4/16/12 5:24:01 AM,%RH,26.783
4/16/12 6:24:01 AM,%RH,29.414
4/16/12 7:24:01 AM,%RH,31.371
4/16/12 8:24:01 AM,%RH,29.414
4/16/12 9:24:01 AM,%RH,18.746
4/16/12 10:24:01 AM,%RH,13.957
4/16/12 11:24:01 AM,%RH,11.881
4/16/12 12:24:01 PM,%RH,12.575
4/16/12 1:24:01 PM,%RH,10.49
4/16/12 2:24:01 PM,%RH,13.957
4/16/12 3:24:01 PM,%RH,13.267
4/16/12 4:24:01 PM,%RH,15.333
4/16/12 5:24:01 PM,%RH,15.333
4/16/12 6:24:01 PM,%RH,12.575
4/16/12 7:24:01 PM,%RH,18.067
4/16/12 8:24:01 PM,%RH,18.067
4/16/12 9:24:01 PM,%RH,25.459
4/16/12 10:24:01 PM,%RH,26.783
4/16/12 11:24:01 PM,%RH,30.068
4/17/12 12:24:01 AM,%RH,31.371
4/17/12 1:24:01 AM,%RH,32.02
4/17/12 2:24:01 AM,%RH,33.959
4/17/12 3:24:01 AM,%RH,36.522
4/17/12 4:24:01 AM,%RH,38.429
4/17/12 5:24:01 AM,%RH,42.201
4/17/12 6:24:01 AM,%RH,39.692
4/17/12 7:24:01 AM,%RH,43.446
4/17/12 8:24:01 AM,%RH,37.795
4/17/12 9:24:01 AM,%RH,26.122
4/17/12 10:24:01 AM,%RH,23.461
4/17/12 11:24:01 AM,%RH,18.067
4/17/12 12:24:01 PM,%RH,18.067
4/17/12 1:24:01 PM,%RH,11.881
4/17/12 2:24:01 PM,%RH,15.333
4/17/12 3:24:01 PM,%RH,14.646
4/17/12 4:24:01 PM,%RH,14.646
4/17/12 5:24:01 PM,%RH,13.957
4/17/12 6:24:01 PM,%RH,14.646
4/17/12 7:24:01 PM,%RH,22.792
4/17/12 8:24:01 PM,%RH,26.783
4/17/12 9:24:01 PM,%RH,30.72
4/17/12 10:24:01 PM,%RH,32.668
4/17/12 11:24:01 PM,%RH,35.243
4/18/12 12:24:01 AM,%RH,35.243
4/18/12 1:24:01 AM,%RH,44.067
4/18/12 2:24:01 AM,%RH,35.883
4/18/12 3:24:01 AM,%RH,36.522
4/18/12 4:24:01 AM,%RH,35.243
4/18/12 5:24:01 AM,%RH,37.795
4/18/12 6:24:01 AM,%RH,41.576
4/18/12 7:24:01 AM,%RH,42.825
4/18/12 8:24:01 AM,%RH,43.446
4/18/12 9:24:01 AM,%RH,35.883
4/18/12 10:24:01 AM,%RH,31.371
4/18/12 11:24:01 AM,%RH,24.129
4/18/12 12:24:01 PM,%RH,23.461
4/18/12 1:24:01 PM,%RH,13.957
4/18/12 2:24:01 PM,%RH,18.746
4/18/12 3:24:01 PM,%RH,16.703
4/18/12 4:24:01 PM,%RH,14.646
4/18/12 5:24:01 PM,%RH,9.792
4/18/12 6:24:01 PM,%RH,12.575
4/18/12 7:24:01 PM,%RH,20.776
4/18/12 8:24:01 PM,%RH,22.792
4/18/12 9:24:01 PM,%RH,24.795
4/18/12 10:24:01 PM,%RH,30.72
4/18/12 11:24:01 PM,%RH,35.883
4/19/12 12:24:01 AM,%RH,33.314
4/19/12 1:24:01 AM,%RH,35.883
4/19/12 2:24:01 AM,%RH,37.159
4/19/12 3:24:01 AM,%RH,43.446
4/19/12 4:24:01 AM,%RH,37.159
4/19/12 5:24:01 AM,%RH,42.201
4/19/12 6:24:01 AM,%RH,43.446
4/19/12 7:24:01 AM,%RH,36.522
4/19/12 8:24:01 AM,%RH,28.102
4/19/12 9:24:01 AM,%RH,26.783
4/19/12 10:24:01 AM,%RH,22.122
4/19/12 11:24:01 AM,%RH,25.459
4/19/12 12:24:01 PM,%RH,16.703
4/19/12 1:24:01 PM,%RH,15.333
4/19/12 2:24:01 PM,%RH,16.019
4/19/12 3:24:01 PM,%RH,16.019
4/19/12 4:24:01 PM,%RH,13.957
4/19/12 5:24:01 PM,%RH,11.881
4/19/12 6:24:01 PM,%RH,11.881
4/19/12 7:24:01 PM,%RH,16.019
4/19/12 8:24:01 PM,%RH,24.129
4/19/12 9:24:01 PM,%RH,26.783
4/19/12 10:24:01 PM,%RH,32.02
4/19/12 11:24:01 PM,%RH,36.522
4/20/12 12:24:01 AM,%RH,36.522
4/20/12 1:24:01 AM,%RH,37.795
4/20/12 2:24:01 AM,%RH,33.314
4/20/12 3:24:01 AM,%RH,28.102
4/20/12 4:24:01 AM,%RH,16.019
4/20/12 5:24:01 AM,%RH,21.45
4/20/12 6:24:01 AM,%RH,16.703
4/20/12 7:24:01 AM,%RH,17.385
4/20/12 8:24:01 AM,%RH,50.791
4/20/12 9:24:01 AM,%RH,54.974
4/20/12 10:24:01 AM,%RH,45.303
4/20/12 11:24:01 AM,%RH,34.602
4/20/12 12:24:01 PM,%RH,32.668
4/20/12 1:24:01 PM,%RH,22.792
4/20/12 2:24:01 PM,%RH,28.102
4/20/12 3:24:01 PM,%RH,27.443
4/20/12 4:24:01 PM,%RH,26.122
4/20/12 5:24:01 PM,%RH,20.776
4/20/12 6:24:01 PM,%RH,26.122
4/20/12 7:24:01 PM,%RH,31.371
4/20/12 8:24:01 PM,%RH,32.02
4/20/12 9:24:01 PM,%RH,35.243
4/20/12 10:24:01 PM,%RH,38.429
4/20/12 11:24:01 PM,%RH,40.322
4/21/12 12:24:01 AM,%RH,41.576
4/21/12 1:24:01 AM,%RH,45.919
4/21/12 2:24:01 AM,%RH,50.187
4/21/12 3:24:01 AM,%RH,51.993
4/21/12 4:24:01 AM,%RH,54.381
4/21/12 5:24:01 AM,%RH,53.786
4/21/12 6:24:01 AM,%RH,50.187
4/21/12 7:24:01 AM,%RH,45.303
4/21/12 8:24:01 AM,%RH,44.067
