1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0200000014944E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sat Jan 31 14:02:42 CST 2015
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Jan 31 14:02:42 CST 2015
Total Mission Samples:  8192
Total Device Samples:  46533
Temperature Logging:  disabled
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/31/15 2:02:42 PM,%RH,104.259
1/31/15 3:09:22 PM,%RH,91.703
1/31/15 4:16:02 PM,%RH,96.147
1/31/15 5:22:42 PM,%RH,101.438
1/31/15 6:29:22 PM,%RH,103.792
1/31/15 7:36:02 PM,%RH,104.259
1/31/15 8:42:42 PM,%RH,103.792
1/31/15 9:49:22 PM,%RH,104.259
1/31/15 10:56:02 PM,%RH,96.634
2/1/15 12:02:42 AM,%RH,85.103
2/1/15 1:09:22 AM,%RH,89.695
2/1/15 2:16:02 AM,%RH,86.645
2/1/15 3:22:42 AM,%RH,86.645
2/1/15 4:29:22 AM,%RH,87.157
2/1/15 5:36:02 AM,%RH,87.157
2/1/15 6:42:42 AM,%RH,91.703
2/1/15 7:49:22 AM,%RH,88.176
2/1/15 8:56:02 AM,%RH,86.645
2/1/15 10:02:42 AM,%RH,86.645
2/1/15 11:09:22 AM,%RH,70.158
2/1/15 12:16:02 PM,%RH,67.384
2/1/15 1:22:42 PM,%RH,57.136
2/1/15 2:29:22 PM,%RH,66.266
2/1/15 3:36:02 PM,%RH,60.598
2/1/15 4:42:42 PM,%RH,60.024
2/1/15 5:49:22 PM,%RH,76.685
2/1/15 6:56:02 PM,%RH,85.618
2/1/15 8:02:42 PM,%RH,97.605
2/1/15 9:09:22 PM,%RH,97.605
2/1/15 10:16:02 PM,%RH,96.147
2/1/15 11:22:42 PM,%RH,102.854
2/2/15 12:29:22 AM,%RH,103.792
2/2/15 1:36:02 AM,%RH,105.653
2/2/15 2:42:42 AM,%RH,105.653
2/2/15 3:49:22 AM,%RH,106.575
2/2/15 4:56:02 AM,%RH,106.575
2/2/15 6:02:42 AM,%RH,105.653
2/2/15 7:09:22 AM,%RH,106.115
2/2/15 8:16:02 AM,%RH,106.115
2/2/15 9:22:42 AM,%RH,106.115
2/2/15 10:29:22 AM,%RH,104.725
2/2/15 11:36:02 AM,%RH,102.854
2/2/15 12:42:42 PM,%RH,77.755
2/2/15 1:49:22 PM,%RH,88.176
2/2/15 2:56:02 PM,%RH,84.586
2/2/15 4:02:42 PM,%RH,88.684
2/2/15 5:09:22 PM,%RH,86.645
2/2/15 6:16:02 PM,%RH,89.695
2/2/15 7:22:42 PM,%RH,95.658
2/2/15 8:29:22 PM,%RH,94.677
2/2/15 9:36:02 PM,%RH,97.12
2/2/15 10:42:42 PM,%RH,93.691
2/2/15 11:49:22 PM,%RH,85.618
2/3/15 12:56:02 AM,%RH,91.703
2/3/15 2:02:42 AM,%RH,92.202
2/3/15 3:09:22 AM,%RH,94.677
2/3/15 4:16:02 AM,%RH,102.383
2/3/15 5:22:42 AM,%RH,102.383
2/3/15 6:29:22 AM,%RH,100.487
2/3/15 7:36:02 AM,%RH,99.532
2/3/15 8:42:42 AM,%RH,98.571
2/3/15 9:49:22 AM,%RH,97.605
2/3/15 10:56:02 AM,%RH,97.12
2/3/15 12:02:42 PM,%RH,92.699
2/3/15 1:09:22 PM,%RH,91.703
2/3/15 2:16:02 PM,%RH,98.089
2/3/15 3:22:42 PM,%RH,99.532
2/3/15 4:29:22 PM,%RH,100.963
2/3/15 5:36:02 PM,%RH,101.438
2/3/15 6:42:42 PM,%RH,101.911
2/3/15 7:49:22 PM,%RH,104.259
2/3/15 8:56:02 PM,%RH,104.725
2/3/15 10:02:42 PM,%RH,101.911
2/3/15 11:09:22 PM,%RH,84.068
2/4/15 12:16:02 AM,%RH,80.408
2/4/15 1:22:42 AM,%RH,73.987
2/4/15 2:29:22 AM,%RH,85.618
2/4/15 3:36:02 AM,%RH,88.176
