1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 4700000013BFC641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri May 13 08:50:01 CDT 2011
Mission Sample Count:  4067
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri May 13 08:50:01 CDT 2011
Total Mission Samples:  4067
Total Device Samples:  4675
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/13/11 8:50:01 AM,C,33.69
5/13/11 9:50:01 AM,C,24.695
5/13/11 10:50:01 AM,C,30.194
5/13/11 11:50:01 AM,C,32.192
5/13/11 12:50:01 PM,C,32.192
5/13/11 1:50:01 PM,C,27.195
5/13/11 2:50:01 PM,C,25.195
5/13/11 3:50:01 PM,C,31.692
5/13/11 4:50:01 PM,C,29.694
5/13/11 5:50:01 PM,C,26.195
5/13/11 6:50:01 PM,C,24.695
5/13/11 7:50:01 PM,C,22.695
5/13/11 8:50:01 PM,C,18.692
5/13/11 9:50:01 PM,C,16.189
5/13/11 10:50:01 PM,C,15.188
5/13/11 11:50:01 PM,C,19.693
5/14/11 12:50:01 AM,C,19.693
5/14/11 1:50:01 AM,C,18.692
5/14/11 2:50:01 AM,C,18.692
5/14/11 3:50:01 AM,C,17.691
5/14/11 4:50:01 AM,C,18.191
5/14/11 5:50:01 AM,C,17.691
5/14/11 6:50:01 AM,C,17.19
5/14/11 7:50:01 AM,C,18.191
5/14/11 8:50:01 AM,C,18.191
5/14/11 9:50:01 AM,C,20.193
5/14/11 10:50:01 AM,C,21.194
5/14/11 11:50:01 AM,C,22.695
5/14/11 12:50:01 PM,C,24.695
5/14/11 1:50:01 PM,C,23.695
5/14/11 2:50:01 PM,C,25.195
5/14/11 3:50:01 PM,C,25.195
5/14/11 4:50:01 PM,C,27.695
5/14/11 5:50:01 PM,C,25.195
5/14/11 6:50:01 PM,C,25.195
5/14/11 7:50:01 PM,C,22.195
5/14/11 8:50:01 PM,C,21.194
5/14/11 9:50:01 PM,C,19.693
5/14/11 10:50:01 PM,C,19.192
5/14/11 11:50:01 PM,C,19.693
5/15/11 12:50:01 AM,C,17.691
5/15/11 1:50:01 AM,C,17.19
5/15/11 2:50:01 AM,C,15.188
5/15/11 3:50:01 AM,C,15.188
5/15/11 4:50:01 AM,C,16.189
5/15/11 5:50:01 AM,C,15.188
5/15/11 6:50:01 AM,C,15.188
5/15/11 7:50:01 AM,C,15.688
5/15/11 8:50:01 AM,C,16.189
5/15/11 9:50:01 AM,C,18.191
5/15/11 10:50:01 AM,C,21.694
5/15/11 11:50:01 AM,C,23.195
5/15/11 12:50:01 PM,C,23.195
5/15/11 1:50:01 PM,C,22.695
5/15/11 2:50:01 PM,C,22.695
5/15/11 3:50:01 PM,C,24.695
5/15/11 4:50:01 PM,C,25.695
