1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 3A0000000FCD1A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri May 13 08:55:01 CDT 2011
Mission Sample Count:  4067
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri May 13 08:55:01 CDT 2011
Total Mission Samples:  4067
Total Device Samples:  5275
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/13/11 8:55:01 AM,C,38.132
5/13/11 9:55:01 AM,C,25.148
5/13/11 10:55:01 AM,C,28.647
5/13/11 11:55:01 AM,C,30.646
5/13/11 12:55:01 PM,C,29.147
5/13/11 1:55:01 PM,C,26.148
5/13/11 2:55:01 PM,C,24.648
5/13/11 3:55:01 PM,C,28.148
5/13/11 4:55:01 PM,C,34.64
5/13/11 5:55:01 PM,C,27.648
5/13/11 6:55:01 PM,C,26.148
5/13/11 7:55:01 PM,C,24.648
5/13/11 8:55:01 PM,C,20.146
5/13/11 9:55:01 PM,C,19.144
5/13/11 10:55:01 PM,C,17.141
5/13/11 11:55:01 PM,C,18.644
5/14/11 12:55:01 AM,C,19.144
5/14/11 1:55:01 AM,C,19.144
5/14/11 2:55:01 AM,C,19.144
5/14/11 3:55:01 AM,C,17.642
5/14/11 4:55:01 AM,C,18.143
5/14/11 5:55:01 AM,C,17.642
5/14/11 6:55:01 AM,C,17.642
5/14/11 7:55:01 AM,C,18.644
5/14/11 8:55:01 AM,C,19.144
5/14/11 9:55:01 AM,C,22.648
5/14/11 10:55:01 AM,C,23.148
5/14/11 11:55:01 AM,C,24.148
5/14/11 12:55:01 PM,C,25.148
5/14/11 1:55:01 PM,C,26.148
5/14/11 2:55:01 PM,C,26.148
5/14/11 3:55:01 PM,C,26.148
5/14/11 4:55:01 PM,C,27.648
5/14/11 5:55:01 PM,C,26.148
5/14/11 6:55:01 PM,C,25.648
5/14/11 7:55:01 PM,C,23.648
5/14/11 8:55:01 PM,C,21.147
5/14/11 9:55:01 PM,C,19.645
5/14/11 10:55:01 PM,C,19.645
5/14/11 11:55:01 PM,C,18.644
5/15/11 12:55:01 AM,C,17.642
5/15/11 1:55:01 AM,C,16.641
5/15/11 2:55:01 AM,C,16.641
5/15/11 3:55:01 AM,C,16.14
5/15/11 4:55:01 AM,C,16.641
5/15/11 5:55:01 AM,C,15.138
5/15/11 6:55:01 AM,C,15.138
5/15/11 7:55:01 AM,C,16.14
5/15/11 8:55:01 AM,C,17.141
5/15/11 9:55:01 AM,C,22.648
5/15/11 10:55:01 AM,C,24.148
5/15/11 11:55:01 AM,C,25.148
5/15/11 12:55:01 PM,C,25.648
5/15/11 1:55:01 PM,C,27.648
5/15/11 2:55:01 PM,C,25.648
5/15/11 3:55:01 PM,C,26.648
5/15/11 4:55:01 PM,C,26.148
5/15/11 5:55:01 PM,C,26.148
5/15/11 6:55:01 PM,C,25.148
5/15/11 7:55:01 PM,C,22.648
5/15/11 8:55:01 PM,C,18.143
5/15/11 9:55:01 PM,C,15.639
5/15/11 10:55:01 PM,C,13.634
5/15/11 11:55:01 PM,C,14.135
5/16/11 12:55:01 AM,C,13.133
5/16/11 1:55:01 AM,C,13.634
5/16/11 2:55:01 AM,C,15.138
5/16/11 3:55:01 AM,C,13.133
5/16/11 4:55:01 AM,C,13.133
5/16/11 5:55:01 AM,C,10.626
5/16/11 6:55:01 AM,C,11.128
5/16/11 7:55:01 AM,C,12.13
5/16/11 8:55:01 AM,C,15.138
5/16/11 9:55:01 AM,C,21.647
5/16/11 10:55:01 AM,C,23.648
5/16/11 11:55:01 AM,C,27.148
5/16/11 12:55:01 PM,C,26.648
5/16/11 1:55:01 PM,C,28.647
5/16/11 2:55:01 PM,C,28.647
5/16/11 3:55:01 PM,C,27.148
5/16/11 4:55:01 PM,C,30.646
