1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 7800000013C7D741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sun May 15 21:47:01 CDT 2011
Mission Sample Count:  4003
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun May 15 21:47:01 CDT 2011
Total Mission Samples:  4003
Total Device Samples:  4612
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/15/11 9:47:01 PM,C,19.633
5/15/11 10:47:01 PM,C,19.633
5/15/11 11:47:01 PM,C,18.632
5/16/11 12:47:01 AM,C,17.63
5/16/11 1:47:01 AM,C,17.13
5/16/11 2:47:01 AM,C,16.128
5/16/11 3:47:01 AM,C,15.627
5/16/11 4:47:01 AM,C,14.625
5/16/11 5:47:01 AM,C,14.124
5/16/11 6:47:01 AM,C,13.121
5/16/11 7:47:01 AM,C,14.124
5/16/11 8:47:01 AM,C,19.633
5/16/11 9:47:01 AM,C,20.134
5/16/11 10:47:01 AM,C,28.636
5/16/11 11:47:01 AM,C,23.636
5/16/11 12:47:01 PM,C,38.12
5/16/11 1:47:01 PM,C,24.637
5/16/11 2:47:01 PM,C,26.637
5/16/11 3:47:01 PM,C,25.637
5/16/11 4:47:01 PM,C,27.136
5/16/11 5:47:01 PM,C,27.136
5/16/11 6:47:01 PM,C,24.637
5/16/11 7:47:01 PM,C,20.134
5/16/11 8:47:01 PM,C,17.13
5/16/11 9:47:01 PM,C,15.627
5/16/11 10:47:01 PM,C,16.128
5/16/11 11:47:01 PM,C,14.124
5/17/11 12:47:01 AM,C,16.128
5/17/11 1:47:01 AM,C,13.622
5/17/11 2:47:01 AM,C,13.622
5/17/11 3:47:01 AM,C,14.124
5/17/11 4:47:01 AM,C,15.627
5/17/11 5:47:01 AM,C,14.625
5/17/11 6:47:01 AM,C,12.118
5/17/11 7:47:01 AM,C,16.629
5/17/11 8:47:01 AM,C,21.635
5/17/11 9:47:01 AM,C,27.136
5/17/11 10:47:01 AM,C,26.637
5/17/11 11:47:01 AM,C,27.136
5/17/11 12:47:01 PM,C,27.636
5/17/11 1:47:01 PM,C,28.636
5/17/11 2:47:01 PM,C,27.136
5/17/11 3:47:01 PM,C,27.636
5/17/11 4:47:01 PM,C,27.136
5/17/11 5:47:01 PM,C,27.136
5/17/11 6:47:01 PM,C,23.636
5/17/11 7:47:01 PM,C,22.136
5/17/11 8:47:01 PM,C,19.633
5/17/11 9:47:01 PM,C,18.131
5/17/11 10:47:01 PM,C,18.131
5/17/11 11:47:01 PM,C,17.63
5/18/11 12:47:01 AM,C,17.63
5/18/11 1:47:01 AM,C,17.63
5/18/11 2:47:01 AM,C,17.63
5/18/11 3:47:01 AM,C,16.629
5/18/11 4:47:01 AM,C,15.627
5/18/11 5:47:01 AM,C,14.625
5/18/11 6:47:01 AM,C,14.124
5/18/11 7:47:01 AM,C,16.629
5/18/11 8:47:01 AM,C,20.134
5/18/11 9:47:01 AM,C,23.636
5/18/11 10:47:01 AM,C,24.637
5/18/11 11:47:01 AM,C,25.137
5/18/11 12:47:01 PM,C,26.137
5/18/11 1:47:01 PM,C,26.637
5/18/11 2:47:01 PM,C,28.136
5/18/11 3:47:01 PM,C,29.135
5/18/11 4:47:01 PM,C,27.636
5/18/11 5:47:01 PM,C,26.637
5/18/11 6:47:01 PM,C,24.637
5/18/11 7:47:01 PM,C,22.636
5/18/11 8:47:01 PM,C,20.634
5/18/11 9:47:01 PM,C,20.634
5/18/11 10:47:01 PM,C,21.135
