1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: FE00000013BD2841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sun Oct 30 07:44:01 CST 2011
Mission Sample Count:  8121
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Oct 30 07:44:01 CST 2011
Total Mission Samples:  8121
Total Device Samples:  12754
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/30/11 7:44:01 AM,C,12.167
10/30/11 8:14:01 AM,C,10.161
10/30/11 8:44:01 AM,C,15.174
10/30/11 9:14:01 AM,C,16.676
10/30/11 9:44:01 AM,C,17.678
10/30/11 10:14:01 AM,C,18.679
10/30/11 10:44:01 AM,C,19.681
10/30/11 11:14:01 AM,C,22.183
10/30/11 11:44:01 AM,C,20.682
10/30/11 12:14:01 PM,C,22.183
10/30/11 12:44:01 PM,C,23.683
10/30/11 1:14:01 PM,C,22.183
10/30/11 1:44:01 PM,C,21.682
10/30/11 2:14:01 PM,C,21.182
10/30/11 2:44:01 PM,C,21.182
10/30/11 3:14:01 PM,C,21.682
10/30/11 3:44:01 PM,C,20.682
10/30/11 4:14:01 PM,C,20.181
10/30/11 4:44:01 PM,C,19.18
10/30/11 5:14:01 PM,C,15.174
10/30/11 5:44:01 PM,C,14.172
10/30/11 6:14:01 PM,C,12.167
10/30/11 6:44:01 PM,C,11.666
10/30/11 7:14:01 PM,C,11.666
10/30/11 7:44:01 PM,C,11.666
10/30/11 8:14:01 PM,C,11.666
10/30/11 8:44:01 PM,C,11.666
10/30/11 9:14:01 PM,C,13.67
10/30/11 9:44:01 PM,C,13.169
10/30/11 10:14:01 PM,C,13.67
10/30/11 10:44:01 PM,C,13.169
10/30/11 11:14:01 PM,C,13.169
10/30/11 11:44:01 PM,C,12.668
10/31/11 12:14:01 AM,C,13.169
10/31/11 12:44:01 AM,C,12.668
10/31/11 1:14:01 AM,C,12.668
10/31/11 1:44:01 AM,C,10.161
10/31/11 2:14:01 AM,C,8.155
10/31/11 2:44:01 AM,C,7.653
10/31/11 3:14:01 AM,C,9.158
10/31/11 3:44:01 AM,C,11.164
10/31/11 4:14:01 AM,C,8.657
10/31/11 4:44:01 AM,C,9.158
10/31/11 5:14:01 AM,C,8.657
10/31/11 5:44:01 AM,C,8.155
10/31/11 6:14:01 AM,C,8.155
10/31/11 6:44:01 AM,C,8.155
10/31/11 7:14:01 AM,C,9.66
10/31/11 7:44:01 AM,C,10.161
10/31/11 8:14:01 AM,C,12.668
10/31/11 8:44:01 AM,C,15.174
10/31/11 9:14:01 AM,C,16.176
10/31/11 9:44:01 AM,C,17.678
10/31/11 10:14:01 AM,C,18.679
10/31/11 10:44:01 AM,C,19.681
10/31/11 11:14:01 AM,C,22.683
10/31/11 11:44:01 AM,C,21.182
10/31/11 12:14:01 PM,C,22.183
10/31/11 12:44:01 PM,C,24.183
10/31/11 1:14:01 PM,C,22.683
10/31/11 1:44:01 PM,C,21.682
10/31/11 2:14:01 PM,C,21.182
10/31/11 2:44:01 PM,C,21.182
10/31/11 3:14:01 PM,C,21.682
10/31/11 3:44:01 PM,C,20.181
10/31/11 4:14:01 PM,C,19.681
10/31/11 4:44:01 PM,C,17.678
10/31/11 5:14:01 PM,C,17.177
10/31/11 5:44:01 PM,C,16.176
10/31/11 6:14:01 PM,C,14.172
10/31/11 6:44:01 PM,C,13.67
10/31/11 7:14:01 PM,C,12.167
10/31/11 7:44:01 PM,C,12.167
10/31/11 8:14:01 PM,C,12.167
10/31/11 8:44:01 PM,C,14.673
10/31/11 9:14:01 PM,C,15.174
10/31/11 9:44:01 PM,C,15.675
10/31/11 10:14:01 PM,C,15.174
10/31/11 10:44:01 PM,C,16.176
10/31/11 11:14:01 PM,C,16.176
