1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 5200000013114441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sun Oct 30 09:33:01 CST 2011
Mission Sample Count:  8018
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Oct 30 09:33:01 CST 2011
Total Mission Samples:  8018
Total Device Samples:  13288
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/30/11 9:33:01 AM,C,23.162
10/30/11 10:03:01 AM,C,21.16
10/30/11 10:33:01 AM,C,22.661
10/30/11 11:03:01 AM,C,22.661
10/30/11 11:33:01 AM,C,22.161
10/30/11 12:03:01 PM,C,24.162
10/30/11 12:33:01 PM,C,26.162
10/30/11 1:03:01 PM,C,26.162
10/30/11 1:33:01 PM,C,24.662
10/30/11 2:03:01 PM,C,23.662
10/30/11 2:33:01 PM,C,27.162
10/30/11 3:03:01 PM,C,23.662
10/30/11 3:33:01 PM,C,24.162
10/30/11 4:03:01 PM,C,23.162
10/30/11 4:33:01 PM,C,24.162
10/30/11 5:03:01 PM,C,19.158
10/30/11 5:33:01 PM,C,17.154
10/30/11 6:03:01 PM,C,16.152
10/30/11 6:33:01 PM,C,15.651
10/30/11 7:03:01 PM,C,14.148
10/30/11 7:33:01 PM,C,13.646
10/30/11 8:03:01 PM,C,14.649
10/30/11 8:33:01 PM,C,14.148
10/30/11 9:03:01 PM,C,14.649
10/30/11 9:33:01 PM,C,13.646
10/30/11 10:03:01 PM,C,16.653
10/30/11 10:33:01 PM,C,15.651
10/30/11 11:03:01 PM,C,15.651
10/30/11 11:33:01 PM,C,15.651
10/31/11 12:03:01 AM,C,15.651
10/31/11 12:33:01 AM,C,15.15
10/31/11 1:03:01 AM,C,13.145
10/31/11 1:33:01 AM,C,11.64
10/31/11 2:03:01 AM,C,11.138
10/31/11 2:33:01 AM,C,11.64
10/31/11 3:03:01 AM,C,11.64
10/31/11 3:33:01 AM,C,12.643
10/31/11 4:03:01 AM,C,11.138
10/31/11 4:33:01 AM,C,11.64
10/31/11 5:03:01 AM,C,11.138
10/31/11 5:33:01 AM,C,11.138
10/31/11 6:03:01 AM,C,9.633
10/31/11 6:33:01 AM,C,10.135
10/31/11 7:03:01 AM,C,9.131
10/31/11 7:33:01 AM,C,10.637
10/31/11 8:03:01 AM,C,14.649
10/31/11 8:33:01 AM,C,18.657
10/31/11 9:03:01 AM,C,19.658
10/31/11 9:33:01 AM,C,20.159
10/31/11 10:03:01 AM,C,21.16
10/31/11 10:33:01 AM,C,21.16
10/31/11 11:03:01 AM,C,22.661
10/31/11 11:33:01 AM,C,22.161
10/31/11 12:03:01 PM,C,23.162
10/31/11 12:33:01 PM,C,24.662
10/31/11 1:03:01 PM,C,24.662
10/31/11 1:33:01 PM,C,23.662
10/31/11 2:03:01 PM,C,24.662
10/31/11 2:33:01 PM,C,25.662
10/31/11 3:03:01 PM,C,23.162
10/31/11 3:33:01 PM,C,23.162
10/31/11 4:03:01 PM,C,22.661
10/31/11 4:33:01 PM,C,23.662
10/31/11 5:03:01 PM,C,20.159
10/31/11 5:33:01 PM,C,17.655
10/31/11 6:03:01 PM,C,15.651
10/31/11 6:33:01 PM,C,14.649
10/31/11 7:03:01 PM,C,14.148
10/31/11 7:33:01 PM,C,14.649
10/31/11 8:03:01 PM,C,13.646
10/31/11 8:33:01 PM,C,14.148
10/31/11 9:03:01 PM,C,14.649
10/31/11 9:33:01 PM,C,13.145
10/31/11 10:03:01 PM,C,14.649
10/31/11 10:33:01 PM,C,13.145
10/31/11 11:03:01 PM,C,12.643
10/31/11 11:33:01 PM,C,12.643
11/1/11 12:03:01 AM,C,14.649
11/1/11 12:33:01 AM,C,15.651
11/1/11 1:03:01 AM,C,17.154
11/1/11 1:33:01 AM,C,17.655
11/1/11 2:03:01 AM,C,17.154
11/1/11 2:33:01 AM,C,18.156
11/1/11 3:03:01 AM,C,17.655
11/1/11 3:33:01 AM,C,18.156
11/1/11 4:03:01 AM,C,18.657
11/1/11 4:33:01 AM,C,18.156
11/1/11 5:03:01 AM,C,18.657
11/1/11 5:33:01 AM,C,17.655
11/1/11 6:03:01 AM,C,15.15
11/1/11 6:33:01 AM,C,18.156
11/1/11 7:03:01 AM,C,18.657
11/1/11 7:33:01 AM,C,19.158
11/1/11 8:03:01 AM,C,20.159
11/1/11 8:33:01 AM,C,20.159
11/1/11 9:03:01 AM,C,22.161
11/1/11 9:33:01 AM,C,22.161
11/1/11 10:03:01 AM,C,22.161
11/1/11 10:33:01 AM,C,24.162
11/1/11 11:03:01 AM,C,23.662
11/1/11 11:33:01 AM,C,23.162
11/1/11 12:03:01 PM,C,23.662
11/1/11 12:33:01 PM,C,27.162
11/1/11 1:03:01 PM,C,25.662
11/1/11 1:33:01 PM,C,25.662
11/1/11 2:03:01 PM,C,26.662
11/1/11 2:33:01 PM,C,27.162
11/1/11 3:03:01 PM,C,26.662
11/1/11 3:33:01 PM,C,26.662
11/1/11 4:03:01 PM,C,26.162
11/1/11 4:33:01 PM,C,25.662
11/1/11 5:03:01 PM,C,22.661
11/1/11 5:33:01 PM,C,19.158
11/1/11 6:03:01 PM,C,18.156
11/1/11 6:33:01 PM,C,17.655
11/1/11 7:03:01 PM,C,17.655
11/1/11 7:33:01 PM,C,18.156
11/1/11 8:03:01 PM,C,18.657
11/1/11 8:33:01 PM,C,16.653
11/1/11 9:03:01 PM,C,14.649
11/1/11 9:33:01 PM,C,16.152
11/1/11 10:03:01 PM,C,18.657
11/1/11 10:33:01 PM,C,19.658
11/1/11 11:03:01 PM,C,20.66
11/1/11 11:33:01 PM,C,21.16
11/2/11 12:03:01 AM,C,21.16
11/2/11 12:33:01 AM,C,19.158
11/2/11 1:03:01 AM,C,16.152
