1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: A800000013C83E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Oct 29 10:09:01 CDT 2011
Mission Sample Count:  8110
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Oct 29 10:09:01 CDT 2011
Total Mission Samples:  8110
Total Device Samples:  8718
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/29/11 10:09:01 AM,C,11.17
10/29/11 10:39:01 AM,C,6.149
10/29/11 11:09:01 AM,C,6.651
10/29/11 11:39:01 AM,C,7.656
10/29/11 12:09:01 PM,C,14.681
10/29/11 12:39:01 PM,C,14.18
10/29/11 1:09:01 PM,C,18.69
10/29/11 1:39:01 PM,C,26.195
10/29/11 2:09:01 PM,C,20.192
10/29/11 2:39:01 PM,C,17.688
10/29/11 3:09:01 PM,C,18.69
10/29/11 3:39:01 PM,C,18.189
10/29/11 4:09:01 PM,C,20.693
10/29/11 4:39:01 PM,C,18.189
10/29/11 5:09:01 PM,C,18.69
10/29/11 5:39:01 PM,C,16.686
10/29/11 6:09:01 PM,C,16.185
10/29/11 6:39:01 PM,C,14.18
10/29/11 7:09:01 PM,C,13.177
10/29/11 7:39:01 PM,C,12.675
10/29/11 8:09:01 PM,C,12.174
10/29/11 8:39:01 PM,C,13.678
10/29/11 9:09:01 PM,C,13.177
10/29/11 9:39:01 PM,C,12.675
10/29/11 10:09:01 PM,C,13.678
10/29/11 10:39:01 PM,C,13.177
10/29/11 11:09:01 PM,C,13.678
10/29/11 11:39:01 PM,C,15.182
10/30/11 12:09:01 AM,C,15.182
10/30/11 12:39:01 AM,C,14.681
10/30/11 1:09:01 AM,C,14.681
10/30/11 1:39:01 AM,C,14.681
10/30/11 1:09:01 AM,C,14.681
10/30/11 1:39:01 AM,C,13.678
10/30/11 2:09:01 AM,C,13.678
10/30/11 2:39:01 AM,C,13.177
10/30/11 3:09:01 AM,C,13.678
10/30/11 3:39:01 AM,C,13.678
10/30/11 4:09:01 AM,C,13.177
10/30/11 4:39:01 AM,C,13.177
10/30/11 5:09:01 AM,C,12.675
10/30/11 5:39:01 AM,C,12.174
10/30/11 6:09:01 AM,C,11.672
10/30/11 6:39:01 AM,C,12.174
10/30/11 7:09:01 AM,C,11.672
10/30/11 7:39:01 AM,C,12.174
10/30/11 8:09:01 AM,C,12.174
10/30/11 8:39:01 AM,C,12.174
10/30/11 9:09:01 AM,C,11.672
10/30/11 9:39:01 AM,C,11.17
10/30/11 10:09:01 AM,C,12.174
10/30/11 10:39:01 AM,C,13.177
10/30/11 11:09:01 AM,C,20.693
10/30/11 11:39:01 AM,C,20.693
10/30/11 12:09:01 PM,C,24.695
10/30/11 12:39:01 PM,C,30.192
10/30/11 1:09:01 PM,C,25.695
10/30/11 1:39:01 PM,C,23.195
10/30/11 2:09:01 PM,C,23.695
10/30/11 2:39:01 PM,C,22.694
10/30/11 3:09:01 PM,C,26.695
10/30/11 3:39:01 PM,C,22.694
10/30/11 4:09:01 PM,C,21.694
10/30/11 4:39:01 PM,C,21.193
10/30/11 5:09:01 PM,C,21.193
10/30/11 5:39:01 PM,C,16.686
10/30/11 6:09:01 PM,C,15.182
10/30/11 6:39:01 PM,C,14.18
10/30/11 7:09:01 PM,C,14.18
10/30/11 7:39:01 PM,C,13.678
10/30/11 8:09:01 PM,C,13.678
10/30/11 8:39:01 PM,C,13.678
10/30/11 9:09:01 PM,C,13.678
10/30/11 9:39:01 PM,C,14.18
10/30/11 10:09:01 PM,C,12.174
10/30/11 10:39:01 PM,C,12.675
10/30/11 11:09:01 PM,C,11.672
10/30/11 11:39:01 PM,C,10.668
10/31/11 12:09:01 AM,C,10.668
10/31/11 12:39:01 AM,C,10.668
10/31/11 1:09:01 AM,C,10.166
10/31/11 1:39:01 AM,C,10.668
10/31/11 2:09:01 AM,C,10.668
10/31/11 2:39:01 AM,C,10.668
10/31/11 3:09:01 AM,C,10.668
10/31/11 3:39:01 AM,C,10.668
10/31/11 4:09:01 AM,C,10.668
10/31/11 4:39:01 AM,C,10.668
10/31/11 5:09:01 AM,C,10.668
10/31/11 5:39:01 AM,C,10.668
10/31/11 6:09:01 AM,C,10.668
10/31/11 6:39:01 AM,C,10.166
10/31/11 7:09:01 AM,C,10.166
10/31/11 7:39:01 AM,C,10.668
10/31/11 8:09:01 AM,C,10.668
10/31/11 8:39:01 AM,C,11.672
10/31/11 9:09:01 AM,C,13.678
