1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 4800000013BE2341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Oct 29 15:47:01 CDT 2011
Mission Sample Count:  8110
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Oct 29 15:47:01 CDT 2011
Total Mission Samples:  8110
Total Device Samples:  12724
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/29/11 3:47:01 PM,C,23.121
10/29/11 4:17:01 PM,C,17.118
10/29/11 4:47:01 PM,C,16.618
10/29/11 5:17:01 PM,C,17.118
10/29/11 5:47:01 PM,C,15.116
10/29/11 6:17:01 PM,C,13.114
10/29/11 6:47:01 PM,C,12.614
10/29/11 7:17:01 PM,C,12.113
10/29/11 7:47:01 PM,C,11.613
10/29/11 8:17:01 PM,C,11.613
10/29/11 8:47:01 PM,C,11.613
10/29/11 9:17:01 PM,C,12.113
10/29/11 9:47:01 PM,C,11.112
10/29/11 10:17:01 PM,C,11.112
10/29/11 10:47:01 PM,C,11.112
10/29/11 11:17:01 PM,C,12.113
10/29/11 11:47:01 PM,C,12.614
10/30/11 12:17:01 AM,C,12.113
10/30/11 12:47:01 AM,C,12.614
10/30/11 1:17:01 AM,C,11.613
10/30/11 1:47:01 AM,C,11.613
10/30/11 1:17:01 AM,C,11.112
10/30/11 1:47:01 AM,C,10.611
10/30/11 2:17:01 AM,C,11.112
10/30/11 2:47:01 AM,C,10.611
10/30/11 3:17:01 AM,C,10.111
10/30/11 3:47:01 AM,C,10.611
10/30/11 4:17:01 AM,C,11.112
10/30/11 4:47:01 AM,C,11.112
10/30/11 5:17:01 AM,C,11.613
10/30/11 5:47:01 AM,C,11.613
10/30/11 6:17:01 AM,C,11.112
10/30/11 6:47:01 AM,C,11.112
10/30/11 7:17:01 AM,C,12.113
10/30/11 7:47:01 AM,C,14.115
10/30/11 8:17:01 AM,C,17.118
10/30/11 8:47:01 AM,C,18.119
10/30/11 9:17:01 AM,C,19.62
10/30/11 9:47:01 AM,C,20.62
10/30/11 10:17:01 AM,C,21.62
10/30/11 10:47:01 AM,C,22.621
10/30/11 11:17:01 AM,C,21.12
10/30/11 11:47:01 AM,C,22.621
10/30/11 12:17:01 PM,C,21.62
10/30/11 12:47:01 PM,C,22.621
10/30/11 1:17:01 PM,C,22.121
10/30/11 1:47:01 PM,C,22.621
10/30/11 2:17:01 PM,C,23.621
10/30/11 2:47:01 PM,C,25.121
10/30/11 3:17:01 PM,C,23.121
10/30/11 3:47:01 PM,C,19.62
10/30/11 4:17:01 PM,C,19.62
10/30/11 4:47:01 PM,C,18.619
10/30/11 5:17:01 PM,C,16.618
10/30/11 5:47:01 PM,C,14.115
10/30/11 6:17:01 PM,C,13.114
10/30/11 6:47:01 PM,C,12.113
10/30/11 7:17:01 PM,C,11.613
10/30/11 7:47:01 PM,C,11.613
10/30/11 8:17:01 PM,C,11.613
10/30/11 8:47:01 PM,C,12.113
10/30/11 9:17:01 PM,C,11.112
10/30/11 9:47:01 PM,C,11.112
10/30/11 10:17:01 PM,C,10.611
10/30/11 10:47:01 PM,C,10.111
10/30/11 11:17:01 PM,C,9.61
10/30/11 11:47:01 PM,C,10.611
10/31/11 12:17:01 AM,C,11.112
10/31/11 12:47:01 AM,C,11.112
10/31/11 1:17:01 AM,C,11.112
10/31/11 1:47:01 AM,C,11.613
10/31/11 2:17:01 AM,C,11.112
10/31/11 2:47:01 AM,C,11.112
10/31/11 3:17:01 AM,C,11.112
10/31/11 3:47:01 AM,C,11.112
10/31/11 4:17:01 AM,C,10.611
10/31/11 4:47:01 AM,C,10.611
10/31/11 5:17:01 AM,C,11.112
10/31/11 5:47:01 AM,C,11.112
10/31/11 6:17:01 AM,C,10.611
10/31/11 6:47:01 AM,C,10.611
10/31/11 7:17:01 AM,C,11.112
10/31/11 7:47:01 AM,C,15.617
10/31/11 8:17:01 AM,C,15.617
10/31/11 8:47:01 AM,C,16.117
10/31/11 9:17:01 AM,C,17.618
10/31/11 9:47:01 AM,C,18.619
10/31/11 10:17:01 AM,C,18.119
10/31/11 10:47:01 AM,C,20.62
10/31/11 11:17:01 AM,C,21.12
10/31/11 11:47:01 AM,C,21.62
10/31/11 12:17:01 PM,C,20.62
10/31/11 12:47:01 PM,C,21.62
10/31/11 1:17:01 PM,C,22.121
10/31/11 1:47:01 PM,C,21.12
10/31/11 2:17:01 PM,C,23.121
10/31/11 2:47:01 PM,C,25.121
10/31/11 3:17:01 PM,C,22.621
10/31/11 3:47:01 PM,C,21.12
10/31/11 4:17:01 PM,C,19.62
10/31/11 4:47:01 PM,C,19.119
10/31/11 5:17:01 PM,C,16.618
10/31/11 5:47:01 PM,C,14.616
10/31/11 6:17:01 PM,C,13.615
10/31/11 6:47:01 PM,C,12.614
10/31/11 7:17:01 PM,C,12.113
10/31/11 7:47:01 PM,C,13.114
10/31/11 8:17:01 PM,C,13.114
10/31/11 8:47:01 PM,C,13.615
10/31/11 9:17:01 PM,C,13.114
10/31/11 9:47:01 PM,C,13.615
10/31/11 10:17:01 PM,C,13.114
10/31/11 10:47:01 PM,C,12.113
10/31/11 11:17:01 PM,C,11.613
10/31/11 11:47:01 PM,C,12.113
11/1/11 12:17:01 AM,C,11.613
11/1/11 12:47:01 AM,C,11.112
11/1/11 1:17:01 AM,C,11.112
11/1/11 1:47:01 AM,C,10.111
11/1/11 2:17:01 AM,C,12.113
11/1/11 2:47:01 AM,C,12.614
11/1/11 3:17:01 AM,C,12.614
11/1/11 3:47:01 AM,C,12.614
11/1/11 4:17:01 AM,C,11.613
11/1/11 4:47:01 AM,C,11.613
11/1/11 5:17:01 AM,C,11.613
11/1/11 5:47:01 AM,C,11.112
11/1/11 6:17:01 AM,C,12.113
11/1/11 6:47:01 AM,C,12.614
11/1/11 7:17:01 AM,C,14.115
11/1/11 7:47:01 AM,C,16.117
11/1/11 8:17:01 AM,C,17.118
11/1/11 8:47:01 AM,C,18.619
11/1/11 9:17:01 AM,C,20.12
11/1/11 9:47:01 AM,C,21.12
11/1/11 10:17:01 AM,C,22.121
11/1/11 10:47:01 AM,C,23.121
11/1/11 11:17:01 AM,C,22.621
11/1/11 11:47:01 AM,C,22.621
11/1/11 12:17:01 PM,C,22.121
11/1/11 12:47:01 PM,C,23.121
11/1/11 1:17:01 PM,C,22.121
11/1/11 1:47:01 PM,C,23.621
11/1/11 2:17:01 PM,C,27.121
11/1/11 2:47:01 PM,C,26.621
11/1/11 3:17:01 PM,C,25.121
11/1/11 3:47:01 PM,C,23.121
11/1/11 4:17:01 PM,C,21.62
11/1/11 4:47:01 PM,C,19.62
11/1/11 5:17:01 PM,C,18.619
11/1/11 5:47:01 PM,C,17.118
11/1/11 6:17:01 PM,C,16.618
11/1/11 6:47:01 PM,C,15.617
11/1/11 7:17:01 PM,C,15.617
11/1/11 7:47:01 PM,C,15.617
11/1/11 8:17:01 PM,C,15.116
