1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 7800000013C7D741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Oct 29 16:24:01 CDT 2011
Mission Sample Count:  8110
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Oct 29 16:24:01 CDT 2011
Total Mission Samples:  8110
Total Device Samples:  12724
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/29/11 4:24:01 PM,C,18.632
10/29/11 4:54:01 PM,C,17.13
10/29/11 5:24:01 PM,C,16.629
10/29/11 5:54:01 PM,C,14.625
10/29/11 6:24:01 PM,C,12.62
10/29/11 6:54:01 PM,C,12.62
10/29/11 7:24:01 PM,C,11.617
10/29/11 7:54:01 PM,C,11.116
10/29/11 8:24:01 PM,C,11.116
10/29/11 8:54:01 PM,C,11.116
10/29/11 9:24:01 PM,C,11.617
10/29/11 9:54:01 PM,C,10.614
10/29/11 10:24:01 PM,C,10.614
10/29/11 10:54:01 PM,C,10.614
10/29/11 11:24:01 PM,C,11.116
10/29/11 11:54:01 PM,C,11.116
10/30/11 12:24:01 AM,C,11.617
10/30/11 12:54:01 AM,C,12.118
10/30/11 1:24:01 AM,C,11.617
10/30/11 1:54:01 AM,C,11.617
10/30/11 1:24:01 AM,C,11.617
10/30/11 1:54:01 AM,C,11.116
10/30/11 2:24:01 AM,C,11.617
10/30/11 2:54:01 AM,C,11.116
10/30/11 3:24:01 AM,C,11.116
10/30/11 3:54:01 AM,C,10.614
10/30/11 4:24:01 AM,C,10.614
10/30/11 4:54:01 AM,C,11.116
10/30/11 5:24:01 AM,C,11.617
10/30/11 5:54:01 AM,C,11.116
10/30/11 6:24:01 AM,C,10.614
10/30/11 6:54:01 AM,C,9.611
10/30/11 7:24:01 AM,C,10.614
10/30/11 7:54:01 AM,C,13.622
10/30/11 8:24:01 AM,C,18.131
10/30/11 8:54:01 AM,C,22.636
10/30/11 9:24:01 AM,C,21.635
10/30/11 9:54:01 AM,C,22.636
10/30/11 10:24:01 AM,C,22.136
10/30/11 10:54:01 AM,C,22.636
10/30/11 11:24:01 AM,C,22.636
10/30/11 11:54:01 AM,C,22.636
10/30/11 12:24:01 PM,C,23.136
10/30/11 12:54:01 PM,C,22.136
10/30/11 1:24:01 PM,C,21.635
10/30/11 1:54:01 PM,C,22.136
10/30/11 2:24:01 PM,C,22.636
10/30/11 2:54:01 PM,C,22.136
10/30/11 3:24:01 PM,C,21.135
10/30/11 3:54:01 PM,C,20.134
10/30/11 4:24:01 PM,C,19.133
10/30/11 4:54:01 PM,C,17.13
10/30/11 5:24:01 PM,C,15.126
10/30/11 5:54:01 PM,C,13.121
10/30/11 6:24:01 PM,C,11.617
10/30/11 6:54:01 PM,C,11.116
10/30/11 7:24:01 PM,C,11.116
10/30/11 7:54:01 PM,C,10.113
