1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3C000000149A1841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Mon Apr 16 12:35:01 CDT 2012
Mission Sample Count:  7180
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Mon Apr 16 12:35:01 CDT 2012
Total Mission Samples:  7180
Total Device Samples:  22058
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/16/12 12:35:01 PM,C,24.18
4/16/12 1:35:01 PM,C,28.679
4/16/12 2:35:01 PM,C,26.679
4/16/12 3:35:01 PM,C,26.679
4/16/12 4:35:01 PM,C,24.68
4/16/12 5:35:01 PM,C,26.18
4/16/12 6:35:01 PM,C,23.679
4/16/12 7:35:01 PM,C,20.177
4/16/12 8:35:01 PM,C,16.171
4/16/12 9:35:01 PM,C,17.674
4/16/12 10:35:01 PM,C,12.162
4/16/12 11:35:01 PM,C,11.66
4/17/12 12:35:01 AM,C,13.164
4/17/12 1:35:01 AM,C,11.66
4/17/12 2:35:01 AM,C,13.164
4/17/12 3:35:01 AM,C,15.169
4/17/12 4:35:01 AM,C,9.654
4/17/12 5:35:01 AM,C,9.654
4/17/12 6:35:01 AM,C,6.644
4/17/12 7:35:01 AM,C,7.145
4/17/12 8:35:01 AM,C,16.672
4/17/12 9:35:01 AM,C,24.18
4/17/12 10:35:01 AM,C,25.18
4/17/12 11:35:01 AM,C,27.679
4/17/12 12:35:01 PM,C,27.679
4/17/12 1:35:01 PM,C,27.679
4/17/12 2:35:01 PM,C,27.179
4/17/12 3:35:01 PM,C,26.679
4/17/12 4:35:01 PM,C,27.179
4/17/12 5:35:01 PM,C,26.679
4/17/12 6:35:01 PM,C,25.18
4/17/12 7:35:01 PM,C,21.178
4/17/12 8:35:01 PM,C,19.676
4/17/12 9:35:01 PM,C,17.674
4/17/12 10:35:01 PM,C,18.174
4/17/12 11:35:01 PM,C,18.174
4/18/12 12:35:01 AM,C,18.174
4/18/12 1:35:01 AM,C,17.674
4/18/12 2:35:01 AM,C,17.674
4/18/12 3:35:01 AM,C,16.672
4/18/12 4:35:01 AM,C,17.173
4/18/12 5:35:01 AM,C,16.672
4/18/12 6:35:01 AM,C,16.171
4/18/12 7:35:01 AM,C,14.668
4/18/12 8:35:01 AM,C,20.177
4/18/12 9:35:01 AM,C,25.68
4/18/12 10:35:01 AM,C,26.18
4/18/12 11:35:01 AM,C,28.179
4/18/12 12:35:01 PM,C,29.678
4/18/12 1:35:01 PM,C,32.175
4/18/12 2:35:01 PM,C,32.175
4/18/12 3:35:01 PM,C,29.678
4/18/12 4:35:01 PM,C,30.177
4/18/12 5:35:01 PM,C,31.176
4/18/12 6:35:01 PM,C,27.679
4/18/12 7:35:01 PM,C,24.18
4/18/12 8:35:01 PM,C,23.179
4/18/12 9:35:01 PM,C,22.179
4/18/12 10:35:01 PM,C,22.179
4/18/12 11:35:01 PM,C,21.678
4/19/12 12:35:01 AM,C,21.678
4/19/12 1:35:01 AM,C,20.677
4/19/12 2:35:01 AM,C,20.677
4/19/12 3:35:01 AM,C,21.178
4/19/12 4:35:01 AM,C,20.677
4/19/12 5:35:01 AM,C,21.678
4/19/12 6:35:01 AM,C,19.676
4/19/12 7:35:01 AM,C,20.177
4/19/12 8:35:01 AM,C,23.179
4/19/12 9:35:01 AM,C,28.179
4/19/12 10:35:01 AM,C,32.175
4/19/12 11:35:01 AM,C,32.674
4/19/12 12:35:01 PM,C,32.674
4/19/12 1:35:01 PM,C,33.173
4/19/12 2:35:01 PM,C,32.175
4/19/12 3:35:01 PM,C,28.679
4/19/12 4:35:01 PM,C,33.672
4/19/12 5:35:01 PM,C,32.175
4/19/12 6:35:01 PM,C,30.177
4/19/12 7:35:01 PM,C,26.679
4/19/12 8:35:01 PM,C,24.18
4/19/12 9:35:01 PM,C,20.177
4/19/12 10:35:01 PM,C,19.176
4/19/12 11:35:01 PM,C,17.674
4/20/12 12:35:01 AM,C,17.674
4/20/12 1:35:01 AM,C,18.675
4/20/12 2:35:01 AM,C,18.174
4/20/12 3:35:01 AM,C,18.675
4/20/12 4:35:01 AM,C,21.678
4/20/12 5:35:01 AM,C,19.676
4/20/12 6:35:01 AM,C,20.677
4/20/12 7:35:01 AM,C,15.67
4/20/12 8:35:01 AM,C,19.176
4/20/12 9:35:01 AM,C,23.179
4/20/12 10:35:01 AM,C,23.179
4/20/12 11:35:01 AM,C,25.18
4/20/12 12:35:01 PM,C,24.68
4/20/12 1:35:01 PM,C,26.679
4/20/12 2:35:01 PM,C,26.18
4/20/12 3:35:01 PM,C,25.18
4/20/12 4:35:01 PM,C,25.18
4/20/12 5:35:01 PM,C,25.68
4/20/12 6:35:01 PM,C,23.179
4/20/12 7:35:01 PM,C,20.677
4/20/12 8:35:01 PM,C,18.174
4/20/12 9:35:01 PM,C,15.169
4/20/12 10:35:01 PM,C,14.668
4/20/12 11:35:01 PM,C,15.67
4/21/12 12:35:01 AM,C,14.167
4/21/12 1:35:01 AM,C,14.668
4/21/12 2:35:01 AM,C,16.171
4/21/12 3:35:01 AM,C,14.167
4/21/12 4:35:01 AM,C,12.162
4/21/12 5:35:01 AM,C,11.66
4/21/12 6:35:01 AM,C,9.654
4/21/12 7:35:01 AM,C,9.153
4/21/12 8:35:01 AM,C,20.177
4/21/12 9:35:01 AM,C,25.18
4/21/12 10:35:01 AM,C,24.68
4/21/12 11:35:01 AM,C,25.68
4/21/12 12:35:01 PM,C,27.179
4/21/12 1:35:01 PM,C,29.178
4/21/12 2:35:01 PM,C,30.677
4/21/12 3:35:01 PM,C,29.178
4/21/12 4:35:01 PM,C,28.179
4/21/12 5:35:01 PM,C,28.179
4/21/12 6:35:01 PM,C,26.18
4/21/12 7:35:01 PM,C,23.679
4/21/12 8:35:01 PM,C,22.179
4/21/12 9:35:01 PM,C,20.177
4/21/12 10:35:01 PM,C,19.176
4/21/12 11:35:01 PM,C,19.676
4/22/12 12:35:01 AM,C,19.176
4/22/12 1:35:01 AM,C,20.177
4/22/12 2:35:01 AM,C,19.676
4/22/12 3:35:01 AM,C,19.176
4/22/12 4:35:01 AM,C,17.674
4/22/12 5:35:01 AM,C,16.672
4/22/12 6:35:01 AM,C,14.167
4/22/12 7:35:01 AM,C,14.167
4/22/12 8:35:01 AM,C,24.18
4/22/12 9:35:01 AM,C,29.178
4/22/12 10:35:01 AM,C,29.178
4/22/12 11:35:01 AM,C,32.175
4/22/12 12:35:01 PM,C,33.173
4/22/12 1:35:01 PM,C,35.668
4/22/12 2:35:01 PM,C,33.672
4/22/12 3:35:01 PM,C,30.177
4/22/12 4:35:01 PM,C,29.178
4/22/12 5:35:01 PM,C,30.677
4/22/12 6:35:01 PM,C,28.679
4/22/12 7:35:01 PM,C,26.18
4/22/12 8:35:01 PM,C,21.178
4/22/12 9:35:01 PM,C,21.678
4/22/12 10:35:01 PM,C,22.179
4/22/12 11:35:01 PM,C,22.679
4/23/12 12:35:01 AM,C,22.179
4/23/12 1:35:01 AM,C,22.179
4/23/12 2:35:01 AM,C,20.677
4/23/12 3:35:01 AM,C,19.676
4/23/12 4:35:01 AM,C,20.677
4/23/12 5:35:01 AM,C,20.677
4/23/12 6:35:01 AM,C,15.67
4/23/12 7:35:01 AM,C,16.672
4/23/12 8:35:01 AM,C,22.679
4/23/12 9:35:01 AM,C,28.679
4/23/12 10:35:01 AM,C,29.178
4/23/12 11:35:01 AM,C,29.178
4/23/12 12:35:01 PM,C,27.679
