1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 3A0000000FCD1A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sun Apr 15 18:50:01 CDT 2012
Mission Sample Count:  7201
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Apr 15 18:50:01 CDT 2012
Total Mission Samples:  7201
Total Device Samples:  20592
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/15/12 6:50:01 PM,C,20.646
4/15/12 7:50:01 PM,C,17.141
4/15/12 8:50:01 PM,C,14.135
4/15/12 9:50:01 PM,C,10.125
4/15/12 10:50:01 PM,C,9.121
4/15/12 11:50:01 PM,C,8.118
4/16/12 12:50:01 AM,C,9.623
4/16/12 1:50:01 AM,C,9.121
4/16/12 2:50:01 AM,C,7.616
4/16/12 3:50:01 AM,C,9.121
4/16/12 4:50:01 AM,C,9.121
4/16/12 5:50:01 AM,C,8.118
4/16/12 6:50:01 AM,C,7.616
4/16/12 7:50:01 AM,C,7.114
4/16/12 8:50:01 AM,C,9.121
4/16/12 9:50:01 AM,C,17.642
4/16/12 10:50:01 AM,C,21.147
4/16/12 11:50:01 AM,C,21.647
4/16/12 12:50:01 PM,C,22.648
4/16/12 1:50:01 PM,C,24.148
4/16/12 2:50:01 PM,C,24.148
4/16/12 3:50:01 PM,C,23.148
4/16/12 4:50:01 PM,C,23.148
4/16/12 5:50:01 PM,C,22.648
4/16/12 6:50:01 PM,C,23.148
4/16/12 7:50:01 PM,C,19.645
4/16/12 8:50:01 PM,C,15.639
4/16/12 9:50:01 PM,C,14.135
4/16/12 10:50:01 PM,C,11.629
4/16/12 11:50:01 PM,C,11.629
4/17/12 12:50:01 AM,C,12.13
4/17/12 1:50:01 AM,C,11.128
4/17/12 2:50:01 AM,C,10.626
4/17/12 3:50:01 AM,C,11.128
4/17/12 4:50:01 AM,C,10.125
4/17/12 5:50:01 AM,C,8.118
4/17/12 6:50:01 AM,C,8.118
4/17/12 7:50:01 AM,C,8.62
4/17/12 8:50:01 AM,C,11.128
4/17/12 9:50:01 AM,C,19.144
4/17/12 10:50:01 AM,C,22.147
4/17/12 11:50:01 AM,C,21.147
4/17/12 12:50:01 PM,C,24.648
4/17/12 1:50:01 PM,C,26.148
4/17/12 2:50:01 PM,C,23.148
4/17/12 3:50:01 PM,C,24.148
4/17/12 4:50:01 PM,C,25.148
4/17/12 5:50:01 PM,C,25.148
4/17/12 6:50:01 PM,C,24.148
4/17/12 7:50:01 PM,C,21.647
4/17/12 8:50:01 PM,C,17.141
4/17/12 9:50:01 PM,C,16.641
4/17/12 10:50:01 PM,C,16.641
4/17/12 11:50:01 PM,C,16.641
4/18/12 12:50:01 AM,C,16.641
4/18/12 1:50:01 AM,C,16.641
4/18/12 2:50:01 AM,C,16.14
4/18/12 3:50:01 AM,C,16.14
4/18/12 4:50:01 AM,C,16.14
4/18/12 5:50:01 AM,C,15.138
4/18/12 6:50:01 AM,C,15.639
4/18/12 7:50:01 AM,C,13.133
4/18/12 8:50:01 AM,C,12.632
4/18/12 9:50:01 AM,C,21.147
4/18/12 10:50:01 AM,C,23.648
4/18/12 11:50:01 AM,C,24.148
4/18/12 12:50:01 PM,C,26.148
4/18/12 1:50:01 PM,C,29.647
4/18/12 2:50:01 PM,C,27.648
4/18/12 3:50:01 PM,C,28.647
4/18/12 4:50:01 PM,C,28.148
4/18/12 5:50:01 PM,C,28.148
4/18/12 6:50:01 PM,C,27.148
4/18/12 7:50:01 PM,C,22.648
4/18/12 8:50:01 PM,C,21.147
4/18/12 9:50:01 PM,C,21.147
4/18/12 10:50:01 PM,C,21.147
4/18/12 11:50:01 PM,C,20.646
4/19/12 12:50:01 AM,C,21.147
4/19/12 1:50:01 AM,C,19.645
4/19/12 2:50:01 AM,C,21.147
4/19/12 3:50:01 AM,C,20.646
4/19/12 4:50:01 AM,C,20.146
4/19/12 5:50:01 AM,C,19.645
4/19/12 6:50:01 AM,C,20.646
4/19/12 7:50:01 AM,C,19.645
4/19/12 8:50:01 AM,C,20.146
4/19/12 9:50:01 AM,C,24.148
4/19/12 10:50:01 AM,C,24.148
4/19/12 11:50:01 AM,C,26.148
4/19/12 12:50:01 PM,C,27.648
4/19/12 1:50:01 PM,C,30.146
4/19/12 2:50:01 PM,C,28.647
4/19/12 3:50:01 PM,C,29.147
4/19/12 4:50:01 PM,C,28.148
4/19/12 5:50:01 PM,C,28.647
4/19/12 6:50:01 PM,C,28.647
4/19/12 7:50:01 PM,C,24.648
4/19/12 8:50:01 PM,C,21.647
4/19/12 9:50:01 PM,C,18.644
4/19/12 10:50:01 PM,C,18.644
4/19/12 11:50:01 PM,C,17.141
4/20/12 12:50:01 AM,C,15.138
4/20/12 1:50:01 AM,C,16.641
4/20/12 2:50:01 AM,C,15.639
4/20/12 3:50:01 AM,C,15.138
4/20/12 4:50:01 AM,C,15.138
4/20/12 5:50:01 AM,C,17.642
4/20/12 6:50:01 AM,C,18.644
4/20/12 7:50:01 AM,C,14.135
4/20/12 8:50:01 AM,C,15.138
4/20/12 9:50:01 AM,C,18.143
4/20/12 10:50:01 AM,C,20.146
4/20/12 11:50:01 AM,C,22.648
