1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: A700000013C74541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sun Apr 15 08:15:01 CDT 2012
Mission Sample Count:  7202
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Apr 15 08:15:01 CDT 2012
Total Mission Samples:  7202
Total Device Samples:  19921
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/15/12 8:15:01 AM,C,16.686
4/15/12 9:15:01 AM,C,8.158
4/15/12 10:15:01 AM,C,13.177
4/15/12 11:15:01 AM,C,13.678
4/15/12 12:15:01 PM,C,15.182
4/15/12 1:15:01 PM,C,17.688
4/15/12 2:15:01 PM,C,19.691
4/15/12 3:15:01 PM,C,20.192
4/15/12 4:15:01 PM,C,20.192
4/15/12 5:15:01 PM,C,21.694
4/15/12 6:15:01 PM,C,20.192
4/15/12 7:15:01 PM,C,19.191
4/15/12 8:15:01 PM,C,15.182
4/15/12 9:15:01 PM,C,13.177
4/15/12 10:15:01 PM,C,11.672
4/15/12 11:15:01 PM,C,11.672
4/16/12 12:15:01 AM,C,12.174
4/16/12 1:15:01 AM,C,10.668
4/16/12 2:15:01 AM,C,10.166
4/16/12 3:15:01 AM,C,11.17
4/16/12 4:15:01 AM,C,11.672
4/16/12 5:15:01 AM,C,11.17
4/16/12 6:15:01 AM,C,10.668
4/16/12 7:15:01 AM,C,9.664
4/16/12 8:15:01 AM,C,10.668
4/16/12 9:15:01 AM,C,13.177
4/16/12 10:15:01 AM,C,17.187
4/16/12 11:15:01 AM,C,19.191
4/16/12 12:15:01 PM,C,19.191
4/16/12 1:15:01 PM,C,21.694
4/16/12 2:15:01 PM,C,23.195
4/16/12 3:15:01 PM,C,24.195
4/16/12 4:15:01 PM,C,24.695
4/16/12 5:15:01 PM,C,24.195
4/16/12 6:15:01 PM,C,23.695
4/16/12 7:15:01 PM,C,22.694
4/16/12 8:15:01 PM,C,17.688
4/16/12 9:15:01 PM,C,16.185
4/16/12 10:15:01 PM,C,14.681
4/16/12 11:15:01 PM,C,14.18
4/17/12 12:15:01 AM,C,14.18
4/17/12 1:15:01 AM,C,14.18
4/17/12 2:15:01 AM,C,13.678
4/17/12 3:15:01 AM,C,13.678
4/17/12 4:15:01 AM,C,13.177
4/17/12 5:15:01 AM,C,12.675
4/17/12 6:15:01 AM,C,10.166
4/17/12 7:15:01 AM,C,10.668
4/17/12 8:15:01 AM,C,11.672
4/17/12 9:15:01 AM,C,15.182
4/17/12 10:15:01 AM,C,17.688
4/17/12 11:15:01 AM,C,18.189
4/17/12 12:15:01 PM,C,18.69
4/17/12 1:15:01 PM,C,21.193
4/17/12 2:15:01 PM,C,22.694
4/17/12 3:15:01 PM,C,21.694
4/17/12 4:15:01 PM,C,22.694
4/17/12 5:15:01 PM,C,24.195
4/17/12 6:15:01 PM,C,24.195
4/17/12 7:15:01 PM,C,23.195
4/17/12 8:15:01 PM,C,19.191
4/17/12 9:15:01 PM,C,18.69
4/17/12 10:15:01 PM,C,17.688
4/17/12 11:15:01 PM,C,16.686
4/18/12 12:15:01 AM,C,16.185
4/18/12 1:15:01 AM,C,16.185
4/18/12 2:15:01 AM,C,15.684
4/18/12 3:15:01 AM,C,15.684
4/18/12 4:15:01 AM,C,15.684
4/18/12 5:15:01 AM,C,15.182
4/18/12 6:15:01 AM,C,14.681
4/18/12 7:15:01 AM,C,14.18
4/18/12 8:15:01 AM,C,14.18
4/18/12 9:15:01 AM,C,16.686
4/18/12 10:15:01 AM,C,21.694
4/18/12 11:15:01 AM,C,22.194
4/18/12 12:15:01 PM,C,24.195
4/18/12 1:15:01 PM,C,25.195
4/18/12 2:15:01 PM,C,27.195
4/18/12 3:15:01 PM,C,27.695
4/18/12 4:15:01 PM,C,26.695
4/18/12 5:15:01 PM,C,27.195
4/18/12 6:15:01 PM,C,26.695
4/18/12 7:15:01 PM,C,25.695
4/18/12 8:15:01 PM,C,21.694
4/18/12 9:15:01 PM,C,21.694
4/18/12 10:15:01 PM,C,21.193
4/18/12 11:15:01 PM,C,20.192
4/19/12 12:15:01 AM,C,20.693
4/19/12 1:15:01 AM,C,19.191
4/19/12 2:15:01 AM,C,19.191
4/19/12 3:15:01 AM,C,20.192
4/19/12 4:15:01 AM,C,20.192
4/19/12 5:15:01 AM,C,20.192
4/19/12 6:15:01 AM,C,19.691
4/19/12 7:15:01 AM,C,20.192
4/19/12 8:15:01 AM,C,19.691
4/19/12 9:15:01 AM,C,21.694
4/19/12 10:15:01 AM,C,24.195
4/19/12 11:15:01 AM,C,22.694
4/19/12 12:15:01 PM,C,26.195
4/19/12 1:15:01 PM,C,24.695
4/19/12 2:15:01 PM,C,27.195
4/19/12 3:15:01 PM,C,30.192
4/19/12 4:15:01 PM,C,26.695
4/19/12 5:15:01 PM,C,30.692
4/19/12 6:15:01 PM,C,29.693
4/19/12 7:15:01 PM,C,27.695
4/19/12 8:15:01 PM,C,23.195
4/19/12 9:15:01 PM,C,20.693
4/19/12 10:15:01 PM,C,20.693
4/19/12 11:15:01 PM,C,19.691
4/20/12 12:15:01 AM,C,19.691
4/20/12 1:15:01 AM,C,19.191
4/20/12 2:15:01 AM,C,19.191
4/20/12 3:15:01 AM,C,17.187
4/20/12 4:15:01 AM,C,18.69
4/20/12 5:15:01 AM,C,18.189
4/20/12 6:15:01 AM,C,17.187
4/20/12 7:15:01 AM,C,17.187
4/20/12 8:15:01 AM,C,14.681
4/20/12 9:15:01 AM,C,14.681
4/20/12 10:15:01 AM,C,16.185
4/20/12 11:15:01 AM,C,17.688
4/20/12 12:15:01 PM,C,19.691
4/20/12 1:15:01 PM,C,20.693
4/20/12 2:15:01 PM,C,21.694
4/20/12 3:15:01 PM,C,25.695
4/20/12 4:15:01 PM,C,22.694
4/20/12 5:15:01 PM,C,26.195
4/20/12 6:15:01 PM,C,24.195
4/20/12 7:15:01 PM,C,21.694
4/20/12 8:15:01 PM,C,18.189
4/20/12 9:15:01 PM,C,16.686
4/20/12 10:15:01 PM,C,16.185
4/20/12 11:15:01 PM,C,15.684
4/21/12 12:15:01 AM,C,15.182
4/21/12 1:15:01 AM,C,14.681
4/21/12 2:15:01 AM,C,14.18
4/21/12 3:15:01 AM,C,13.678
4/21/12 4:15:01 AM,C,14.18
4/21/12 5:15:01 AM,C,13.678
4/21/12 6:15:01 AM,C,11.672
4/21/12 7:15:01 AM,C,11.17
4/21/12 8:15:01 AM,C,11.672
4/21/12 9:15:01 AM,C,14.18
4/21/12 10:15:01 AM,C,18.69
4/21/12 11:15:01 AM,C,20.693
4/21/12 12:15:01 PM,C,22.194
4/21/12 1:15:01 PM,C,24.695
4/21/12 2:15:01 PM,C,25.195
4/21/12 3:15:01 PM,C,26.695
4/21/12 4:15:01 PM,C,27.195
4/21/12 5:15:01 PM,C,29.193
4/21/12 6:15:01 PM,C,27.695
4/21/12 7:15:01 PM,C,24.695
4/21/12 8:15:01 PM,C,21.193
4/21/12 9:15:01 PM,C,20.693
4/21/12 10:15:01 PM,C,20.192
4/21/12 11:15:01 PM,C,18.69
4/22/12 12:15:01 AM,C,19.691
4/22/12 1:15:01 AM,C,19.191
4/22/12 2:15:01 AM,C,19.191
4/22/12 3:15:01 AM,C,18.189
4/22/12 4:15:01 AM,C,17.688
4/22/12 5:15:01 AM,C,17.187
4/22/12 6:15:01 AM,C,16.185
4/22/12 7:15:01 AM,C,16.686
4/22/12 8:15:01 AM,C,16.686
4/22/12 9:15:01 AM,C,19.691
4/22/12 10:15:01 AM,C,21.694
4/22/12 11:15:01 AM,C,22.694
4/22/12 12:15:01 PM,C,24.195
4/22/12 1:15:01 PM,C,26.695
4/22/12 2:15:01 PM,C,26.695
4/22/12 3:15:01 PM,C,28.194
4/22/12 4:15:01 PM,C,29.193
4/22/12 5:15:01 PM,C,30.192
4/22/12 6:15:01 PM,C,27.695
4/22/12 7:15:01 PM,C,27.695
4/22/12 8:15:01 PM,C,23.695
4/22/12 9:15:01 PM,C,22.194
4/22/12 10:15:01 PM,C,21.694
4/22/12 11:15:01 PM,C,21.193
4/23/12 12:15:01 AM,C,20.693
4/23/12 1:15:01 AM,C,19.691
4/23/12 2:15:01 AM,C,19.691
4/23/12 3:15:01 AM,C,19.691
4/23/12 4:15:01 AM,C,19.691
4/23/12 5:15:01 AM,C,19.191
4/23/12 6:15:01 AM,C,18.189
4/23/12 7:15:01 AM,C,18.69
4/23/12 8:15:01 AM,C,18.189
4/23/12 9:15:01 AM,C,20.693
4/23/12 10:15:01 AM,C,21.694
4/23/12 11:15:01 AM,C,23.195
4/23/12 12:15:01 PM,C,23.695
4/23/12 1:15:01 PM,C,24.695
4/23/12 2:15:01 PM,C,26.695
4/23/12 3:15:01 PM,C,27.695
4/23/12 4:15:01 PM,C,29.193
4/23/12 5:15:01 PM,C,30.692
4/23/12 6:15:01 PM,C,27.695
4/23/12 7:15:01 PM,C,27.195
4/23/12 8:15:01 PM,C,23.695
4/23/12 9:15:01 PM,C,22.194
4/23/12 10:15:01 PM,C,20.693
4/23/12 11:15:01 PM,C,20.192
4/24/12 12:15:01 AM,C,19.691
4/24/12 1:15:01 AM,C,20.693
4/24/12 2:15:01 AM,C,20.192
4/24/12 3:15:01 AM,C,20.693
4/24/12 4:15:01 AM,C,21.694
4/24/12 5:15:01 AM,C,21.694
4/24/12 6:15:01 AM,C,21.193
4/24/12 7:15:01 AM,C,20.693
4/24/12 8:15:01 AM,C,19.191
4/24/12 9:15:01 AM,C,23.695
4/24/12 10:15:01 AM,C,26.695
4/24/12 11:15:01 AM,C,28.194
4/24/12 12:15:01 PM,C,28.694
4/24/12 1:15:01 PM,C,29.193
4/24/12 2:15:01 PM,C,31.191
4/24/12 3:15:01 PM,C,32.189
4/24/12 4:15:01 PM,C,33.187
4/24/12 5:15:01 PM,C,30.192
4/24/12 6:15:01 PM,C,30.192
4/24/12 7:15:01 PM,C,24.695
4/24/12 8:15:01 PM,C,24.195
4/24/12 9:15:01 PM,C,23.695
4/24/12 10:15:01 PM,C,24.195
4/24/12 11:15:01 PM,C,23.195
4/25/12 12:15:01 AM,C,23.195
4/25/12 1:15:01 AM,C,23.195
4/25/12 2:15:01 AM,C,22.694
4/25/12 3:15:01 AM,C,22.694
4/25/12 4:15:01 AM,C,20.693
4/25/12 5:15:01 AM,C,21.193
4/25/12 6:15:01 AM,C,21.193
4/25/12 7:15:01 AM,C,21.193
4/25/12 8:15:01 AM,C,22.194
4/25/12 9:15:01 AM,C,25.695
4/25/12 10:15:01 AM,C,27.695
4/25/12 11:15:01 AM,C,28.194
4/25/12 12:15:01 PM,C,30.692
4/25/12 1:15:01 PM,C,31.69
4/25/12 2:15:01 PM,C,32.688
4/25/12 3:15:01 PM,C,33.187
4/25/12 4:15:01 PM,C,33.686
4/25/12 5:15:01 PM,C,33.686
4/25/12 6:15:01 PM,C,34.684
4/25/12 7:15:01 PM,C,32.688
4/25/12 8:15:01 PM,C,29.193
4/25/12 9:15:01 PM,C,25.195
4/25/12 10:15:01 PM,C,24.695
4/25/12 11:15:01 PM,C,24.195
4/26/12 12:15:01 AM,C,25.195
4/26/12 1:15:01 AM,C,24.695
4/26/12 2:15:01 AM,C,24.695
4/26/12 3:15:01 AM,C,24.195
4/26/12 4:15:01 AM,C,23.695
