1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 7800000013C7D741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sun Apr 15 15:07:01 CDT 2012
Mission Sample Count:  7201
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Apr 15 15:07:01 CDT 2012
Total Mission Samples:  7201
Total Device Samples:  19927
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/15/12 3:07:01 PM,C,23.636
4/15/12 4:07:01 PM,C,20.634
4/15/12 5:07:01 PM,C,19.633
4/15/12 6:07:01 PM,C,19.133
4/15/12 7:07:01 PM,C,13.121
4/15/12 8:07:01 PM,C,10.614
4/15/12 9:07:01 PM,C,9.109
4/15/12 10:07:01 PM,C,9.611
4/15/12 11:07:01 PM,C,8.608
4/16/12 12:07:01 AM,C,9.109
4/16/12 1:07:01 AM,C,8.106
4/16/12 2:07:01 AM,C,7.102
4/16/12 3:07:01 AM,C,7.102
4/16/12 4:07:01 AM,C,7.604
4/16/12 5:07:01 AM,C,7.102
4/16/12 6:07:01 AM,C,6.098
4/16/12 7:07:01 AM,C,6.6
4/16/12 8:07:01 AM,C,8.608
4/16/12 9:07:01 AM,C,16.128
4/16/12 10:07:01 AM,C,19.133
4/16/12 11:07:01 AM,C,20.134
4/16/12 12:07:01 PM,C,20.134
4/16/12 1:07:01 PM,C,20.634
4/16/12 2:07:01 PM,C,21.135
4/16/12 3:07:01 PM,C,24.637
4/16/12 4:07:01 PM,C,25.637
4/16/12 5:07:01 PM,C,24.637
4/16/12 6:07:01 PM,C,22.636
4/16/12 7:07:01 PM,C,16.128
4/16/12 8:07:01 PM,C,13.121
4/16/12 9:07:01 PM,C,10.614
4/16/12 10:07:01 PM,C,10.113
4/16/12 11:07:01 PM,C,8.608
4/17/12 12:07:01 AM,C,8.608
4/17/12 1:07:01 AM,C,8.608
4/17/12 2:07:01 AM,C,7.102
4/17/12 3:07:01 AM,C,9.109
4/17/12 4:07:01 AM,C,8.608
4/17/12 5:07:01 AM,C,7.604
4/17/12 6:07:01 AM,C,9.109
4/17/12 7:07:01 AM,C,9.109
4/17/12 8:07:01 AM,C,10.614
4/17/12 9:07:01 AM,C,15.627
4/17/12 10:07:01 AM,C,19.133
4/17/12 11:07:01 AM,C,18.632
4/17/12 12:07:01 PM,C,17.63
4/17/12 1:07:01 PM,C,19.633
4/17/12 2:07:01 PM,C,19.633
4/17/12 3:07:01 PM,C,19.133
4/17/12 4:07:01 PM,C,23.636
4/17/12 5:07:01 PM,C,22.136
4/17/12 6:07:01 PM,C,23.136
4/17/12 7:07:01 PM,C,15.627
4/17/12 8:07:01 PM,C,14.625
4/17/12 9:07:01 PM,C,13.622
4/17/12 10:07:01 PM,C,13.622
4/17/12 11:07:01 PM,C,12.62
4/18/12 12:07:01 AM,C,12.118
4/18/12 1:07:01 AM,C,11.116
4/18/12 2:07:01 AM,C,11.116
4/18/12 3:07:01 AM,C,11.116
4/18/12 4:07:01 AM,C,11.617
4/18/12 5:07:01 AM,C,11.116
4/18/12 6:07:01 AM,C,9.611
4/18/12 7:07:01 AM,C,10.113
4/18/12 8:07:01 AM,C,13.121
4/18/12 9:07:01 AM,C,18.632
4/18/12 10:07:01 AM,C,23.636
4/18/12 11:07:01 AM,C,25.137
4/18/12 12:07:01 PM,C,25.137
4/18/12 1:07:01 PM,C,26.637
4/18/12 2:07:01 PM,C,25.637
4/18/12 3:07:01 PM,C,26.637
4/18/12 4:07:01 PM,C,27.136
4/18/12 5:07:01 PM,C,23.636
4/18/12 6:07:01 PM,C,24.137
4/18/12 7:07:01 PM,C,19.133
4/18/12 8:07:01 PM,C,17.13
4/18/12 9:07:01 PM,C,17.13
4/18/12 10:07:01 PM,C,16.629
4/18/12 11:07:01 PM,C,16.128
4/19/12 12:07:01 AM,C,15.627
4/19/12 1:07:01 AM,C,14.625
4/19/12 2:07:01 AM,C,14.625
4/19/12 3:07:01 AM,C,15.627
4/19/12 4:07:01 AM,C,16.128
4/19/12 5:07:01 AM,C,15.627
4/19/12 6:07:01 AM,C,15.126
4/19/12 7:07:01 AM,C,15.126
4/19/12 8:07:01 AM,C,15.126
4/19/12 9:07:01 AM,C,20.134
4/19/12 10:07:01 AM,C,23.136
4/19/12 11:07:01 AM,C,20.634
4/19/12 12:07:01 PM,C,23.136
4/19/12 1:07:01 PM,C,27.636
4/19/12 2:07:01 PM,C,26.637
4/19/12 3:07:01 PM,C,29.135
4/19/12 4:07:01 PM,C,31.133
4/19/12 5:07:01 PM,C,28.636
4/19/12 6:07:01 PM,C,28.136
4/19/12 7:07:01 PM,C,20.634
4/19/12 8:07:01 PM,C,18.131
4/19/12 9:07:01 PM,C,16.128
4/19/12 10:07:01 PM,C,16.629
4/19/12 11:07:01 PM,C,16.629
4/20/12 12:07:01 AM,C,14.124
4/20/12 1:07:01 AM,C,13.622
4/20/12 2:07:01 AM,C,14.625
4/20/12 3:07:01 AM,C,15.126
4/20/12 4:07:01 AM,C,14.625
4/20/12 5:07:01 AM,C,14.625
4/20/12 6:07:01 AM,C,14.124
4/20/12 7:07:01 AM,C,13.121
4/20/12 8:07:01 AM,C,13.622
4/20/12 9:07:01 AM,C,17.13
4/20/12 10:07:01 AM,C,18.131
4/20/12 11:07:01 AM,C,18.632
4/20/12 12:07:01 PM,C,21.635
4/20/12 1:07:01 PM,C,23.136
4/20/12 2:07:01 PM,C,22.636
4/20/12 3:07:01 PM,C,21.135
4/20/12 4:07:01 PM,C,24.637
4/20/12 5:07:01 PM,C,21.635
4/20/12 6:07:01 PM,C,21.135
4/20/12 7:07:01 PM,C,15.126
4/20/12 8:07:01 PM,C,13.622
4/20/12 9:07:01 PM,C,12.62
4/20/12 10:07:01 PM,C,12.62
4/20/12 11:07:01 PM,C,12.118
4/21/12 12:07:01 AM,C,11.116
4/21/12 1:07:01 AM,C,10.614
4/21/12 2:07:01 AM,C,10.113
4/21/12 3:07:01 AM,C,9.611
4/21/12 4:07:01 AM,C,8.608
4/21/12 5:07:01 AM,C,9.611
4/21/12 6:07:01 AM,C,9.109
4/21/12 7:07:01 AM,C,7.604
4/21/12 8:07:01 AM,C,13.121
4/21/12 9:07:01 AM,C,18.632
4/21/12 10:07:01 AM,C,21.135
4/21/12 11:07:01 AM,C,22.636
4/21/12 12:07:01 PM,C,23.636
4/21/12 1:07:01 PM,C,25.137
4/21/12 2:07:01 PM,C,25.637
4/21/12 3:07:01 PM,C,24.637
4/21/12 4:07:01 PM,C,27.636
4/21/12 5:07:01 PM,C,27.136
4/21/12 6:07:01 PM,C,26.137
4/21/12 7:07:01 PM,C,18.632
4/21/12 8:07:01 PM,C,16.629
4/21/12 9:07:01 PM,C,14.124
4/21/12 10:07:01 PM,C,13.622
4/21/12 11:07:01 PM,C,15.627
4/22/12 12:07:01 AM,C,14.625
4/22/12 1:07:01 AM,C,14.625
4/22/12 2:07:01 AM,C,14.625
4/22/12 3:07:01 AM,C,14.625
4/22/12 4:07:01 AM,C,13.121
4/22/12 5:07:01 AM,C,12.118
4/22/12 6:07:01 AM,C,14.124
4/22/12 7:07:01 AM,C,13.622
4/22/12 8:07:01 AM,C,16.128
4/22/12 9:07:01 AM,C,23.136
4/22/12 10:07:01 AM,C,25.637
4/22/12 11:07:01 AM,C,24.137
4/22/12 12:07:01 PM,C,24.637
4/22/12 1:07:01 PM,C,26.137
4/22/12 2:07:01 PM,C,26.137
4/22/12 3:07:01 PM,C,26.637
4/22/12 4:07:01 PM,C,28.636
