1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 7900000022193941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 09 16:45:01 CST 2013
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Feb 09 16:45:01 CST 2013
Total Mission Samples:  8192
Total Device Samples:  8800
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/9/13 4:45:01 PM,C,23.15
2/9/13 5:45:01 PM,C,20.148
2/9/13 6:45:01 PM,C,19.147
2/9/13 7:45:01 PM,C,17.644
2/9/13 8:45:01 PM,C,16.643
2/9/13 9:45:01 PM,C,16.142
2/9/13 10:45:01 PM,C,15.641
2/9/13 11:45:01 PM,C,14.639
2/10/13 12:45:01 AM,C,14.138
2/10/13 1:45:01 AM,C,13.636
2/10/13 2:45:01 AM,C,12.634
2/10/13 3:45:01 AM,C,12.133
2/10/13 4:45:01 AM,C,11.631
2/10/13 5:45:01 AM,C,11.13
2/10/13 6:45:01 AM,C,11.13
2/10/13 7:45:01 AM,C,10.628
2/10/13 8:45:01 AM,C,11.13
2/10/13 9:45:01 AM,C,11.631
2/10/13 10:45:01 AM,C,13.636
2/10/13 11:45:01 AM,C,15.14
2/10/13 12:45:01 PM,C,14.639
2/10/13 1:45:01 PM,C,16.643
2/10/13 2:45:01 PM,C,15.14
2/10/13 3:45:01 PM,C,17.644
2/10/13 4:45:01 PM,C,16.643
2/10/13 5:45:01 PM,C,14.138
2/10/13 6:45:01 PM,C,13.636
2/10/13 7:45:01 PM,C,11.631
2/10/13 8:45:01 PM,C,12.634
2/10/13 9:45:01 PM,C,12.133
2/10/13 10:45:01 PM,C,12.634
2/10/13 11:45:01 PM,C,11.13
2/11/13 12:45:01 AM,C,11.13
2/11/13 1:45:01 AM,C,11.13
2/11/13 2:45:01 AM,C,9.625
