1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 390000000FE03241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Jan 18 17:51:01 CST 2014
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Jan 18 17:51:01 CST 2014
Total Mission Samples:  8192
Total Device Samples:  36973
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/18/14 5:51:01 PM,C,14.195
1/18/14 6:51:01 PM,C,3.161
1/18/14 7:51:01 PM,C,3.161
1/18/14 8:51:01 PM,C,0.65
1/18/14 9:51:01 PM,C,-1.36
1/18/14 10:51:01 PM,C,-3.37
1/18/14 11:51:01 PM,C,-4.376
1/19/14 12:51:01 AM,C,-2.868
1/19/14 1:51:01 AM,C,-3.873
1/19/14 2:51:01 AM,C,-4.879
1/19/14 3:51:01 AM,C,-5.382
1/19/14 4:51:01 AM,C,-6.388
1/19/14 5:51:01 AM,C,-6.388
1/19/14 6:51:01 AM,C,-5.382
1/19/14 7:51:01 AM,C,-4.376
1/19/14 8:51:01 AM,C,2.156
1/19/14 9:51:01 AM,C,7.176
1/19/14 10:51:01 AM,C,10.185
1/19/14 11:51:01 AM,C,11.69
1/19/14 12:51:01 PM,C,13.193
1/19/14 1:51:01 PM,C,15.698
1/19/14 2:51:01 PM,C,14.696
1/19/14 3:51:01 PM,C,14.696
1/19/14 4:51:01 PM,C,12.191
1/19/14 5:51:01 PM,C,9.182
1/19/14 6:51:01 PM,C,7.176
1/19/14 7:51:01 PM,C,6.674
1/19/14 8:51:01 PM,C,6.172
1/19/14 9:51:01 PM,C,6.674
1/19/14 10:51:01 PM,C,5.671
1/19/14 11:51:01 PM,C,5.671
1/20/14 12:51:01 AM,C,6.172
1/20/14 1:51:01 AM,C,7.678
1/20/14 2:51:01 AM,C,9.182
1/20/14 3:51:01 AM,C,8.681
1/20/14 4:51:01 AM,C,9.182
1/20/14 5:51:01 AM,C,8.681
1/20/14 6:51:01 AM,C,9.684
1/20/14 7:51:01 AM,C,10.185
1/20/14 8:51:01 AM,C,10.185
1/20/14 9:51:01 AM,C,10.687
1/20/14 10:51:01 AM,C,12.191
1/20/14 11:51:01 AM,C,12.191
1/20/14 12:51:01 PM,C,14.195
1/20/14 1:51:01 PM,C,15.698
1/20/14 2:51:01 PM,C,15.698
1/20/14 3:51:01 PM,C,15.698
1/20/14 4:51:01 PM,C,12.692
1/20/14 5:51:01 PM,C,11.69
1/20/14 6:51:01 PM,C,10.185
1/20/14 7:51:01 PM,C,10.185
1/20/14 8:51:01 PM,C,9.182
1/20/14 9:51:01 PM,C,9.182
1/20/14 10:51:01 PM,C,8.681
1/20/14 11:51:01 PM,C,8.179
1/21/14 12:51:01 AM,C,7.176
1/21/14 1:51:01 AM,C,5.169
1/21/14 2:51:01 AM,C,0.65
1/21/14 3:51:01 AM,C,-1.36
1/21/14 4:51:01 AM,C,-0.857
1/21/14 5:51:01 AM,C,-0.857
1/21/14 6:51:01 AM,C,0.147
1/21/14 7:51:01 AM,C,0.65
1/21/14 8:51:01 AM,C,3.663
1/21/14 9:51:01 AM,C,6.674
1/21/14 10:51:01 AM,C,8.179
1/21/14 11:51:01 AM,C,8.179
1/21/14 12:51:01 PM,C,9.182
1/21/14 1:51:01 PM,C,11.69
1/21/14 2:51:01 PM,C,12.191
1/21/14 3:51:01 PM,C,12.191
1/21/14 4:51:01 PM,C,8.179
1/21/14 5:51:01 PM,C,5.671
1/21/14 6:51:01 PM,C,3.663
1/21/14 7:51:01 PM,C,3.161
1/21/14 8:51:01 PM,C,3.161
1/21/14 9:51:01 PM,C,3.161
1/21/14 10:51:01 PM,C,3.663
1/21/14 11:51:01 PM,C,3.161
1/22/14 12:51:01 AM,C,3.161
1/22/14 1:51:01 AM,C,2.659
1/22/14 2:51:01 AM,C,3.161
1/22/14 3:51:01 AM,C,3.663
1/22/14 4:51:01 AM,C,3.663
1/22/14 5:51:01 AM,C,4.667
1/22/14 6:51:01 AM,C,4.667
1/22/14 7:51:01 AM,C,6.674
1/22/14 8:51:01 AM,C,7.176
1/22/14 9:51:01 AM,C,8.681
1/22/14 10:51:01 AM,C,12.191
1/22/14 11:51:01 AM,C,14.696
1/22/14 12:51:01 PM,C,15.698
1/22/14 1:51:01 PM,C,16.7
1/22/14 2:51:01 PM,C,17.702
1/22/14 3:51:01 PM,C,17.702
1/22/14 4:51:01 PM,C,13.694
1/22/14 5:51:01 PM,C,10.185
1/22/14 6:51:01 PM,C,8.681
1/22/14 7:51:01 PM,C,7.678
1/22/14 8:51:01 PM,C,8.179
1/22/14 9:51:01 PM,C,7.678
1/22/14 10:51:01 PM,C,8.179
1/22/14 11:51:01 PM,C,8.681
1/23/14 12:51:01 AM,C,9.182
1/23/14 1:51:01 AM,C,9.182
1/23/14 2:51:01 AM,C,9.684
1/23/14 3:51:01 AM,C,9.182
1/23/14 4:51:01 AM,C,9.684
1/23/14 5:51:01 AM,C,7.678
1/23/14 6:51:01 AM,C,8.681
1/23/14 7:51:01 AM,C,8.179
1/23/14 8:51:01 AM,C,9.182
1/23/14 9:51:01 AM,C,10.185
1/23/14 10:51:01 AM,C,12.692
1/23/14 11:51:01 AM,C,10.687
1/23/14 12:51:01 PM,C,10.687
1/23/14 1:51:01 PM,C,10.185
1/23/14 2:51:01 PM,C,3.663
1/23/14 3:51:01 PM,C,1.654
1/23/14 4:51:01 PM,C,-0.857
1/23/14 5:51:01 PM,C,-3.37
1/23/14 6:51:01 PM,C,-4.879
1/23/14 7:51:01 PM,C,-6.388
1/23/14 8:51:01 PM,C,-7.897
1/23/14 9:51:01 PM,C,-6.388
1/23/14 10:51:01 PM,C,-7.897
1/23/14 11:51:01 PM,C,-7.394
1/24/14 12:51:01 AM,C,-3.873
1/24/14 1:51:01 AM,C,-2.365
1/24/14 2:51:01 AM,C,-2.365
1/24/14 3:51:01 AM,C,-2.365
1/24/14 4:51:01 AM,C,-1.863
1/24/14 5:51:01 AM,C,-2.365
1/24/14 6:51:01 AM,C,-0.355
1/24/14 7:51:01 AM,C,-0.857
1/24/14 8:51:01 AM,C,-0.355
1/24/14 9:51:01 AM,C,-0.355
1/24/14 10:51:01 AM,C,3.663
1/24/14 11:51:01 AM,C,5.169
1/24/14 12:51:01 PM,C,7.176
1/24/14 1:51:01 PM,C,8.681
1/24/14 2:51:01 PM,C,9.182
1/24/14 3:51:01 PM,C,7.176
1/24/14 4:51:01 PM,C,5.671
1/24/14 5:51:01 PM,C,4.667
1/24/14 6:51:01 PM,C,4.165
1/24/14 7:51:01 PM,C,3.161
1/24/14 8:51:01 PM,C,2.156
1/24/14 9:51:01 PM,C,2.156
1/24/14 10:51:01 PM,C,2.156
1/24/14 11:51:01 PM,C,2.156
1/25/14 12:51:01 AM,C,2.659
1/25/14 1:51:01 AM,C,4.165
1/25/14 2:51:01 AM,C,4.165
1/25/14 3:51:01 AM,C,3.161
1/25/14 4:51:01 AM,C,4.667
1/25/14 5:51:01 AM,C,8.179
1/25/14 6:51:01 AM,C,8.179
1/25/14 7:51:01 AM,C,6.674
1/25/14 8:51:01 AM,C,8.681
1/25/14 9:51:01 AM,C,9.684
1/25/14 10:51:01 AM,C,12.191
1/25/14 11:51:01 AM,C,13.193
1/25/14 12:51:01 PM,C,15.197
1/25/14 1:51:01 PM,C,16.7
1/25/14 2:51:01 PM,C,13.193
1/25/14 3:51:01 PM,C,13.694
1/25/14 4:51:01 PM,C,12.692
1/25/14 5:51:01 PM,C,9.684
1/25/14 6:51:01 PM,C,8.179
1/25/14 7:51:01 PM,C,6.674
1/25/14 8:51:01 PM,C,4.667
1/25/14 9:51:01 PM,C,7.176
1/25/14 10:51:01 PM,C,6.172
1/25/14 11:51:01 PM,C,7.176
1/26/14 12:51:01 AM,C,4.667
1/26/14 1:51:01 AM,C,3.161
