1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: BA00000013BC4541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sun Jan 19 13:22:01 CST 2014
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Jan 19 13:22:01 CST 2014
Total Mission Samples:  8192
Total Device Samples:  36298
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/19/14 1:22:01 PM,C,15.174
1/19/14 2:22:01 PM,C,12.668
1/19/14 3:22:01 PM,C,12.167
1/19/14 4:22:01 PM,C,12.668
1/19/14 5:22:01 PM,C,11.666
1/19/14 6:22:01 PM,C,11.164
1/19/14 7:22:01 PM,C,12.668
1/19/14 8:22:01 PM,C,11.164
1/19/14 9:22:01 PM,C,11.164
1/19/14 10:22:01 PM,C,11.666
1/19/14 11:22:01 PM,C,12.668
1/20/14 12:22:01 AM,C,12.668
1/20/14 1:22:01 AM,C,12.668
1/20/14 2:22:01 AM,C,13.169
1/20/14 3:22:01 AM,C,12.167
1/20/14 4:22:01 AM,C,11.666
1/20/14 5:22:01 AM,C,12.167
1/20/14 6:22:01 AM,C,12.668
1/20/14 7:22:01 AM,C,13.169
1/20/14 8:22:01 AM,C,12.668
1/20/14 9:22:01 AM,C,13.169
1/20/14 10:22:01 AM,C,16.176
1/20/14 11:22:01 AM,C,16.676
1/20/14 12:22:01 PM,C,16.176
1/20/14 1:22:01 PM,C,16.176
1/20/14 2:22:01 PM,C,15.174
1/20/14 3:22:01 PM,C,14.673
1/20/14 4:22:01 PM,C,14.673
1/20/14 5:22:01 PM,C,14.673
1/20/14 6:22:01 PM,C,14.673
1/20/14 7:22:01 PM,C,14.172
1/20/14 8:22:01 PM,C,13.67
1/20/14 9:22:01 PM,C,13.169
1/20/14 10:22:01 PM,C,12.167
1/20/14 11:22:01 PM,C,11.164
1/21/14 12:22:01 AM,C,10.663
1/21/14 1:22:01 AM,C,9.66
1/21/14 2:22:01 AM,C,7.152
1/21/14 3:22:01 AM,C,5.646
1/21/14 4:22:01 AM,C,4.642
1/21/14 5:22:01 AM,C,4.14
1/21/14 6:22:01 AM,C,3.638
