1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 330000000FE17441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sun Jan 19 12:16:01 CST 2014
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Jan 19 12:16:01 CST 2014
Total Mission Samples:  8192
Total Device Samples:  36899
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/19/14 12:16:01 PM,C,18.163
1/19/14 1:16:01 PM,C,16.661
1/19/14 2:16:01 PM,C,14.658
1/19/14 3:16:01 PM,C,14.157
1/19/14 4:16:01 PM,C,13.656
1/19/14 5:16:01 PM,C,11.652
1/19/14 6:16:01 PM,C,9.145
1/19/14 7:16:01 PM,C,9.145
1/19/14 8:16:01 PM,C,11.652
1/19/14 9:16:01 PM,C,10.148
1/19/14 10:16:01 PM,C,11.652
1/19/14 11:16:01 PM,C,11.15
1/20/14 12:16:01 AM,C,11.652
1/20/14 1:16:01 AM,C,12.153
1/20/14 2:16:01 AM,C,14.157
1/20/14 3:16:01 AM,C,14.157
1/20/14 4:16:01 AM,C,13.656
1/20/14 5:16:01 AM,C,13.656
1/20/14 6:16:01 AM,C,13.656
1/20/14 7:16:01 AM,C,14.157
1/20/14 8:16:01 AM,C,13.656
1/20/14 9:16:01 AM,C,14.157
1/20/14 10:16:01 AM,C,14.157
1/20/14 11:16:01 AM,C,14.658
1/20/14 12:16:01 PM,C,18.163
1/20/14 1:16:01 PM,C,18.163
1/20/14 2:16:01 PM,C,16.661
1/20/14 3:16:01 PM,C,16.661
1/20/14 4:16:01 PM,C,16.161
1/20/14 5:16:01 PM,C,15.66
1/20/14 6:16:01 PM,C,15.159
1/20/14 7:16:01 PM,C,14.658
1/20/14 8:16:01 PM,C,14.157
1/20/14 9:16:01 PM,C,12.153
1/20/14 10:16:01 PM,C,12.654
1/20/14 11:16:01 PM,C,11.652
1/21/14 12:16:01 AM,C,10.649
1/21/14 1:16:01 AM,C,10.148
1/21/14 2:16:01 AM,C,7.641
1/21/14 3:16:01 AM,C,6.638
1/21/14 4:16:01 AM,C,5.634
1/21/14 5:16:01 AM,C,5.133
1/21/14 6:16:01 AM,C,4.129
1/21/14 7:16:01 AM,C,2.623
1/21/14 8:16:01 AM,C,2.623
1/21/14 9:16:01 AM,C,3.627
1/21/14 10:16:01 AM,C,4.129
1/21/14 11:16:01 AM,C,6.638
1/21/14 12:16:01 PM,C,14.157
1/21/14 1:16:01 PM,C,13.656
1/21/14 2:16:01 PM,C,12.153
1/21/14 3:16:01 PM,C,11.652
1/21/14 4:16:01 PM,C,9.145
1/21/14 5:16:01 PM,C,7.641
1/21/14 6:16:01 PM,C,6.638
1/21/14 7:16:01 PM,C,9.145
1/21/14 8:16:01 PM,C,7.139
1/21/14 9:16:01 PM,C,8.142
1/21/14 10:16:01 PM,C,9.145
1/21/14 11:16:01 PM,C,7.641
1/22/14 12:16:01 AM,C,9.145
1/22/14 1:16:01 AM,C,8.142
1/22/14 2:16:01 AM,C,7.139
1/22/14 3:16:01 AM,C,7.139
1/22/14 4:16:01 AM,C,6.638
1/22/14 5:16:01 AM,C,7.139
1/22/14 6:16:01 AM,C,7.641
1/22/14 7:16:01 AM,C,9.145
1/22/14 8:16:01 AM,C,10.649
1/22/14 9:16:01 AM,C,11.652
1/22/14 10:16:01 AM,C,13.155
1/22/14 11:16:01 AM,C,12.654
1/22/14 12:16:01 PM,C,17.663
1/22/14 1:16:01 PM,C,19.165
1/22/14 2:16:01 PM,C,16.661
1/22/14 3:16:01 PM,C,16.161
1/22/14 4:16:01 PM,C,14.658
1/22/14 5:16:01 PM,C,12.153
1/22/14 6:16:01 PM,C,10.649
1/22/14 7:16:01 PM,C,10.148
