1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: A700000013C74541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Jan 18 09:51:01 CST 2014
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Jan 18 09:51:01 CST 2014
Total Mission Samples:  8192
Total Device Samples:  36308
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/18/14 9:51:01 AM,C,10.668
1/18/14 10:51:01 AM,C,12.174
1/18/14 11:51:01 AM,C,13.177
1/18/14 12:51:01 PM,C,15.182
1/18/14 1:51:01 PM,C,18.189
1/18/14 2:51:01 PM,C,19.691
1/18/14 3:51:01 PM,C,17.688
1/18/14 4:51:01 PM,C,17.187
1/18/14 5:51:01 PM,C,11.672
1/18/14 6:51:01 PM,C,8.66
1/18/14 7:51:01 PM,C,9.162
1/18/14 8:51:01 PM,C,8.158
1/18/14 9:51:01 PM,C,8.66
1/18/14 10:51:01 PM,C,7.154
1/18/14 11:51:01 PM,C,9.664
1/19/14 12:51:01 AM,C,8.66
1/19/14 1:51:01 AM,C,8.66
1/19/14 2:51:01 AM,C,6.149
1/19/14 3:51:01 AM,C,5.647
1/19/14 4:51:01 AM,C,6.651
1/19/14 5:51:01 AM,C,7.154
1/19/14 6:51:01 AM,C,6.149
1/19/14 7:51:01 AM,C,7.154
1/19/14 8:51:01 AM,C,7.154
1/19/14 9:51:01 AM,C,10.166
1/19/14 10:51:01 AM,C,12.174
1/19/14 11:51:01 AM,C,13.678
1/19/14 12:51:01 PM,C,15.182
1/19/14 1:51:01 PM,C,18.69
1/19/14 2:51:01 PM,C,19.691
1/19/14 3:51:01 PM,C,18.69
1/19/14 4:51:01 PM,C,16.185
1/19/14 5:51:01 PM,C,13.177
