1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 7800000013C7D741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Jan 18 16:50:01 CST 2014
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Jan 18 16:50:01 CST 2014
Total Mission Samples:  8192
Total Device Samples:  36311
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/18/14 4:50:01 PM,C,13.622
1/18/14 5:50:01 PM,C,8.106
1/18/14 6:50:01 PM,C,6.098
1/18/14 7:50:01 PM,C,6.6
1/18/14 8:50:01 PM,C,5.596
1/18/14 9:50:01 PM,C,4.592
1/18/14 10:50:01 PM,C,2.583
1/18/14 11:50:01 PM,C,4.592
1/19/14 12:50:01 AM,C,4.09
1/19/14 1:50:01 AM,C,3.086
1/19/14 2:50:01 AM,C,2.081
1/19/14 3:50:01 AM,C,3.086
1/19/14 4:50:01 AM,C,2.583
1/19/14 5:50:01 AM,C,2.081
1/19/14 6:50:01 AM,C,2.583
1/19/14 7:50:01 AM,C,3.086
1/19/14 8:50:01 AM,C,7.102
1/19/14 9:50:01 AM,C,10.113
1/19/14 10:50:01 AM,C,12.118
1/19/14 11:50:01 AM,C,12.62
1/19/14 12:50:01 PM,C,14.625
1/19/14 1:50:01 PM,C,13.622
1/19/14 2:50:01 PM,C,14.625
1/19/14 3:50:01 PM,C,13.622
1/19/14 4:50:01 PM,C,12.118
1/19/14 5:50:01 PM,C,9.109
1/19/14 6:50:01 PM,C,7.604
1/19/14 7:50:01 PM,C,6.6
1/19/14 8:50:01 PM,C,8.106
1/19/14 9:50:01 PM,C,8.106
1/19/14 10:50:01 PM,C,7.102
1/19/14 11:50:01 PM,C,7.604
1/20/14 12:50:01 AM,C,7.604
1/20/14 1:50:01 AM,C,8.106
1/20/14 2:50:01 AM,C,8.106
1/20/14 3:50:01 AM,C,7.604
1/20/14 4:50:01 AM,C,7.604
1/20/14 5:50:01 AM,C,8.106
1/20/14 6:50:01 AM,C,8.608
1/20/14 7:50:01 AM,C,8.608
1/20/14 8:50:01 AM,C,10.614
1/20/14 9:50:01 AM,C,11.116
1/20/14 10:50:01 AM,C,14.124
1/20/14 11:50:01 AM,C,14.124
1/20/14 12:50:01 PM,C,16.128
1/20/14 1:50:01 PM,C,16.128
1/20/14 2:50:01 PM,C,17.13
1/20/14 3:50:01 PM,C,15.627
1/20/14 4:50:01 PM,C,15.126
1/20/14 5:50:01 PM,C,11.617
1/20/14 6:50:01 PM,C,9.109
1/20/14 7:50:01 PM,C,9.109
1/20/14 8:50:01 PM,C,9.611
1/20/14 9:50:01 PM,C,8.608
1/20/14 10:50:01 PM,C,8.106
1/20/14 11:50:01 PM,C,7.102
1/21/14 12:50:01 AM,C,6.6
1/21/14 1:50:01 AM,C,4.592
1/21/14 2:50:01 AM,C,5.094
1/21/14 3:50:01 AM,C,5.094
1/21/14 4:50:01 AM,C,5.094
1/21/14 5:50:01 AM,C,3.086
1/21/14 6:50:01 AM,C,4.592
1/21/14 7:50:01 AM,C,2.583
1/21/14 8:50:01 AM,C,5.596
1/21/14 9:50:01 AM,C,8.106
1/21/14 10:50:01 AM,C,11.116
1/21/14 11:50:01 AM,C,11.116
1/21/14 12:50:01 PM,C,12.118
1/21/14 1:50:01 PM,C,12.118
1/21/14 2:50:01 PM,C,12.62
1/21/14 3:50:01 PM,C,11.116
1/21/14 4:50:01 PM,C,10.113
1/21/14 5:50:01 PM,C,7.604
1/21/14 6:50:01 PM,C,5.596
1/21/14 7:50:01 PM,C,5.094
1/21/14 8:50:01 PM,C,4.09
1/21/14 9:50:01 PM,C,4.592
1/21/14 10:50:01 PM,C,4.592
1/21/14 11:50:01 PM,C,4.09
1/22/14 12:50:01 AM,C,4.09
1/22/14 1:50:01 AM,C,4.592
1/22/14 2:50:01 AM,C,4.592
1/22/14 3:50:01 AM,C,4.592
1/22/14 4:50:01 AM,C,4.592
1/22/14 5:50:01 AM,C,5.094
1/22/14 6:50:01 AM,C,6.098
1/22/14 7:50:01 AM,C,6.6
1/22/14 8:50:01 AM,C,7.102
1/22/14 9:50:01 AM,C,8.106
1/22/14 10:50:01 AM,C,16.128
1/22/14 11:50:01 AM,C,16.128
1/22/14 12:50:01 PM,C,17.63
1/22/14 1:50:01 PM,C,16.629
1/22/14 2:50:01 PM,C,17.13
1/22/14 3:50:01 PM,C,15.627
1/22/14 4:50:01 PM,C,15.126
1/22/14 5:50:01 PM,C,13.622
1/22/14 6:50:01 PM,C,9.611
1/22/14 7:50:01 PM,C,8.106
