1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 280000002DA17341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Thu May 21 08:44:03 CDT 2015
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu May 21 08:44:03 CDT 2015
Total Mission Samples:  8192
Total Device Samples:  8875
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/21/15 8:44:03 AM,C,21.586
5/21/15 9:50:43 AM,C,15.578
5/21/15 10:57:23 AM,C,16.58
5/21/15 12:04:03 PM,C,21.586
5/21/15 1:10:43 PM,C,22.587
5/21/15 2:17:23 PM,C,26.088
5/21/15 3:24:03 PM,C,17.081
5/21/15 4:30:43 PM,C,14.576
5/21/15 5:37:23 PM,C,17.582
5/21/15 6:44:03 PM,C,16.079
5/21/15 7:50:43 PM,C,14.576
5/21/15 8:57:23 PM,C,13.573
5/21/15 10:04:03 PM,C,13.573
5/21/15 11:10:43 PM,C,13.573
5/22/15 12:17:23 AM,C,14.074
5/22/15 1:24:03 AM,C,18.082
5/22/15 2:30:43 AM,C,18.082
5/22/15 3:37:23 AM,C,18.082
5/22/15 4:44:03 AM,C,17.582
5/22/15 5:50:43 AM,C,18.082
5/22/15 6:57:23 AM,C,18.583
5/22/15 8:04:03 AM,C,19.584
5/22/15 9:10:43 AM,C,21.586
5/22/15 10:17:23 AM,C,25.588
5/22/15 11:24:03 AM,C,27.087
5/22/15 12:30:43 PM,C,29.586
5/22/15 1:37:23 PM,C,31.583
5/22/15 2:44:03 PM,C,32.582
5/22/15 3:50:43 PM,C,35.576
5/22/15 4:57:23 PM,C,29.086
5/22/15 6:04:03 PM,C,31.583
5/22/15 7:10:43 PM,C,28.087
5/22/15 8:17:23 PM,C,25.088
