1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 330000000FE17441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sun Feb 01 11:00:18 CST 2015
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Feb 01 11:00:18 CST 2015
Total Mission Samples:  8192
Total Device Samples:  45093
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/1/15 11:00:18 AM,C,16.661
2/1/15 12:06:58 PM,C,20.166
2/1/15 1:13:38 PM,C,15.159
2/1/15 2:20:18 PM,C,14.157
2/1/15 3:26:58 PM,C,13.656
2/1/15 4:33:38 PM,C,10.148
2/1/15 5:40:18 PM,C,10.649
2/1/15 6:46:58 PM,C,10.148
2/1/15 7:53:38 PM,C,8.644
2/1/15 9:00:18 PM,C,7.139
2/1/15 10:06:58 PM,C,7.139
2/1/15 11:13:38 PM,C,4.631
2/2/15 12:20:18 AM,C,4.129
2/2/15 1:26:58 AM,C,4.631
2/2/15 2:33:38 AM,C,4.129
2/2/15 3:40:18 AM,C,4.129
2/2/15 4:46:58 AM,C,3.125
2/2/15 5:53:38 AM,C,3.125
2/2/15 7:00:18 AM,C,4.129
2/2/15 8:06:58 AM,C,5.133
2/2/15 9:13:38 AM,C,5.133
2/2/15 10:20:18 AM,C,6.136
2/2/15 11:26:58 AM,C,6.136
2/2/15 12:33:38 PM,C,8.142
2/2/15 1:40:18 PM,C,8.142
2/2/15 2:46:58 PM,C,8.644
2/2/15 3:53:38 PM,C,8.644
2/2/15 5:00:18 PM,C,7.641
2/2/15 6:06:58 PM,C,7.641
2/2/15 7:13:38 PM,C,6.638
2/2/15 8:20:18 PM,C,6.136
2/2/15 9:26:58 PM,C,5.634
2/2/15 10:33:38 PM,C,5.133
2/2/15 11:40:18 PM,C,5.133
2/3/15 12:46:58 AM,C,5.133
2/3/15 1:53:38 AM,C,6.136
2/3/15 3:00:18 AM,C,7.139
2/3/15 4:06:58 AM,C,6.136
2/3/15 5:13:38 AM,C,8.142
2/3/15 6:20:18 AM,C,8.644
2/3/15 7:26:58 AM,C,7.139
2/3/15 8:33:38 AM,C,7.641
2/3/15 9:40:18 AM,C,7.641
2/3/15 10:46:58 AM,C,8.142
2/3/15 11:53:38 AM,C,9.647
2/3/15 1:00:18 PM,C,10.649
2/3/15 2:06:58 PM,C,8.644
2/3/15 3:13:38 PM,C,8.644
2/3/15 4:20:18 PM,C,7.139
2/3/15 5:26:58 PM,C,7.139
2/3/15 6:33:38 PM,C,6.638
2/3/15 7:40:18 PM,C,6.136
2/3/15 8:46:58 PM,C,5.634
2/3/15 9:53:38 PM,C,5.133
2/3/15 11:00:18 PM,C,5.634
2/4/15 12:06:58 AM,C,5.133
2/4/15 1:13:38 AM,C,6.136
2/4/15 2:20:18 AM,C,9.145
2/4/15 3:26:58 AM,C,8.644
2/4/15 4:33:38 AM,C,8.142
2/4/15 5:40:18 AM,C,8.644
2/4/15 6:46:58 AM,C,9.145
2/4/15 7:53:38 AM,C,9.145
2/4/15 9:00:18 AM,C,10.148
2/4/15 10:06:58 AM,C,11.15
2/4/15 11:13:38 AM,C,12.654
2/4/15 12:20:18 PM,C,21.166
2/4/15 1:26:58 PM,C,17.663
2/4/15 2:33:38 PM,C,16.661
2/4/15 3:40:18 PM,C,15.66
2/4/15 4:46:58 PM,C,13.656
2/4/15 5:53:38 PM,C,13.656
2/4/15 7:00:18 PM,C,13.155
2/4/15 8:06:58 PM,C,13.656
2/4/15 9:13:38 PM,C,13.155
2/4/15 10:20:18 PM,C,11.652
2/4/15 11:26:58 PM,C,9.145
2/5/15 12:33:38 AM,C,9.647
2/5/15 1:40:18 AM,C,7.139
2/5/15 2:46:58 AM,C,7.641
2/5/15 3:53:38 AM,C,7.641
2/5/15 5:00:18 AM,C,7.641
2/5/15 6:06:58 AM,C,6.638
2/5/15 7:13:38 AM,C,5.634
2/5/15 8:20:18 AM,C,5.133
2/5/15 9:26:58 AM,C,6.136
2/5/15 10:33:38 AM,C,8.644
2/5/15 11:40:18 AM,C,12.153
2/5/15 12:46:58 PM,C,15.159
2/5/15 1:53:38 PM,C,13.155
2/5/15 3:00:18 PM,C,13.656
2/5/15 4:06:58 PM,C,14.658
2/5/15 5:13:38 PM,C,10.649
2/5/15 6:20:18 PM,C,10.148
2/5/15 7:26:58 PM,C,9.647
2/5/15 8:33:38 PM,C,8.644
2/5/15 9:40:18 PM,C,8.644
2/5/15 10:46:58 PM,C,8.644
2/5/15 11:53:38 PM,C,8.142
2/6/15 1:00:18 AM,C,8.644
2/6/15 2:06:58 AM,C,7.641
2/6/15 3:13:38 AM,C,7.139
2/6/15 4:20:18 AM,C,6.638
2/6/15 5:26:58 AM,C,7.139
2/6/15 6:33:38 AM,C,7.139
2/6/15 7:40:18 AM,C,8.142
2/6/15 8:46:58 AM,C,8.142
2/6/15 9:53:38 AM,C,7.641
2/6/15 11:00:18 AM,C,11.652
2/6/15 12:06:58 PM,C,26.168
2/6/15 1:13:38 PM,C,21.166
2/6/15 2:20:18 PM,C,18.664
2/6/15 3:26:58 PM,C,18.163
2/6/15 4:33:38 PM,C,13.656
2/6/15 5:40:18 PM,C,11.15
2/6/15 6:46:58 PM,C,9.647
2/6/15 7:53:38 PM,C,10.148
2/6/15 9:00:18 PM,C,10.649
2/6/15 10:06:58 PM,C,10.649
2/6/15 11:13:38 PM,C,10.148
2/7/15 12:20:18 AM,C,10.148
2/7/15 1:26:58 AM,C,11.15
2/7/15 2:33:38 AM,C,9.647
2/7/15 3:40:18 AM,C,8.644
2/7/15 4:46:58 AM,C,8.142
2/7/15 5:53:38 AM,C,7.641
2/7/15 7:00:18 AM,C,8.142
2/7/15 8:06:58 AM,C,8.644
2/7/15 9:13:38 AM,C,8.142
2/7/15 10:20:18 AM,C,13.155
2/7/15 11:26:58 AM,C,17.663
2/7/15 12:33:38 PM,C,27.668
2/7/15 1:40:18 PM,C,21.667
2/7/15 2:46:58 PM,C,23.168
2/7/15 3:53:38 PM,C,22.167
2/7/15 5:00:18 PM,C,18.163
2/7/15 6:06:58 PM,C,15.66
2/7/15 7:13:38 PM,C,16.161
2/7/15 8:20:18 PM,C,17.663
2/7/15 9:26:58 PM,C,17.663
2/7/15 10:33:38 PM,C,16.161
2/7/15 11:40:18 PM,C,17.162
2/8/15 12:46:58 AM,C,17.663
2/8/15 1:53:38 AM,C,18.163
2/8/15 3:00:18 AM,C,18.163
2/8/15 4:06:58 AM,C,17.663
2/8/15 5:13:38 AM,C,17.663
2/8/15 6:20:18 AM,C,16.661
2/8/15 7:26:58 AM,C,16.161
2/8/15 8:33:38 AM,C,16.661
2/8/15 9:40:18 AM,C,16.161
2/8/15 10:46:58 AM,C,17.663
2/8/15 11:53:38 AM,C,26.668
2/8/15 1:00:18 PM,C,30.666
2/8/15 2:06:58 PM,C,22.667
2/8/15 3:13:38 PM,C,22.667
2/8/15 4:20:18 PM,C,20.666
2/8/15 5:26:58 PM,C,17.162
2/8/15 6:33:38 PM,C,14.157
2/8/15 7:40:18 PM,C,13.155
2/8/15 8:46:58 PM,C,12.654
2/8/15 9:53:38 PM,C,15.159
2/8/15 11:00:18 PM,C,11.652
2/9/15 12:06:58 AM,C,11.15
2/9/15 1:13:38 AM,C,10.649
2/9/15 2:20:18 AM,C,11.652
2/9/15 3:26:58 AM,C,10.649
2/9/15 4:33:38 AM,C,10.148
2/9/15 5:40:18 AM,C,9.647
2/9/15 6:46:58 AM,C,9.145
2/9/15 7:53:38 AM,C,8.142
2/9/15 9:00:18 AM,C,9.145
2/9/15 10:06:58 AM,C,12.153
2/9/15 11:13:38 AM,C,18.664
2/9/15 12:20:18 PM,C,28.667
2/9/15 1:26:58 PM,C,22.167
2/9/15 2:33:38 PM,C,21.667
2/9/15 3:40:18 PM,C,20.666
2/9/15 4:46:58 PM,C,15.159
2/9/15 5:53:38 PM,C,12.153
2/9/15 7:00:18 PM,C,12.153
2/9/15 8:06:58 PM,C,11.652
2/9/15 9:13:38 PM,C,10.148
2/9/15 10:20:18 PM,C,10.649
2/9/15 11:26:58 PM,C,10.148
2/10/15 12:33:38 AM,C,14.658
2/10/15 1:40:18 AM,C,12.153
2/10/15 2:46:58 AM,C,12.654
2/10/15 3:53:38 AM,C,12.153
2/10/15 5:00:18 AM,C,12.654
2/10/15 6:06:58 AM,C,12.153
2/10/15 7:13:38 AM,C,13.656
2/10/15 8:20:18 AM,C,13.155
2/10/15 9:26:58 AM,C,14.157
2/10/15 10:33:38 AM,C,16.161
2/10/15 11:40:18 AM,C,22.167
2/10/15 12:46:58 PM,C,27.668
2/10/15 1:53:38 PM,C,22.167
2/10/15 3:00:18 PM,C,22.667
2/10/15 4:06:58 PM,C,24.168
2/10/15 5:13:38 PM,C,15.159
2/10/15 6:20:18 PM,C,12.654
2/10/15 7:26:58 PM,C,12.654
2/10/15 8:33:38 PM,C,12.153
2/10/15 9:40:18 PM,C,12.153
2/10/15 10:46:58 PM,C,11.652
2/10/15 11:53:38 PM,C,10.649
2/11/15 1:00:18 AM,C,10.148
2/11/15 2:06:58 AM,C,10.148
2/11/15 3:13:38 AM,C,10.148
2/11/15 4:20:18 AM,C,11.652
2/11/15 5:26:58 AM,C,12.153
2/11/15 6:33:38 AM,C,12.654
2/11/15 7:40:18 AM,C,11.15
2/11/15 8:46:58 AM,C,11.15
2/11/15 9:53:38 AM,C,12.153
2/11/15 11:00:18 AM,C,20.166
2/11/15 12:06:58 PM,C,28.667
