1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 5200000013114441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sun Feb 01 10:34:41 CST 2015
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Feb 01 10:34:41 CST 2015
Total Mission Samples:  8192
Total Device Samples:  45095
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/1/15 10:34:41 AM,C,17.655
2/1/15 11:41:21 AM,C,14.148
2/1/15 12:48:01 PM,C,12.643
2/1/15 1:54:41 PM,C,14.649
2/1/15 3:01:21 PM,C,18.657
2/1/15 4:08:01 PM,C,15.651
2/1/15 5:14:41 PM,C,13.145
2/1/15 6:21:21 PM,C,12.142
2/1/15 7:28:01 PM,C,10.135
2/1/15 8:34:41 PM,C,8.629
2/1/15 9:41:21 PM,C,7.123
2/1/15 10:48:01 PM,C,5.616
2/1/15 11:54:41 PM,C,5.114
2/2/15 1:01:21 AM,C,4.612
2/2/15 2:08:01 AM,C,4.109
2/2/15 3:14:41 AM,C,3.104
2/2/15 4:21:21 AM,C,3.104
2/2/15 5:28:01 AM,C,2.601
2/2/15 6:34:41 AM,C,2.601
2/2/15 7:41:21 AM,C,4.109
2/2/15 8:48:01 AM,C,4.109
2/2/15 9:54:41 AM,C,4.109
2/2/15 11:01:21 AM,C,6.119
2/2/15 12:08:01 PM,C,6.119
2/2/15 1:14:41 PM,C,10.135
2/2/15 2:21:21 PM,C,7.625
2/2/15 3:28:01 PM,C,7.123
2/2/15 4:34:41 PM,C,9.131
2/2/15 5:41:21 PM,C,7.123
2/2/15 6:48:01 PM,C,7.123
2/2/15 7:54:41 PM,C,7.123
2/2/15 9:01:21 PM,C,6.119
2/2/15 10:08:01 PM,C,5.616
2/2/15 11:14:41 PM,C,5.114
2/3/15 12:21:21 AM,C,5.114
2/3/15 1:28:01 AM,C,5.616
2/3/15 2:34:41 AM,C,6.119
2/3/15 3:41:21 AM,C,5.616
2/3/15 4:48:01 AM,C,8.127
2/3/15 5:54:41 AM,C,7.123
2/3/15 7:01:21 AM,C,7.123
2/3/15 8:08:01 AM,C,7.123
2/3/15 9:14:41 AM,C,7.625
2/3/15 10:21:21 AM,C,8.629
2/3/15 11:28:01 AM,C,10.135
2/3/15 12:34:41 PM,C,10.637
2/3/15 1:41:21 PM,C,9.633
2/3/15 2:48:01 PM,C,9.131
2/3/15 3:54:41 PM,C,7.123
2/3/15 5:01:21 PM,C,7.123
