1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 4800000013BE2341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sat Jan 31 14:52:08 CST 2015
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Jan 31 14:52:08 CST 2015
Total Mission Samples:  8192
Total Device Samples:  44506
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/31/15 2:52:08 PM,C,21.62
1/31/15 3:58:48 PM,C,8.608
1/31/15 5:05:28 PM,C,5.603
1/31/15 6:12:08 PM,C,7.106
1/31/15 7:18:48 PM,C,6.605
1/31/15 8:25:28 PM,C,6.104
1/31/15 9:32:08 PM,C,5.603
1/31/15 10:38:48 PM,C,4.601
1/31/15 11:45:28 PM,C,3.599
2/1/15 12:52:08 AM,C,3.599
2/1/15 1:58:48 AM,C,4.1
2/1/15 3:05:28 AM,C,4.1
2/1/15 4:12:08 AM,C,3.599
2/1/15 5:18:48 AM,C,3.098
2/1/15 6:25:28 AM,C,3.098
2/1/15 7:32:08 AM,C,3.599
2/1/15 8:38:48 AM,C,4.1
2/1/15 9:45:28 AM,C,5.603
2/1/15 10:52:08 AM,C,5.603
2/1/15 11:58:48 AM,C,10.111
2/1/15 1:05:28 PM,C,9.61
2/1/15 2:12:08 PM,C,9.61
2/1/15 3:18:48 PM,C,11.613
2/1/15 4:25:28 PM,C,10.611
2/1/15 5:32:08 PM,C,10.111
2/1/15 6:38:48 PM,C,6.605
2/1/15 7:45:28 PM,C,4.1
2/1/15 8:52:08 PM,C,5.102
2/1/15 9:58:48 PM,C,4.601
2/1/15 11:05:28 PM,C,4.1
2/2/15 12:12:08 AM,C,3.599
2/2/15 1:18:48 AM,C,2.597
2/2/15 2:25:28 AM,C,2.597
2/2/15 3:32:08 AM,C,3.098
2/2/15 4:38:48 AM,C,2.597
2/2/15 5:45:28 AM,C,3.098
2/2/15 6:52:08 AM,C,2.597
2/2/15 7:58:48 AM,C,3.098
2/2/15 9:05:28 AM,C,2.597
2/2/15 10:12:08 AM,C,4.601
2/2/15 11:18:48 AM,C,4.1
2/2/15 12:25:28 PM,C,6.605
2/2/15 1:32:08 PM,C,7.106
2/2/15 2:38:48 PM,C,6.104
2/2/15 3:45:28 PM,C,4.1
2/2/15 4:52:08 PM,C,5.603
2/2/15 5:58:48 PM,C,5.603
2/2/15 7:05:28 PM,C,5.102
2/2/15 8:12:08 PM,C,5.102
2/2/15 9:18:48 PM,C,5.102
2/2/15 10:25:28 PM,C,5.102
2/2/15 11:32:08 PM,C,5.102
2/3/15 12:38:48 AM,C,5.603
2/3/15 1:45:28 AM,C,5.603
2/3/15 2:52:08 AM,C,4.601
2/3/15 3:58:48 AM,C,4.601
2/3/15 5:05:28 AM,C,3.599
2/3/15 6:12:08 AM,C,4.1
2/3/15 7:18:48 AM,C,3.599
2/3/15 8:25:28 AM,C,4.1
2/3/15 9:32:08 AM,C,4.601
2/3/15 10:38:48 AM,C,4.601
2/3/15 11:45:28 AM,C,7.106
2/3/15 12:52:08 PM,C,5.603
2/3/15 1:58:48 PM,C,5.102
2/3/15 3:05:28 PM,C,4.601
2/3/15 4:12:08 PM,C,4.1
2/3/15 5:18:48 PM,C,3.599
2/3/15 6:25:28 PM,C,3.599
2/3/15 7:32:08 PM,C,3.098
2/3/15 8:38:48 PM,C,3.098
2/3/15 9:45:28 PM,C,3.098
2/3/15 10:52:08 PM,C,3.098
2/3/15 11:58:48 PM,C,3.098
2/4/15 1:05:28 AM,C,3.599
2/4/15 2:12:08 AM,C,3.599
2/4/15 3:18:48 AM,C,4.1
2/4/15 4:25:28 AM,C,4.1
2/4/15 5:32:08 AM,C,3.599
2/4/15 6:38:48 AM,C,4.1
2/4/15 7:45:28 AM,C,4.1
2/4/15 8:52:08 AM,C,7.106
2/4/15 9:58:48 AM,C,9.109
2/4/15 11:05:28 AM,C,11.112
2/4/15 12:12:08 PM,C,12.614
2/4/15 1:18:48 PM,C,11.112
2/4/15 2:25:28 PM,C,16.117
2/4/15 3:32:08 PM,C,12.614
2/4/15 4:38:48 PM,C,11.112
2/4/15 5:45:28 PM,C,9.61
2/4/15 6:52:08 PM,C,8.108
2/4/15 7:58:48 PM,C,8.108
2/4/15 9:05:28 PM,C,8.108
2/4/15 10:12:08 PM,C,8.108
2/4/15 11:18:48 PM,C,8.108
2/5/15 12:25:28 AM,C,8.108
2/5/15 1:32:08 AM,C,6.605
2/5/15 2:38:48 AM,C,6.104
2/5/15 3:45:28 AM,C,6.605
2/5/15 4:52:08 AM,C,6.104
2/5/15 5:58:48 AM,C,6.104
2/5/15 7:05:28 AM,C,6.605
2/5/15 8:12:08 AM,C,8.608
2/5/15 9:18:48 AM,C,11.613
2/5/15 10:25:28 AM,C,15.617
2/5/15 11:32:08 AM,C,13.114
2/5/15 12:38:48 PM,C,14.115
2/5/15 1:45:28 PM,C,13.615
2/5/15 2:52:08 PM,C,16.117
2/5/15 3:58:48 PM,C,14.616
2/5/15 5:05:28 PM,C,12.614
2/5/15 6:12:08 PM,C,9.109
2/5/15 7:18:48 PM,C,8.108
2/5/15 8:25:28 PM,C,8.608
2/5/15 9:32:08 PM,C,8.108
2/5/15 10:38:48 PM,C,9.109
2/5/15 11:45:28 PM,C,8.608
2/6/15 12:52:08 AM,C,8.108
2/6/15 1:58:48 AM,C,8.608
2/6/15 3:05:28 AM,C,8.608
2/6/15 4:12:08 AM,C,7.607
2/6/15 5:18:48 AM,C,7.607
2/6/15 6:25:28 AM,C,7.607
2/6/15 7:32:08 AM,C,7.106
2/6/15 8:38:48 AM,C,8.608
2/6/15 9:45:28 AM,C,15.116
2/6/15 10:52:08 AM,C,19.119
2/6/15 11:58:48 AM,C,17.118
2/6/15 1:05:28 PM,C,17.618
2/6/15 2:12:08 PM,C,19.119
2/6/15 3:18:48 PM,C,20.12
2/6/15 4:25:28 PM,C,16.618
2/6/15 5:32:08 PM,C,14.115
2/6/15 6:38:48 PM,C,11.112
2/6/15 7:45:28 PM,C,11.613
2/6/15 8:52:08 PM,C,11.112
2/6/15 9:58:48 PM,C,11.112
2/6/15 11:05:28 PM,C,10.611
2/7/15 12:12:08 AM,C,10.111
2/7/15 1:18:48 AM,C,10.111
2/7/15 2:25:28 AM,C,10.111
2/7/15 3:32:08 AM,C,8.608
2/7/15 4:38:48 AM,C,8.608
2/7/15 5:45:28 AM,C,8.608
2/7/15 6:52:08 AM,C,8.108
2/7/15 7:58:48 AM,C,10.111
2/7/15 9:05:28 AM,C,13.114
2/7/15 10:12:08 AM,C,17.618
2/7/15 11:18:48 AM,C,17.618
2/7/15 12:25:28 PM,C,19.119
2/7/15 1:32:08 PM,C,16.618
2/7/15 2:38:48 PM,C,18.619
2/7/15 3:45:28 PM,C,16.117
2/7/15 4:52:08 PM,C,15.617
2/7/15 5:58:48 PM,C,13.615
2/7/15 7:05:28 PM,C,12.113
2/7/15 8:12:08 PM,C,12.113
2/7/15 9:18:48 PM,C,12.113
2/7/15 10:25:28 PM,C,12.113
2/7/15 11:32:08 PM,C,12.614
2/8/15 12:38:48 AM,C,12.113
2/8/15 1:45:28 AM,C,12.113
2/8/15 2:52:08 AM,C,12.614
2/8/15 3:58:48 AM,C,12.113
2/8/15 5:05:28 AM,C,12.113
2/8/15 6:12:08 AM,C,11.613
2/8/15 7:18:48 AM,C,11.112
2/8/15 8:25:28 AM,C,12.113
2/8/15 9:32:08 AM,C,13.615
2/8/15 10:38:48 AM,C,22.621
2/8/15 11:45:28 AM,C,20.62
2/8/15 12:52:08 PM,C,21.12
2/8/15 1:58:48 PM,C,22.121
2/8/15 3:05:28 PM,C,24.621
2/8/15 4:12:08 PM,C,21.12
2/8/15 5:18:48 PM,C,18.619
2/8/15 6:25:28 PM,C,14.115
2/8/15 7:32:08 PM,C,12.614
2/8/15 8:38:48 PM,C,12.113
2/8/15 9:45:28 PM,C,10.611
2/8/15 10:52:08 PM,C,11.112
2/8/15 11:58:48 PM,C,11.112
2/9/15 1:05:28 AM,C,11.112
2/9/15 2:12:08 AM,C,11.613
2/9/15 3:18:48 AM,C,12.113
2/9/15 4:25:28 AM,C,10.111
2/9/15 5:32:08 AM,C,10.111
2/9/15 6:38:48 AM,C,9.61
2/9/15 7:45:28 AM,C,9.61
2/9/15 8:52:08 AM,C,15.116
2/9/15 9:58:48 AM,C,15.617
2/9/15 11:05:28 AM,C,17.118
2/9/15 12:12:08 PM,C,18.119
2/9/15 1:18:48 PM,C,18.619
2/9/15 2:25:28 PM,C,22.121
2/9/15 3:32:08 PM,C,20.62
2/9/15 4:38:48 PM,C,17.118
2/9/15 5:45:28 PM,C,13.615
2/9/15 6:52:08 PM,C,12.113
2/9/15 7:58:48 PM,C,11.112
2/9/15 9:05:28 PM,C,10.611
2/9/15 10:12:08 PM,C,10.611
2/9/15 11:18:48 PM,C,10.111
2/10/15 12:25:28 AM,C,9.109
2/10/15 1:32:08 AM,C,9.109
2/10/15 2:38:48 AM,C,11.112
2/10/15 3:45:28 AM,C,10.611
2/10/15 4:52:08 AM,C,10.111
2/10/15 5:58:48 AM,C,9.61
2/10/15 7:05:28 AM,C,9.61
2/10/15 8:12:08 AM,C,12.113
2/10/15 9:18:48 AM,C,16.618
2/10/15 10:25:28 AM,C,20.12
2/10/15 11:32:08 AM,C,19.62
2/10/15 12:38:48 PM,C,20.62
2/10/15 1:45:28 PM,C,20.12
2/10/15 2:52:08 PM,C,22.121
2/10/15 3:58:48 PM,C,22.121
2/10/15 5:05:28 PM,C,16.618
2/10/15 6:12:08 PM,C,13.615
2/10/15 7:18:48 PM,C,12.113
2/10/15 8:25:28 PM,C,11.112
2/10/15 9:32:08 PM,C,11.112
2/10/15 10:38:48 PM,C,12.113
2/10/15 11:45:28 PM,C,11.613
2/11/15 12:52:08 AM,C,12.614
2/11/15 1:58:48 AM,C,12.614
2/11/15 3:05:28 AM,C,11.112
2/11/15 4:12:08 AM,C,11.613
2/11/15 5:18:48 AM,C,11.613
2/11/15 6:25:28 AM,C,11.112
2/11/15 7:32:08 AM,C,10.111
2/11/15 8:38:48 AM,C,16.117
2/11/15 9:45:28 AM,C,19.62
2/11/15 10:52:08 AM,C,20.62
2/11/15 11:58:48 AM,C,20.12
2/11/15 1:05:28 PM,C,21.62
2/11/15 2:12:08 PM,C,23.121
2/11/15 3:18:48 PM,C,20.62
2/11/15 4:25:28 PM,C,17.618
2/11/15 5:32:08 PM,C,12.113
2/11/15 6:38:48 PM,C,8.108
2/11/15 7:45:28 PM,C,6.605
2/11/15 8:52:08 PM,C,5.102
2/11/15 9:58:48 PM,C,4.601
2/11/15 11:05:28 PM,C,4.1
2/12/15 12:12:08 AM,C,4.1
2/12/15 1:18:48 AM,C,5.102
2/12/15 2:25:28 AM,C,4.601
2/12/15 3:32:08 AM,C,2.096
2/12/15 4:38:48 AM,C,2.096
2/12/15 5:45:28 AM,C,2.096
2/12/15 6:52:08 AM,C,2.597
2/12/15 7:58:48 AM,C,2.597
2/12/15 9:05:28 AM,C,2.096
2/12/15 10:12:08 AM,C,2.597
2/12/15 11:18:48 AM,C,2.597
2/12/15 12:25:28 PM,C,3.098
2/12/15 1:32:08 PM,C,3.599
2/12/15 2:38:48 PM,C,3.098
2/12/15 3:45:28 PM,C,3.098
2/12/15 4:52:08 PM,C,3.098
2/12/15 5:58:48 PM,C,3.599
2/12/15 7:05:28 PM,C,3.599
2/12/15 8:12:08 PM,C,3.599
2/12/15 9:18:48 PM,C,3.098
2/12/15 10:25:28 PM,C,3.098
2/12/15 11:32:08 PM,C,3.098
2/13/15 12:38:48 AM,C,3.599
2/13/15 1:45:28 AM,C,3.098
2/13/15 2:52:08 AM,C,3.098
2/13/15 3:58:48 AM,C,3.599
2/13/15 5:05:28 AM,C,3.599
2/13/15 6:12:08 AM,C,3.599
2/13/15 7:18:48 AM,C,3.599
2/13/15 8:25:28 AM,C,3.599
2/13/15 9:32:08 AM,C,4.601
2/13/15 10:38:48 AM,C,6.605
2/13/15 11:45:28 AM,C,8.608
2/13/15 12:52:08 PM,C,10.611
2/13/15 1:58:48 PM,C,13.615
2/13/15 3:05:28 PM,C,15.116
2/13/15 4:12:08 PM,C,11.613
2/13/15 5:18:48 PM,C,9.109
2/13/15 6:25:28 PM,C,7.607
2/13/15 7:32:08 PM,C,7.106
2/13/15 8:38:48 PM,C,7.607
2/13/15 9:45:28 PM,C,7.106
2/13/15 10:52:08 PM,C,6.605
2/13/15 11:58:48 PM,C,6.605
2/14/15 1:05:28 AM,C,6.104
2/14/15 2:12:08 AM,C,6.104
2/14/15 3:18:48 AM,C,6.104
