1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9A00000014989241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sun Jan 16 14:00:01 CST 2011
Mission Sample Count:  982
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Jan 16 14:00:01 CST 2011
Total Mission Samples:  982
Total Device Samples:  11895
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/16/11 2:00:01 PM,%RH,26.951
1/16/11 3:00:01 PM,%RH,20.933
1/16/11 4:00:01 PM,%RH,22.447
1/16/11 5:00:01 PM,%RH,26.204
1/16/11 6:00:01 PM,%RH,35.062
1/16/11 7:00:01 PM,%RH,36.516
1/16/11 8:00:01 PM,%RH,32.134
1/16/11 9:00:01 PM,%RH,29.181
1/16/11 10:00:01 PM,%RH,35.062
1/16/11 11:00:01 PM,%RH,35.79
1/17/11 12:00:01 AM,%RH,29.922
1/17/11 1:00:01 AM,%RH,26.951
1/17/11 2:00:01 AM,%RH,27.696
1/17/11 3:00:01 AM,%RH,26.951
1/17/11 4:00:01 AM,%RH,30.661
1/17/11 5:00:01 AM,%RH,31.398
1/17/11 6:00:01 AM,%RH,32.868
1/17/11 7:00:01 AM,%RH,36.516
1/17/11 8:00:01 AM,%RH,36.516
1/17/11 9:00:01 AM,%RH,37.964
1/17/11 10:00:01 AM,%RH,37.241
1/17/11 11:00:01 AM,%RH,36.516
1/17/11 12:00:01 PM,%RH,31.398
1/17/11 1:00:01 PM,%RH,29.181
1/17/11 2:00:01 PM,%RH,28.439
1/17/11 3:00:01 PM,%RH,24.706
1/17/11 4:00:01 PM,%RH,24.706
1/17/11 5:00:01 PM,%RH,27.696
1/17/11 6:00:01 PM,%RH,35.062
1/17/11 7:00:01 PM,%RH,35.062
1/17/11 8:00:01 PM,%RH,37.241
1/17/11 9:00:01 PM,%RH,35.79
1/17/11 10:00:01 PM,%RH,36.516
1/17/11 11:00:01 PM,%RH,38.686
1/18/11 12:00:01 AM,%RH,38.686
1/18/11 1:00:01 AM,%RH,44.405
1/18/11 2:00:01 AM,%RH,42.985
1/18/11 3:00:01 AM,%RH,47.227
1/18/11 4:00:01 AM,%RH,38.686
1/18/11 5:00:01 AM,%RH,38.686
1/18/11 6:00:01 AM,%RH,49.327
1/18/11 7:00:01 AM,%RH,59.618
1/18/11 8:00:01 AM,%RH,59.618
1/18/11 9:00:01 AM,%RH,54.859
1/18/11 10:00:01 AM,%RH,35.062
1/18/11 11:00:01 AM,%RH,24.706
1/18/11 12:00:01 PM,%RH,22.447
1/18/11 1:00:01 PM,%RH,14.817
1/18/11 2:00:01 PM,%RH,18.651
1/18/11 3:00:01 PM,%RH,14.817
1/18/11 4:00:01 PM,%RH,15.587
1/18/11 5:00:01 PM,%RH,18.651
1/18/11 6:00:01 PM,%RH,29.181
1/18/11 7:00:01 PM,%RH,32.134
1/18/11 8:00:01 PM,%RH,32.868
1/18/11 9:00:01 PM,%RH,31.398
1/18/11 10:00:01 PM,%RH,32.134
1/18/11 11:00:01 PM,%RH,28.439
1/19/11 12:00:01 AM,%RH,29.181
1/19/11 1:00:01 AM,%RH,32.868
1/19/11 2:00:01 AM,%RH,30.661
1/19/11 3:00:01 AM,%RH,32.134
1/19/11 4:00:01 AM,%RH,33.601
1/19/11 5:00:01 AM,%RH,36.516
1/19/11 6:00:01 AM,%RH,35.062
1/19/11 7:00:01 AM,%RH,31.398
1/19/11 8:00:01 AM,%RH,32.868
1/19/11 9:00:01 AM,%RH,33.601
1/19/11 10:00:01 AM,%RH,29.181
1/19/11 11:00:01 AM,%RH,23.954
1/19/11 12:00:01 PM,%RH,23.202
1/19/11 1:00:01 PM,%RH,20.933
1/19/11 2:00:01 PM,%RH,20.174
1/19/11 3:00:01 PM,%RH,20.174
1/19/11 4:00:01 PM,%RH,20.174
1/19/11 5:00:01 PM,%RH,22.447
1/19/11 6:00:01 PM,%RH,24.706
1/19/11 7:00:01 PM,%RH,26.951
1/19/11 8:00:01 PM,%RH,28.439
1/19/11 9:00:01 PM,%RH,26.951
1/19/11 10:00:01 PM,%RH,26.951
1/19/11 11:00:01 PM,%RH,29.922
1/20/11 12:00:01 AM,%RH,30.661
1/20/11 1:00:01 AM,%RH,35.062
1/20/11 2:00:01 AM,%RH,37.964
1/20/11 3:00:01 AM,%RH,42.272
1/20/11 4:00:01 AM,%RH,43.695
1/20/11 5:00:01 AM,%RH,45.113
1/20/11 6:00:01 AM,%RH,54.173
1/20/11 7:00:01 AM,%RH,93.179
1/20/11 8:00:01 AM,%RH,100.744
1/20/11 9:00:01 AM,%RH,100.744
1/20/11 10:00:01 AM,%RH,100.171
1/20/11 11:00:01 AM,%RH,98.444
1/20/11 12:00:01 PM,%RH,87.181
1/20/11 1:00:01 PM,%RH,75.356
1/20/11 2:00:01 PM,%RH,65.625
1/20/11 3:00:01 PM,%RH,64.964
1/20/11 4:00:01 PM,%RH,54.173
1/20/11 5:00:01 PM,%RH,54.173
1/20/11 6:00:01 PM,%RH,74.079
1/20/11 7:00:01 PM,%RH,84.124
1/20/11 8:00:01 PM,%RH,91.396
1/20/11 9:00:01 PM,%RH,90.199
1/20/11 10:00:01 PM,%RH,75.993
1/20/11 11:00:01 PM,%RH,72.796
1/21/11 12:00:01 AM,%RH,69.559
1/21/11 1:00:01 AM,%RH,70.859
1/21/11 2:00:01 AM,%RH,58.266
1/21/11 3:00:01 AM,%RH,54.859
1/21/11 4:00:01 AM,%RH,54.173
1/21/11 5:00:01 AM,%RH,57.588
1/21/11 6:00:01 AM,%RH,61.634
1/21/11 7:00:01 AM,%RH,64.964
1/21/11 8:00:01 AM,%RH,66.285
1/21/11 9:00:01 AM,%RH,62.303
1/21/11 10:00:01 AM,%RH,51.413
1/21/11 11:00:01 AM,%RH,47.227
