1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D600000014951F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sun Jan 16 17:28:01 CST 2011
Mission Sample Count:  1346
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Jan 16 17:28:01 CST 2011
Total Mission Samples:  1346
Total Device Samples:  12177
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/16/11 5:28:01 PM,%RH,24.78
1/16/11 6:28:01 PM,%RH,37.08
1/16/11 7:28:01 PM,%RH,53.05
1/16/11 8:28:01 PM,%RH,57.763
1/16/11 9:28:01 PM,%RH,60.661
1/16/11 10:28:01 PM,%RH,55.418
1/16/11 11:28:01 PM,%RH,61.237
1/17/11 12:28:01 AM,%RH,66.908
1/17/11 1:28:01 AM,%RH,68.58
1/17/11 2:28:01 AM,%RH,40.854
1/17/11 3:28:01 AM,%RH,29.373
1/17/11 4:28:01 AM,%RH,30.024
1/17/11 5:28:01 AM,%RH,31.966
1/17/11 6:28:01 AM,%RH,30.673
1/17/11 7:28:01 AM,%RH,33.895
1/17/11 8:28:01 AM,%RH,36.446
1/17/11 9:28:01 AM,%RH,29.373
1/17/11 10:28:01 AM,%RH,28.068
1/17/11 11:28:01 AM,%RH,27.414
1/17/11 12:28:01 PM,%RH,26.757
1/17/11 1:28:01 PM,%RH,25.441
1/17/11 2:28:01 PM,%RH,24.118
1/17/11 3:28:01 PM,%RH,22.789
1/17/11 4:28:01 PM,%RH,23.454
1/17/11 5:28:01 PM,%RH,27.414
1/17/11 6:28:01 PM,%RH,32.61
1/17/11 7:28:01 PM,%RH,33.253
1/17/11 8:28:01 PM,%RH,31.966
1/17/11 9:28:01 PM,%RH,33.253
1/17/11 10:28:01 PM,%RH,35.173
1/17/11 11:28:01 PM,%RH,37.08
1/18/11 12:28:01 AM,%RH,37.713
1/18/11 1:28:01 AM,%RH,38.344
1/18/11 2:28:01 AM,%RH,42.1
1/18/11 3:28:01 AM,%RH,44.574
1/18/11 4:28:01 AM,%RH,52.454
1/18/11 5:28:01 AM,%RH,72.431
1/18/11 6:28:01 AM,%RH,79.917
1/18/11 7:28:01 AM,%RH,86.103
1/18/11 8:28:01 AM,%RH,86.103
1/18/11 9:28:01 AM,%RH,58.927
1/18/11 10:28:01 AM,%RH,31.966
1/18/11 11:28:01 AM,%RH,25.441
1/18/11 12:28:01 PM,%RH,21.455
1/18/11 1:28:01 PM,%RH,19.442
1/18/11 2:28:01 PM,%RH,17.416
1/18/11 3:28:01 PM,%RH,18.093
1/18/11 4:28:01 PM,%RH,16.737
1/18/11 5:28:01 PM,%RH,20.114
1/18/11 6:28:01 PM,%RH,35.173
1/18/11 7:28:01 PM,%RH,47.025
1/18/11 8:28:01 PM,%RH,53.05
1/18/11 9:28:01 PM,%RH,62.383
1/18/11 10:28:01 PM,%RH,67.467
1/18/11 11:28:01 PM,%RH,70.79
1/19/11 12:28:01 AM,%RH,75.138
1/19/11 1:28:01 AM,%RH,76.744
1/19/11 2:28:01 AM,%RH,77.808
1/19/11 3:28:01 AM,%RH,79.917
1/19/11 4:28:01 AM,%RH,79.392
1/19/11 5:28:01 AM,%RH,78.865
1/19/11 6:28:01 AM,%RH,82.003
1/19/11 7:28:01 AM,%RH,37.08
1/19/11 8:28:01 AM,%RH,35.81
1/19/11 9:28:01 AM,%RH,28.722
1/19/11 10:28:01 AM,%RH,24.118
1/19/11 11:28:01 AM,%RH,20.785
1/19/11 12:28:01 PM,%RH,20.114
1/19/11 1:28:01 PM,%RH,20.785
1/19/11 2:28:01 PM,%RH,20.114
1/19/11 3:28:01 PM,%RH,18.768
1/19/11 4:28:01 PM,%RH,20.114
1/19/11 5:28:01 PM,%RH,21.455
1/19/11 6:28:01 PM,%RH,25.441
1/19/11 7:28:01 PM,%RH,27.414
1/19/11 8:28:01 PM,%RH,28.068
1/19/11 9:28:01 PM,%RH,28.068
1/19/11 10:28:01 PM,%RH,28.722
1/19/11 11:28:01 PM,%RH,29.373
1/20/11 12:28:01 AM,%RH,30.024
1/20/11 1:28:01 AM,%RH,32.61
1/20/11 2:28:01 AM,%RH,35.81
1/20/11 3:28:01 AM,%RH,38.344
1/20/11 4:28:01 AM,%RH,40.228
1/20/11 5:28:01 AM,%RH,43.958
1/20/11 6:28:01 AM,%RH,87.114
1/20/11 7:28:01 AM,%RH,98.311
1/20/11 8:28:01 AM,%RH,100.178
1/20/11 9:28:01 AM,%RH,101.564
1/20/11 10:28:01 AM,%RH,101.103
1/20/11 11:28:01 AM,%RH,99.714
1/20/11 12:28:01 PM,%RH,95.465
1/20/11 1:28:01 PM,%RH,83.551
1/20/11 2:28:01 PM,%RH,74.06
1/20/11 3:28:01 PM,%RH,59.507
1/20/11 4:28:01 PM,%RH,54.237
1/20/11 5:28:01 PM,%RH,65.222
1/20/11 6:28:01 PM,%RH,74.06
1/20/11 7:28:01 PM,%RH,80.441
1/20/11 8:28:01 PM,%RH,86.103
1/20/11 9:28:01 PM,%RH,89.117
1/20/11 10:28:01 PM,%RH,92.078
1/20/11 11:28:01 PM,%RH,94.022
1/21/11 12:28:01 AM,%RH,94.022
1/21/11 1:28:01 AM,%RH,94.985
1/21/11 2:28:01 AM,%RH,95.943
1/21/11 3:28:01 AM,%RH,94.985
1/21/11 4:28:01 AM,%RH,62.383
1/21/11 5:28:01 AM,%RH,56.007
1/21/11 6:28:01 AM,%RH,57.179
1/21/11 7:28:01 AM,%RH,60.085
1/21/11 8:28:01 AM,%RH,56.007
1/21/11 9:28:01 AM,%RH,43.34
1/21/11 10:28:01 AM,%RH,37.713
1/21/11 11:28:01 AM,%RH,30.024
1/21/11 12:28:01 PM,%RH,26.1
1/21/11 1:28:01 PM,%RH,24.78
1/21/11 2:28:01 PM,%RH,24.78
1/21/11 3:28:01 PM,%RH,23.454
1/21/11 4:28:01 PM,%RH,20.785
1/21/11 5:28:01 PM,%RH,22.123
1/21/11 6:28:01 PM,%RH,26.757
1/21/11 7:28:01 PM,%RH,30.673
1/21/11 8:28:01 PM,%RH,48.242
1/21/11 9:28:01 PM,%RH,52.454
1/21/11 10:28:01 PM,%RH,56.594
