1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1A0000001493D541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Jan 15 08:22:01 CST 2011
Mission Sample Count:  1350
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Jan 15 08:22:01 CST 2011
Total Mission Samples:  1350
Total Device Samples:  7943
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/15/11 8:22:01 AM,%RH,43.625
1/15/11 9:22:01 AM,%RH,46.269
1/15/11 10:22:01 AM,%RH,34.212
1/15/11 11:22:01 AM,%RH,28.723
1/15/11 12:22:01 PM,%RH,29.413
1/15/11 1:22:01 PM,%RH,28.723
1/15/11 2:22:01 PM,%RH,26.643
1/15/11 3:22:01 PM,%RH,25.948
1/15/11 4:22:01 PM,%RH,18.923
1/15/11 5:22:01 PM,%RH,37.602
1/15/11 6:22:01 PM,%RH,45.61
1/15/11 7:22:01 PM,%RH,46.927
1/15/11 8:22:01 PM,%RH,46.927
1/15/11 9:22:01 PM,%RH,43.625
1/15/11 10:22:01 PM,%RH,44.95
1/15/11 11:22:01 PM,%RH,46.269
1/16/11 12:22:01 AM,%RH,41.629
1/16/11 1:22:01 AM,%RH,44.288
1/16/11 2:22:01 AM,%RH,42.961
1/16/11 3:22:01 AM,%RH,41.629
1/16/11 4:22:01 AM,%RH,38.276
1/16/11 5:22:01 AM,%RH,40.292
1/16/11 6:22:01 AM,%RH,42.961
1/16/11 7:22:01 AM,%RH,44.288
1/16/11 8:22:01 AM,%RH,40.292
1/16/11 9:22:01 AM,%RH,35.572
1/16/11 10:22:01 AM,%RH,30.103
1/16/11 11:22:01 AM,%RH,28.031
1/16/11 12:22:01 PM,%RH,25.251
1/16/11 1:22:01 PM,%RH,26.643
1/16/11 2:22:01 PM,%RH,23.153
1/16/11 3:22:01 PM,%RH,21.748
1/16/11 4:22:01 PM,%RH,17.502
1/16/11 5:22:01 PM,%RH,29.413
1/16/11 6:22:01 PM,%RH,34.212
1/16/11 7:22:01 PM,%RH,34.893
1/16/11 8:22:01 PM,%RH,32.847
1/16/11 9:22:01 PM,%RH,29.413
1/16/11 10:22:01 PM,%RH,32.847
1/16/11 11:22:01 PM,%RH,34.893
1/17/11 12:22:01 AM,%RH,32.163
1/17/11 1:22:01 AM,%RH,24.553
1/17/11 2:22:01 AM,%RH,24.553
1/17/11 3:22:01 AM,%RH,25.948
1/17/11 4:22:01 AM,%RH,28.031
1/17/11 5:22:01 AM,%RH,30.103
1/17/11 6:22:01 AM,%RH,33.53
1/17/11 7:22:01 AM,%RH,34.893
1/17/11 8:22:01 AM,%RH,36.927
1/17/11 9:22:01 AM,%RH,32.163
1/17/11 10:22:01 AM,%RH,30.791
