1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1C000000149C6741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Jan 15 08:17:01 CST 2011
Mission Sample Count:  1351
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Jan 15 08:17:01 CST 2011
Total Mission Samples:  1351
Total Device Samples:  8083
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/15/11 8:17:01 AM,%RH,48.027
1/15/11 9:17:01 AM,%RH,43.224
1/15/11 10:17:01 AM,%RH,50.991
1/15/11 11:17:01 AM,%RH,51.58
1/15/11 12:17:01 PM,%RH,30.886
1/15/11 1:17:01 PM,%RH,31.514
1/15/11 2:17:01 PM,%RH,28.361
1/15/11 3:17:01 PM,%RH,25.818
1/15/11 4:17:01 PM,%RH,28.361
1/15/11 5:17:01 PM,%RH,27.092
1/15/11 6:17:01 PM,%RH,36.496
1/15/11 7:17:01 PM,%RH,40.794
1/15/11 8:17:01 PM,%RH,42.618
1/15/11 9:17:01 PM,%RH,45.034
1/15/11 10:17:01 PM,%RH,44.432
1/15/11 11:17:01 PM,%RH,48.622
1/16/11 12:17:01 AM,%RH,47.431
1/16/11 1:17:01 AM,%RH,48.622
1/16/11 2:17:01 AM,%RH,46.833
1/16/11 3:17:01 AM,%RH,52.168
1/16/11 4:17:01 AM,%RH,46.833
1/16/11 5:17:01 AM,%RH,44.432
1/16/11 6:17:01 AM,%RH,45.635
1/16/11 7:17:01 AM,%RH,46.833
1/16/11 8:17:01 AM,%RH,46.235
1/16/11 9:17:01 AM,%RH,45.034
1/16/11 10:17:01 AM,%RH,38.345
1/16/11 11:17:01 AM,%RH,31.514
1/16/11 12:17:01 PM,%RH,27.727
1/16/11 1:17:01 PM,%RH,28.361
1/16/11 2:17:01 PM,%RH,25.18
1/16/11 3:17:01 PM,%RH,23.899
1/16/11 4:17:01 PM,%RH,22.613
1/16/11 5:17:01 PM,%RH,23.256
1/16/11 6:17:01 PM,%RH,32.766
1/16/11 7:17:01 PM,%RH,35.258
1/16/11 8:17:01 PM,%RH,31.514
1/16/11 9:17:01 PM,%RH,28.994
1/16/11 10:17:01 PM,%RH,34.014
1/16/11 11:17:01 PM,%RH,32.141
1/17/11 12:17:01 AM,%RH,32.141
1/17/11 1:17:01 AM,%RH,29.626
1/17/11 2:17:01 AM,%RH,27.092
1/17/11 3:17:01 AM,%RH,27.727
1/17/11 4:17:01 AM,%RH,30.256
1/17/11 5:17:01 AM,%RH,30.256
1/17/11 6:17:01 AM,%RH,31.514
1/17/11 7:17:01 AM,%RH,34.014
1/17/11 8:17:01 AM,%RH,38.959
1/17/11 9:17:01 AM,%RH,37.114
1/17/11 10:17:01 AM,%RH,35.258
1/17/11 11:17:01 AM,%RH,32.766
1/17/11 12:17:01 PM,%RH,31.514
1/17/11 1:17:01 PM,%RH,29.626
1/17/11 2:17:01 PM,%RH,26.456
1/17/11 3:17:01 PM,%RH,23.256
1/17/11 4:17:01 PM,%RH,25.18
1/17/11 5:17:01 PM,%RH,26.456
1/17/11 6:17:01 PM,%RH,32.766
