1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7900000014956E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Jan 15 08:25:01 CST 2011
Mission Sample Count:  1346
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Jan 15 08:25:01 CST 2011
Total Mission Samples:  1346
Total Device Samples:  8055
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/15/11 8:25:01 AM,%RH,38.514
1/15/11 9:25:01 AM,%RH,55.803
1/15/11 10:25:01 AM,%RH,43.408
1/15/11 11:25:01 AM,%RH,40.36
1/15/11 12:25:01 PM,%RH,37.895
1/15/11 1:25:01 PM,%RH,33.524
1/15/11 2:25:01 PM,%RH,34.78
1/15/11 3:25:01 PM,%RH,32.894
1/15/11 4:25:01 PM,%RH,32.894
1/15/11 5:25:01 PM,%RH,24.563
1/15/11 6:25:01 PM,%RH,43.408
1/15/11 7:25:01 PM,%RH,36.031
1/15/11 8:25:01 PM,%RH,46.419
1/15/11 9:25:01 PM,%RH,47.612
1/15/11 10:25:01 PM,%RH,49.982
1/15/11 11:25:01 PM,%RH,49.392
1/16/11 12:25:01 AM,%RH,46.419
1/16/11 1:25:01 AM,%RH,51.744
1/16/11 2:25:01 AM,%RH,50.571
1/16/11 3:25:01 AM,%RH,48.207
1/16/11 4:25:01 AM,%RH,45.819
1/16/11 5:25:01 AM,%RH,47.612
1/16/11 6:25:01 AM,%RH,49.982
1/16/11 7:25:01 AM,%RH,51.158
1/16/11 8:25:01 AM,%RH,49.982
1/16/11 9:25:01 AM,%RH,40.973
1/16/11 10:25:01 AM,%RH,34.78
1/16/11 11:25:01 AM,%RH,23.912
1/16/11 12:25:01 PM,%RH,15.981
1/16/11 1:25:01 PM,%RH,19.973
1/16/11 2:25:01 PM,%RH,18.648
1/16/11 3:25:01 PM,%RH,21.292
1/16/11 4:25:01 PM,%RH,20.633
1/16/11 5:25:01 PM,%RH,22.605
1/16/11 6:25:01 PM,%RH,37.895
1/16/11 7:25:01 PM,%RH,37.895
1/16/11 8:25:01 PM,%RH,34.78
1/16/11 9:25:01 PM,%RH,30.357
1/16/11 10:25:01 PM,%RH,40.36
1/16/11 11:25:01 PM,%RH,40.36
1/17/11 12:25:01 AM,%RH,30.993
1/17/11 1:25:01 AM,%RH,28.439
1/17/11 2:25:01 AM,%RH,29.719
1/17/11 3:25:01 AM,%RH,31.628
1/17/11 4:25:01 AM,%RH,31.628
1/17/11 5:25:01 AM,%RH,33.524
1/17/11 6:25:01 AM,%RH,36.654
1/17/11 7:25:01 AM,%RH,39.746
1/17/11 8:25:01 AM,%RH,38.514
1/17/11 9:25:01 AM,%RH,34.78
1/17/11 10:25:01 AM,%RH,34.78
1/17/11 11:25:01 AM,%RH,33.524
1/17/11 12:25:01 PM,%RH,22.605
1/17/11 1:25:01 PM,%RH,24.563
1/17/11 2:25:01 PM,%RH,26.508
1/17/11 3:25:01 PM,%RH,27.153
1/17/11 4:25:01 PM,%RH,25.861
1/17/11 5:25:01 PM,%RH,27.153
1/17/11 6:25:01 PM,%RH,37.275
1/17/11 7:25:01 PM,%RH,37.895
1/17/11 8:25:01 PM,%RH,37.275
1/17/11 9:25:01 PM,%RH,37.895
1/17/11 10:25:01 PM,%RH,39.746
1/17/11 11:25:01 PM,%RH,40.973
1/18/11 12:25:01 AM,%RH,41.584
1/18/11 1:25:01 AM,%RH,42.801
1/18/11 2:25:01 AM,%RH,48.207
1/18/11 3:25:01 AM,%RH,48.8
1/18/11 4:25:01 AM,%RH,40.973
1/18/11 5:25:01 AM,%RH,41.584
1/18/11 6:25:01 AM,%RH,52.328
1/18/11 7:25:01 AM,%RH,54.651
1/18/11 8:25:01 AM,%RH,53.492
1/18/11 9:25:01 AM,%RH,39.131
1/18/11 10:25:01 AM,%RH,31.628
1/18/11 11:25:01 AM,%RH,23.259
1/18/11 12:25:01 PM,%RH,15.981
1/18/11 1:25:01 PM,%RH,16.65
1/18/11 2:25:01 PM,%RH,14.638
1/18/11 3:25:01 PM,%RH,15.981
1/18/11 4:25:01 PM,%RH,15.981
1/18/11 5:25:01 PM,%RH,15.31
1/18/11 6:25:01 PM,%RH,28.439
1/18/11 7:25:01 PM,%RH,29.08
1/18/11 8:25:01 PM,%RH,31.628
1/18/11 9:25:01 PM,%RH,32.894
1/18/11 10:25:01 PM,%RH,31.628
1/18/11 11:25:01 PM,%RH,27.153
1/19/11 12:25:01 AM,%RH,34.153
1/19/11 1:25:01 AM,%RH,36.031
1/19/11 2:25:01 AM,%RH,34.78
1/19/11 3:25:01 AM,%RH,34.153
1/19/11 4:25:01 AM,%RH,35.406
1/19/11 5:25:01 AM,%RH,34.78
1/19/11 6:25:01 AM,%RH,32.894
1/19/11 7:25:01 AM,%RH,32.894
1/19/11 8:25:01 AM,%RH,34.78
1/19/11 9:25:01 AM,%RH,32.262
1/19/11 10:25:01 AM,%RH,30.993
1/19/11 11:25:01 AM,%RH,27.797
1/19/11 12:25:01 PM,%RH,25.213
1/19/11 1:25:01 PM,%RH,22.605
1/19/11 2:25:01 PM,%RH,22.605
1/19/11 3:25:01 PM,%RH,23.259
1/19/11 4:25:01 PM,%RH,21.949
1/19/11 5:25:01 PM,%RH,23.259
1/19/11 6:25:01 PM,%RH,27.153
1/19/11 7:25:01 PM,%RH,28.439
1/19/11 8:25:01 PM,%RH,29.08
1/19/11 9:25:01 PM,%RH,29.719
1/19/11 10:25:01 PM,%RH,29.08
1/19/11 11:25:01 PM,%RH,30.357
1/20/11 12:25:01 AM,%RH,33.524
1/20/11 1:25:01 AM,%RH,37.895
1/20/11 2:25:01 AM,%RH,40.36
1/20/11 3:25:01 AM,%RH,44.617
1/20/11 4:25:01 AM,%RH,45.819
1/20/11 5:25:01 AM,%RH,50.571
1/20/11 6:25:01 AM,%RH,82.172
1/20/11 7:25:01 AM,%RH,99.269
1/20/11 8:25:01 AM,%RH,101.931
1/20/11 9:25:01 AM,%RH,103.242
1/20/11 10:25:01 AM,%RH,102.37
1/20/11 11:25:01 AM,%RH,99.717
1/20/11 12:25:01 PM,%RH,97.918
1/20/11 1:25:01 PM,%RH,90.486
1/20/11 2:25:01 PM,%RH,84.167
1/20/11 3:25:01 PM,%RH,88.086
1/20/11 4:25:01 PM,%RH,74.479
1/20/11 5:25:01 PM,%RH,63.147
1/20/11 6:25:01 PM,%RH,85.648
1/20/11 7:25:01 PM,%RH,88.086
1/20/11 8:25:01 PM,%RH,88.569
1/20/11 9:25:01 PM,%RH,73.955
1/20/11 10:25:01 PM,%RH,71.841
1/20/11 11:25:01 PM,%RH,69.703
1/21/11 12:25:01 AM,%RH,67.541
1/21/11 1:25:01 AM,%RH,63.147
1/21/11 2:25:01 AM,%RH,66.452
1/21/11 3:25:01 AM,%RH,59.789
1/21/11 4:25:01 AM,%RH,63.701
1/21/11 5:25:01 AM,%RH,69.703
1/21/11 6:25:01 AM,%RH,68.625
1/21/11 7:25:01 AM,%RH,73.955
1/21/11 8:25:01 AM,%RH,68.625
1/21/11 9:25:01 AM,%RH,59.224
1/21/11 10:25:01 AM,%RH,54.072
1/21/11 11:25:01 AM,%RH,46.419
1/21/11 12:25:01 PM,%RH,28.439
1/21/11 1:25:01 PM,%RH,27.153
1/21/11 2:25:01 PM,%RH,25.213
1/21/11 3:25:01 PM,%RH,24.563
1/21/11 4:25:01 PM,%RH,21.949
1/21/11 5:25:01 PM,%RH,19.973
1/21/11 6:25:01 PM,%RH,30.357
1/21/11 7:25:01 PM,%RH,34.153
1/21/11 8:25:01 PM,%RH,32.262
1/21/11 9:25:01 PM,%RH,39.131
1/21/11 10:25:01 PM,%RH,43.408
1/21/11 11:25:01 PM,%RH,47.612
1/22/11 12:25:01 AM,%RH,40.36
1/22/11 1:25:01 AM,%RH,36.654
1/22/11 2:25:01 AM,%RH,34.153
1/22/11 3:25:01 AM,%RH,33.524
1/22/11 4:25:01 AM,%RH,34.153
1/22/11 5:25:01 AM,%RH,37.275
1/22/11 6:25:01 AM,%RH,35.406
1/22/11 7:25:01 AM,%RH,34.78
1/22/11 8:25:01 AM,%RH,34.78
1/22/11 9:25:01 AM,%RH,34.153
1/22/11 10:25:01 AM,%RH,33.524
1/22/11 11:25:01 AM,%RH,28.439
1/22/11 12:25:01 PM,%RH,19.311
1/22/11 1:25:01 PM,%RH,17.318
1/22/11 2:25:01 PM,%RH,17.984
1/22/11 3:25:01 PM,%RH,23.259
1/22/11 4:25:01 PM,%RH,25.213
1/22/11 5:25:01 PM,%RH,21.949
1/22/11 6:25:01 PM,%RH,31.628
1/22/11 7:25:01 PM,%RH,34.153
1/22/11 8:25:01 PM,%RH,32.894
1/22/11 9:25:01 PM,%RH,34.78
1/22/11 10:25:01 PM,%RH,34.153
1/22/11 11:25:01 PM,%RH,37.275
1/23/11 12:25:01 AM,%RH,38.514
1/23/11 1:25:01 AM,%RH,40.973
1/23/11 2:25:01 AM,%RH,40.36
1/23/11 3:25:01 AM,%RH,41.584
1/23/11 4:25:01 AM,%RH,40.36
1/23/11 5:25:01 AM,%RH,47.612
1/23/11 6:25:01 AM,%RH,58.089
1/23/11 7:25:01 AM,%RH,72.371
1/23/11 8:25:01 AM,%RH,80.154
1/23/11 9:25:01 AM,%RH,83.671
1/23/11 10:25:01 AM,%RH,69.165
1/23/11 11:25:01 AM,%RH,59.789
1/23/11 12:25:01 PM,%RH,47.016
1/23/11 1:25:01 PM,%RH,47.612
1/23/11 2:25:01 PM,%RH,43.408
1/23/11 3:25:01 PM,%RH,42.193
1/23/11 4:25:01 PM,%RH,44.617
1/23/11 5:25:01 PM,%RH,54.072
1/23/11 6:25:01 PM,%RH,58.657
1/23/11 7:25:01 PM,%RH,65.356
1/23/11 8:25:01 PM,%RH,61.474
1/23/11 9:25:01 PM,%RH,60.352
1/23/11 10:25:01 PM,%RH,62.591
1/23/11 11:25:01 PM,%RH,54.651
1/24/11 12:25:01 AM,%RH,53.492
1/24/11 1:25:01 AM,%RH,52.911
1/24/11 2:25:01 AM,%RH,55.227
1/24/11 3:25:01 AM,%RH,56.377
1/24/11 4:25:01 AM,%RH,56.949
1/24/11 5:25:01 AM,%RH,51.744
1/24/11 6:25:01 AM,%RH,58.089
1/24/11 7:25:01 AM,%RH,51.744
1/24/11 8:25:01 AM,%RH,47.016
1/24/11 9:25:01 AM,%RH,38.514
1/24/11 10:25:01 AM,%RH,35.406
1/24/11 11:25:01 AM,%RH,33.524
1/24/11 12:25:01 PM,%RH,21.292
1/24/11 1:25:01 PM,%RH,19.973
1/24/11 2:25:01 PM,%RH,22.605
1/24/11 3:25:01 PM,%RH,23.912
1/24/11 4:25:01 PM,%RH,22.605
1/24/11 5:25:01 PM,%RH,18.648
1/24/11 6:25:01 PM,%RH,29.08
1/24/11 7:25:01 PM,%RH,32.262
1/24/11 8:25:01 PM,%RH,44.617
1/24/11 9:25:01 PM,%RH,52.328
1/24/11 10:25:01 PM,%RH,63.701
1/24/11 11:25:01 PM,%RH,75.003
1/25/11 12:25:01 AM,%RH,86.138
1/25/11 1:25:01 AM,%RH,92.85
1/25/11 2:25:01 AM,%RH,95.176
1/25/11 3:25:01 AM,%RH,97.465
1/25/11 4:25:01 AM,%RH,98.37
1/25/11 5:25:01 AM,%RH,98.37
1/25/11 6:25:01 AM,%RH,100.607
1/25/11 7:25:01 AM,%RH,95.176
1/25/11 8:25:01 AM,%RH,87.115
1/25/11 9:25:01 AM,%RH,62.033
1/25/11 10:25:01 AM,%RH,44.013
1/25/11 11:25:01 AM,%RH,32.894
1/25/11 12:25:01 PM,%RH,22.605
1/25/11 1:25:01 PM,%RH,24.563
1/25/11 2:25:01 PM,%RH,25.861
1/25/11 3:25:01 PM,%RH,21.949
1/25/11 4:25:01 PM,%RH,22.605
1/25/11 5:25:01 PM,%RH,16.65
1/25/11 6:25:01 PM,%RH,37.895
1/25/11 7:25:01 PM,%RH,37.895
1/25/11 8:25:01 PM,%RH,33.524
1/25/11 9:25:01 PM,%RH,26.508
1/25/11 10:25:01 PM,%RH,27.797
1/25/11 11:25:01 PM,%RH,29.08
1/26/11 12:25:01 AM,%RH,23.912
1/26/11 1:25:01 AM,%RH,34.78
1/26/11 2:25:01 AM,%RH,36.031
1/26/11 3:25:01 AM,%RH,35.406
1/26/11 4:25:01 AM,%RH,35.406
1/26/11 5:25:01 AM,%RH,35.406
1/26/11 6:25:01 AM,%RH,36.031
1/26/11 7:25:01 AM,%RH,35.406
1/26/11 8:25:01 AM,%RH,37.275
1/26/11 9:25:01 AM,%RH,36.654
1/26/11 10:25:01 AM,%RH,32.262
1/26/11 11:25:01 AM,%RH,27.797
1/26/11 12:25:01 PM,%RH,29.719
1/26/11 1:25:01 PM,%RH,30.357
1/26/11 2:25:01 PM,%RH,29.08
1/26/11 3:25:01 PM,%RH,26.508
1/26/11 4:25:01 PM,%RH,27.797
1/26/11 5:25:01 PM,%RH,23.259
1/26/11 6:25:01 PM,%RH,37.275
1/26/11 7:25:01 PM,%RH,40.973
1/26/11 8:25:01 PM,%RH,45.819
1/26/11 9:25:01 PM,%RH,46.419
1/26/11 10:25:01 PM,%RH,44.617
1/26/11 11:25:01 PM,%RH,42.193
1/27/11 12:25:01 AM,%RH,45.219
1/27/11 1:25:01 AM,%RH,45.819
1/27/11 2:25:01 AM,%RH,47.016
1/27/11 3:25:01 AM,%RH,47.016
1/27/11 4:25:01 AM,%RH,47.016
1/27/11 5:25:01 AM,%RH,47.016
1/27/11 6:25:01 AM,%RH,40.36
1/27/11 7:25:01 AM,%RH,39.746
1/27/11 8:25:01 AM,%RH,41.584
1/27/11 9:25:01 AM,%RH,29.08
1/27/11 10:25:01 AM,%RH,20.633
1/27/11 11:25:01 AM,%RH,18.648
1/27/11 12:25:01 PM,%RH,14.638
1/27/11 1:25:01 PM,%RH,13.29
1/27/11 2:25:01 PM,%RH,13.965
1/27/11 3:25:01 PM,%RH,12.613
1/27/11 4:25:01 PM,%RH,15.31
1/27/11 5:25:01 PM,%RH,13.965
1/27/11 6:25:01 PM,%RH,25.213
1/27/11 7:25:01 PM,%RH,26.508
1/27/11 8:25:01 PM,%RH,26.508
1/27/11 9:25:01 PM,%RH,22.605
1/27/11 10:25:01 PM,%RH,25.861
1/27/11 11:25:01 PM,%RH,25.213
1/28/11 12:25:01 AM,%RH,21.949
1/28/11 1:25:01 AM,%RH,16.65
1/28/11 2:25:01 AM,%RH,17.318
1/28/11 3:25:01 AM,%RH,27.797
1/28/11 4:25:01 AM,%RH,27.797
1/28/11 5:25:01 AM,%RH,32.894
1/28/11 6:25:01 AM,%RH,35.406
1/28/11 7:25:01 AM,%RH,36.654
1/28/11 8:25:01 AM,%RH,35.406
1/28/11 9:25:01 AM,%RH,23.912
1/28/11 10:25:01 AM,%RH,22.605
1/28/11 11:25:01 AM,%RH,19.311
1/28/11 12:25:01 PM,%RH,15.31
1/28/11 1:25:01 PM,%RH,17.318
1/28/11 2:25:01 PM,%RH,17.318
1/28/11 3:25:01 PM,%RH,19.973
1/28/11 4:25:01 PM,%RH,17.318
1/28/11 5:25:01 PM,%RH,13.965
1/28/11 6:25:01 PM,%RH,25.213
1/28/11 7:25:01 PM,%RH,25.213
1/28/11 8:25:01 PM,%RH,24.563
1/28/11 9:25:01 PM,%RH,22.605
1/28/11 10:25:01 PM,%RH,25.213
1/28/11 11:25:01 PM,%RH,24.563
1/29/11 12:25:01 AM,%RH,24.563
1/29/11 1:25:01 AM,%RH,25.213
1/29/11 2:25:01 AM,%RH,27.797
1/29/11 3:25:01 AM,%RH,29.719
1/29/11 4:25:01 AM,%RH,32.262
1/29/11 5:25:01 AM,%RH,32.262
1/29/11 6:25:01 AM,%RH,36.654
1/29/11 7:25:01 AM,%RH,35.406
1/29/11 8:25:01 AM,%RH,30.993
1/29/11 9:25:01 AM,%RH,27.797
1/29/11 10:25:01 AM,%RH,24.563
1/29/11 11:25:01 AM,%RH,24.563
1/29/11 12:25:01 PM,%RH,17.984
1/29/11 1:25:01 PM,%RH,22.605
1/29/11 2:25:01 PM,%RH,21.292
1/29/11 3:25:01 PM,%RH,23.259
