1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A3000000149AD841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Sat Feb 26 17:18:01 CST 2011
Mission Sample Count:  1529
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Feb 26 17:18:01 CST 2011
Total Mission Samples:  1529
Total Device Samples:  13169
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/26/11 5:18:01 PM,%RH,6.565
2/26/11 5:33:01 PM,%RH,7.249
2/26/11 5:48:01 PM,%RH,5.879
2/26/11 6:03:01 PM,%RH,7.931
2/26/11 6:18:01 PM,%RH,7.249
2/26/11 6:33:01 PM,%RH,7.931
2/26/11 6:48:01 PM,%RH,9.293
2/26/11 7:03:01 PM,%RH,11.327
2/26/11 7:18:01 PM,%RH,11.327
2/26/11 7:33:01 PM,%RH,12.002
2/26/11 7:48:01 PM,%RH,12.676
2/26/11 8:03:01 PM,%RH,14.021
2/26/11 8:18:01 PM,%RH,16.028
2/26/11 8:33:01 PM,%RH,16.695
2/26/11 8:48:01 PM,%RH,16.695
2/26/11 9:03:01 PM,%RH,17.36
2/26/11 9:18:01 PM,%RH,19.349
2/26/11 9:33:01 PM,%RH,19.349
2/26/11 9:48:01 PM,%RH,19.349
2/26/11 10:03:01 PM,%RH,20.669
2/26/11 10:18:01 PM,%RH,20.009
2/26/11 10:33:01 PM,%RH,20.009
2/26/11 10:48:01 PM,%RH,16.695
2/26/11 11:03:01 PM,%RH,14.691
2/26/11 11:18:01 PM,%RH,12.002
2/26/11 11:33:01 PM,%RH,9.972
2/26/11 11:48:01 PM,%RH,9.972
2/27/11 12:03:01 AM,%RH,9.972
2/27/11 12:18:01 AM,%RH,9.972
2/27/11 12:33:01 AM,%RH,9.972
2/27/11 12:48:01 AM,%RH,10.65
2/27/11 1:03:01 AM,%RH,10.65
2/27/11 1:18:01 AM,%RH,12.002
2/27/11 1:33:01 AM,%RH,11.327
2/27/11 1:48:01 AM,%RH,11.327
2/27/11 2:03:01 AM,%RH,11.327
2/27/11 2:18:01 AM,%RH,11.327
2/27/11 2:33:01 AM,%RH,11.327
2/27/11 2:48:01 AM,%RH,11.327
2/27/11 3:03:01 AM,%RH,10.65
2/27/11 3:18:01 AM,%RH,11.327
2/27/11 3:33:01 AM,%RH,12.002
2/27/11 3:48:01 AM,%RH,12.676
2/27/11 4:03:01 AM,%RH,12.676
2/27/11 4:18:01 AM,%RH,13.349
2/27/11 4:33:01 AM,%RH,13.349
