1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A300000014976D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Mar 12 12:23:01 CST 2011
Mission Sample Count:  2689
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Mar 12 12:23:01 CST 2011
Total Mission Samples:  2689
Total Device Samples:  15101
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/12/11 12:23:01 PM,%RH,17.095
3/12/11 12:53:01 PM,%RH,15.745
3/12/11 1:23:01 PM,%RH,15.068
3/12/11 1:53:01 PM,%RH,15.745
3/12/11 2:23:01 PM,%RH,14.39
3/12/11 2:53:01 PM,%RH,11.665
3/12/11 3:23:01 PM,%RH,10.295
3/12/11 3:53:01 PM,%RH,11.665
3/12/11 4:23:01 PM,%RH,11.665
3/12/11 4:53:01 PM,%RH,12.348
3/12/11 5:23:01 PM,%RH,13.711
3/12/11 5:53:01 PM,%RH,15.068
3/12/11 6:23:01 PM,%RH,15.745
3/12/11 6:53:01 PM,%RH,16.42
3/12/11 7:23:01 PM,%RH,16.42
3/12/11 7:53:01 PM,%RH,15.745
3/12/11 8:23:01 PM,%RH,18.439
3/12/11 8:53:01 PM,%RH,17.095
3/12/11 9:23:01 PM,%RH,19.11
3/12/11 9:53:01 PM,%RH,19.779
3/12/11 10:23:01 PM,%RH,19.779
3/12/11 10:53:01 PM,%RH,20.447
3/12/11 11:23:01 PM,%RH,20.447
3/12/11 11:53:01 PM,%RH,21.113
3/13/11 12:23:01 AM,%RH,19.779
3/13/11 12:53:01 AM,%RH,16.42
3/13/11 1:23:01 AM,%RH,14.39
3/13/11 1:53:01 AM,%RH,15.745
3/13/11 2:23:01 AM,%RH,15.745
3/13/11 2:53:01 AM,%RH,16.42
3/13/11 3:23:01 AM,%RH,18.439
3/13/11 3:53:01 AM,%RH,18.439
3/13/11 4:23:01 AM,%RH,18.439
