1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8B00000014988F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sun Mar 13 09:42:01 CST 2011
Mission Sample Count:  2641
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Mar 13 09:42:01 CST 2011
Total Mission Samples:  2641
Total Device Samples:  14892
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/13/11 9:42:01 AM,%RH,24.57
3/13/11 10:12:01 AM,%RH,21.312
3/13/11 10:42:01 AM,%RH,20.001
3/13/11 11:12:01 AM,%RH,18.025
3/13/11 11:42:01 AM,%RH,18.025
3/13/11 12:12:01 PM,%RH,15.373
3/13/11 12:42:01 PM,%RH,16.038
3/13/11 1:12:01 PM,%RH,16.038
3/13/11 1:42:01 PM,%RH,15.373
3/13/11 2:12:01 PM,%RH,13.372
3/13/11 2:42:01 PM,%RH,15.373
3/13/11 3:12:01 PM,%RH,16.038
3/13/11 3:42:01 PM,%RH,14.707
3/13/11 4:12:01 PM,%RH,14.707
3/13/11 4:42:01 PM,%RH,16.038
3/13/11 5:12:01 PM,%RH,16.038
3/13/11 5:42:01 PM,%RH,13.372
3/13/11 6:12:01 PM,%RH,15.373
3/13/11 6:42:01 PM,%RH,15.373
3/13/11 7:12:01 PM,%RH,19.344
3/13/11 7:42:01 PM,%RH,20.001
3/13/11 8:12:01 PM,%RH,20.001
3/13/11 8:42:01 PM,%RH,19.344
3/13/11 9:12:01 PM,%RH,20.001
3/13/11 9:42:01 PM,%RH,18.025
3/13/11 10:12:01 PM,%RH,18.025
3/13/11 10:42:01 PM,%RH,18.025
3/13/11 11:12:01 PM,%RH,18.685
3/13/11 11:42:01 PM,%RH,18.685
3/14/11 12:12:01 AM,%RH,18.025
3/14/11 12:42:01 AM,%RH,17.364
3/14/11 1:12:01 AM,%RH,18.685
3/14/11 1:42:01 AM,%RH,17.364
3/14/11 2:12:01 AM,%RH,16.702
3/14/11 2:42:01 AM,%RH,16.702
3/14/11 3:12:01 AM,%RH,17.364
3/14/11 3:42:01 AM,%RH,18.685
3/14/11 4:12:01 AM,%RH,18.025
3/14/11 4:42:01 AM,%RH,17.364
3/14/11 5:12:01 AM,%RH,17.364
3/14/11 5:42:01 AM,%RH,16.702
3/14/11 6:12:01 AM,%RH,16.702
3/14/11 6:42:01 AM,%RH,23.271
3/14/11 7:12:01 AM,%RH,23.271
3/14/11 7:42:01 AM,%RH,23.921
3/14/11 8:12:01 AM,%RH,20.657
3/14/11 8:42:01 AM,%RH,20.657
3/14/11 9:12:01 AM,%RH,28.44
3/14/11 9:42:01 AM,%RH,34.795
3/14/11 10:12:01 AM,%RH,44.102
3/14/11 10:42:01 AM,%RH,42.262
3/14/11 11:12:01 AM,%RH,29.081
3/14/11 11:42:01 AM,%RH,35.423
3/14/11 12:12:01 PM,%RH,30.359
3/14/11 12:42:01 PM,%RH,29.081
3/14/11 1:12:01 PM,%RH,20.001
3/14/11 1:42:01 PM,%RH,20.657
3/14/11 2:12:01 PM,%RH,20.657
3/14/11 2:42:01 PM,%RH,21.966
3/14/11 3:12:01 PM,%RH,23.271
3/14/11 3:42:01 PM,%RH,21.966
3/14/11 4:12:01 PM,%RH,17.364
3/14/11 4:42:01 PM,%RH,17.364
3/14/11 5:12:01 PM,%RH,17.364
3/14/11 5:42:01 PM,%RH,18.025
3/14/11 6:12:01 PM,%RH,20.001
3/14/11 6:42:01 PM,%RH,20.001
3/14/11 7:12:01 PM,%RH,29.721
3/14/11 7:42:01 PM,%RH,45.323
3/14/11 8:12:01 PM,%RH,52.547
3/14/11 8:42:01 PM,%RH,56.095
3/14/11 9:12:01 PM,%RH,60.18
3/14/11 9:42:01 PM,%RH,58.436
