1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DC000000149BDE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Mar 12 14:10:01 CST 2011
Mission Sample Count:  2691
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Mar 12 14:10:01 CST 2011
Total Mission Samples:  2691
Total Device Samples:  15911
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/12/11 2:10:01 PM,%RH,11.929
3/12/11 2:40:01 PM,%RH,11.929
3/12/11 3:10:01 PM,%RH,11.249
3/12/11 3:40:01 PM,%RH,11.249
3/12/11 4:10:01 PM,%RH,11.249
3/12/11 4:40:01 PM,%RH,12.607
3/12/11 5:10:01 PM,%RH,13.959
3/12/11 5:40:01 PM,%RH,13.284
3/12/11 6:10:01 PM,%RH,12.607
3/12/11 6:40:01 PM,%RH,13.284
3/12/11 7:10:01 PM,%RH,15.978
3/12/11 7:40:01 PM,%RH,18.652
3/12/11 8:10:01 PM,%RH,19.981
3/12/11 8:40:01 PM,%RH,22.624
3/12/11 9:10:01 PM,%RH,25.897
3/12/11 9:40:01 PM,%RH,26.548
3/12/11 10:10:01 PM,%RH,27.846
3/12/11 10:40:01 PM,%RH,27.198
3/12/11 11:10:01 PM,%RH,25.245
3/12/11 11:40:01 PM,%RH,29.139
3/13/11 12:10:01 AM,%RH,30.426
3/13/11 12:40:01 AM,%RH,31.068
3/13/11 1:10:01 AM,%RH,29.783
3/13/11 1:40:01 AM,%RH,27.198
3/13/11 2:10:01 AM,%RH,29.139
3/13/11 2:40:01 AM,%RH,27.846
3/13/11 3:10:01 AM,%RH,27.198
3/13/11 3:40:01 AM,%RH,27.198
3/13/11 4:10:01 AM,%RH,26.548
3/13/11 4:40:01 AM,%RH,25.897
3/13/11 5:10:01 AM,%RH,25.897
3/13/11 5:40:01 AM,%RH,27.198
3/13/11 6:10:01 AM,%RH,26.548
3/13/11 6:40:01 AM,%RH,26.548
3/13/11 7:10:01 AM,%RH,23.281
3/13/11 7:40:01 AM,%RH,23.937
3/13/11 8:10:01 AM,%RH,22.624
3/13/11 8:40:01 AM,%RH,21.965
3/13/11 9:10:01 AM,%RH,20.644
3/13/11 9:40:01 AM,%RH,19.981
3/13/11 10:10:01 AM,%RH,18.652
3/13/11 10:40:01 AM,%RH,17.986
3/13/11 11:10:01 AM,%RH,13.959
3/13/11 11:40:01 AM,%RH,15.307
3/13/11 12:10:01 PM,%RH,13.284
3/13/11 12:40:01 PM,%RH,12.607
3/13/11 1:10:01 PM,%RH,12.607
3/13/11 1:40:01 PM,%RH,12.607
3/13/11 2:10:01 PM,%RH,8.518
3/13/11 2:40:01 PM,%RH,12.607
3/13/11 3:10:01 PM,%RH,13.959
3/13/11 3:40:01 PM,%RH,11.929
3/13/11 4:10:01 PM,%RH,13.959
3/13/11 4:40:01 PM,%RH,12.607
3/13/11 5:10:01 PM,%RH,13.284
3/13/11 5:40:01 PM,%RH,11.249
3/13/11 6:10:01 PM,%RH,12.607
3/13/11 6:40:01 PM,%RH,15.307
3/13/11 7:10:01 PM,%RH,17.318
3/13/11 7:40:01 PM,%RH,23.937
3/13/11 8:10:01 PM,%RH,26.548
3/13/11 8:40:01 PM,%RH,29.139
3/13/11 9:10:01 PM,%RH,31.708
3/13/11 9:40:01 PM,%RH,32.347
3/13/11 10:10:01 PM,%RH,33.622
3/13/11 10:40:01 PM,%RH,31.708
3/13/11 11:10:01 PM,%RH,34.891
3/13/11 11:40:01 PM,%RH,37.414
3/14/11 12:10:01 AM,%RH,36.785
3/14/11 12:40:01 AM,%RH,37.414
3/14/11 1:10:01 AM,%RH,38.667
3/14/11 1:40:01 AM,%RH,38.041
3/14/11 2:10:01 AM,%RH,37.414
3/14/11 2:40:01 AM,%RH,39.292
3/14/11 3:10:01 AM,%RH,41.778
3/14/11 3:40:01 AM,%RH,40.538
3/14/11 4:10:01 AM,%RH,43.629
3/14/11 4:40:01 AM,%RH,43.013
3/14/11 5:10:01 AM,%RH,46.688
3/14/11 5:40:01 AM,%RH,48.508
3/14/11 6:10:01 AM,%RH,49.112
3/14/11 6:40:01 AM,%RH,51.515
3/14/11 7:10:01 AM,%RH,53.897
3/14/11 7:40:01 AM,%RH,57.431
3/14/11 8:10:01 AM,%RH,61.495
3/14/11 8:40:01 AM,%RH,47.296
3/14/11 9:10:01 AM,%RH,50.316
3/14/11 9:40:01 AM,%RH,41.778
3/14/11 10:10:01 AM,%RH,34.891
3/14/11 10:40:01 AM,%RH,32.347
3/14/11 11:10:01 AM,%RH,21.965
3/14/11 11:40:01 AM,%RH,24.592
3/14/11 12:10:01 PM,%RH,24.592
3/14/11 12:40:01 PM,%RH,17.986
3/14/11 1:10:01 PM,%RH,16.649
3/14/11 1:40:01 PM,%RH,15.978
3/14/11 2:10:01 PM,%RH,14.634
3/14/11 2:40:01 PM,%RH,19.317
