1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9A00000014989241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sun Mar 13 15:52:01 CST 2011
Mission Sample Count:  2632
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Mar 13 15:52:01 CST 2011
Total Mission Samples:  2632
Total Device Samples:  15988
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/13/11 3:52:01 PM,%RH,10.164
3/13/11 4:22:01 PM,%RH,9.383
3/13/11 4:52:01 PM,%RH,10.944
3/13/11 5:22:01 PM,%RH,11.721
3/13/11 5:52:01 PM,%RH,10.164
3/13/11 6:22:01 PM,%RH,11.721
3/13/11 6:52:01 PM,%RH,14.817
3/13/11 7:22:01 PM,%RH,14.817
3/13/11 7:52:01 PM,%RH,18.651
3/13/11 8:22:01 PM,%RH,18.651
3/13/11 8:52:01 PM,%RH,19.414
3/13/11 9:22:01 PM,%RH,18.651
3/13/11 9:52:01 PM,%RH,18.651
3/13/11 10:22:01 PM,%RH,19.414
3/13/11 10:52:01 PM,%RH,18.651
3/13/11 11:22:01 PM,%RH,19.414
3/13/11 11:52:01 PM,%RH,19.414
3/14/11 12:22:01 AM,%RH,17.888
3/14/11 12:52:01 AM,%RH,17.888
3/14/11 1:22:01 AM,%RH,17.122
3/14/11 1:52:01 AM,%RH,17.888
3/14/11 2:22:01 AM,%RH,17.888
3/14/11 2:52:01 AM,%RH,17.122
3/14/11 3:22:01 AM,%RH,19.414
3/14/11 3:52:01 AM,%RH,20.933
3/14/11 4:22:01 AM,%RH,19.414
3/14/11 4:52:01 AM,%RH,18.651
3/14/11 5:22:01 AM,%RH,20.174
3/14/11 5:52:01 AM,%RH,21.691
3/14/11 6:22:01 AM,%RH,25.456
3/14/11 6:52:01 AM,%RH,24.706
3/14/11 7:22:01 AM,%RH,24.706
3/14/11 7:52:01 AM,%RH,25.456
3/14/11 8:22:01 AM,%RH,25.456
3/14/11 8:52:01 AM,%RH,27.696
3/14/11 9:22:01 AM,%RH,23.202
3/14/11 9:52:01 AM,%RH,23.202
3/14/11 10:22:01 AM,%RH,23.954
3/14/11 10:52:01 AM,%RH,22.447
3/14/11 11:22:01 AM,%RH,20.933
3/14/11 11:52:01 AM,%RH,25.456
3/14/11 12:22:01 PM,%RH,18.651
3/14/11 12:52:01 PM,%RH,15.587
3/14/11 1:22:01 PM,%RH,16.355
3/14/11 1:52:01 PM,%RH,15.587
3/14/11 2:22:01 PM,%RH,16.355
3/14/11 2:52:01 PM,%RH,15.587
3/14/11 3:22:01 PM,%RH,19.414
3/14/11 3:52:01 PM,%RH,17.122
3/14/11 4:22:01 PM,%RH,14.045
3/14/11 4:52:01 PM,%RH,12.498
3/14/11 5:22:01 PM,%RH,13.272
3/14/11 5:52:01 PM,%RH,16.355
3/14/11 6:22:01 PM,%RH,17.122
