1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: EA0000001494DD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Mon Mar 14 10:19:01 CST 2011
Mission Sample Count:  2604
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Mon Mar 14 10:19:01 CST 2011
Total Mission Samples:  2604
Total Device Samples:  11957
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/14/11 10:19:01 AM,%RH,30.232
3/14/11 10:49:01 AM,%RH,27.561
3/14/11 11:19:01 AM,%RH,26.219
3/14/11 11:49:01 AM,%RH,24.872
3/14/11 12:19:01 PM,%RH,21.483
3/14/11 12:49:01 PM,%RH,20.802
3/14/11 1:19:01 PM,%RH,18.752
3/14/11 1:49:01 PM,%RH,20.802
3/14/11 2:19:01 PM,%RH,22.163
3/14/11 2:49:01 PM,%RH,20.12
3/14/11 3:19:01 PM,%RH,20.12
3/14/11 3:49:01 PM,%RH,17.379
3/14/11 4:19:01 PM,%RH,14.618
3/14/11 4:49:01 PM,%RH,13.926
3/14/11 5:19:01 PM,%RH,14.618
3/14/11 5:49:01 PM,%RH,16.001
3/14/11 6:19:01 PM,%RH,18.752
3/14/11 6:49:01 PM,%RH,21.483
3/14/11 7:19:01 PM,%RH,28.899
3/14/11 7:49:01 PM,%RH,39.43
3/14/11 8:19:01 PM,%RH,39.43
3/14/11 8:49:01 PM,%RH,47.13
3/14/11 9:19:01 PM,%RH,50.288
3/14/11 9:49:01 PM,%RH,51.544
3/14/11 10:19:01 PM,%RH,55.899
3/14/11 10:49:01 PM,%RH,59.587
3/14/11 11:19:01 PM,%RH,63.232
3/14/11 11:49:01 PM,%RH,63.232
3/15/11 12:19:01 AM,%RH,64.437
3/15/11 12:49:01 AM,%RH,64.437
3/15/11 1:19:01 AM,%RH,68.026
3/15/11 1:49:01 AM,%RH,66.237
3/15/11 2:19:01 AM,%RH,66.237
3/15/11 2:49:01 AM,%RH,65.038
3/15/11 3:19:01 AM,%RH,66.237
3/15/11 3:49:01 AM,%RH,60.806
3/15/11 4:19:01 AM,%RH,59.587
3/15/11 4:49:01 AM,%RH,60.806
3/15/11 5:19:01 AM,%RH,67.43
3/15/11 5:49:01 AM,%RH,72.158
3/15/11 6:19:01 AM,%RH,72.744
3/15/11 6:49:01 AM,%RH,74.494
3/15/11 7:19:01 AM,%RH,72.158
3/15/11 7:49:01 AM,%RH,66.237
3/15/11 8:19:01 AM,%RH,37.478
3/15/11 8:49:01 AM,%RH,30.896
3/15/11 9:19:01 AM,%RH,26.219
3/15/11 9:49:01 AM,%RH,25.546
3/15/11 10:19:01 AM,%RH,22.163
3/15/11 10:49:01 AM,%RH,22.163
3/15/11 11:19:01 AM,%RH,22.842
3/15/11 11:49:01 AM,%RH,22.163
3/15/11 12:19:01 PM,%RH,20.12
3/15/11 12:49:01 PM,%RH,17.379
3/15/11 1:19:01 PM,%RH,16.69
3/15/11 1:49:01 PM,%RH,16.001
3/15/11 2:19:01 PM,%RH,14.618
3/15/11 2:49:01 PM,%RH,17.379
3/15/11 3:19:01 PM,%RH,13.231
3/15/11 3:49:01 PM,%RH,13.231
3/15/11 4:19:01 PM,%RH,12.536
3/15/11 4:49:01 PM,%RH,13.231
3/15/11 5:19:01 PM,%RH,12.536
3/15/11 5:49:01 PM,%RH,12.536
3/15/11 6:19:01 PM,%RH,13.926
3/15/11 6:49:01 PM,%RH,15.31
3/15/11 7:19:01 PM,%RH,18.752
3/15/11 7:49:01 PM,%RH,23.52
3/15/11 8:19:01 PM,%RH,26.89
3/15/11 8:49:01 PM,%RH,28.23
3/15/11 9:19:01 PM,%RH,29.566
3/15/11 9:49:01 PM,%RH,32.883
3/15/11 10:19:01 PM,%RH,34.202
3/15/11 10:49:01 PM,%RH,36.171
3/15/11 11:19:01 PM,%RH,40.725
