1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A50000001498DF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat May 07 17:32:01 CDT 2011
Mission Sample Count:  3506
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat May 07 17:32:01 CDT 2011
Total Mission Samples:  3506
Total Device Samples:  18325
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/7/11 5:32:01 PM,%RH,10.646
5/7/11 6:02:01 PM,%RH,12.108
5/7/11 6:32:01 PM,%RH,11.378
5/7/11 7:02:01 PM,%RH,9.913
5/7/11 7:32:01 PM,%RH,10.646
5/7/11 8:02:01 PM,%RH,9.913
5/7/11 8:32:01 PM,%RH,10.646
5/7/11 9:02:01 PM,%RH,10.646
5/7/11 9:32:01 PM,%RH,10.646
5/7/11 10:02:01 PM,%RH,12.108
5/7/11 10:32:01 PM,%RH,10.646
5/7/11 11:02:01 PM,%RH,12.108
5/7/11 11:32:01 PM,%RH,12.108
5/8/11 12:02:01 AM,%RH,12.108
5/8/11 12:32:01 AM,%RH,11.378
5/8/11 1:02:01 AM,%RH,12.837
5/8/11 1:32:01 AM,%RH,12.837
5/8/11 2:02:01 AM,%RH,12.837
5/8/11 2:32:01 AM,%RH,12.837
5/8/11 3:02:01 AM,%RH,12.837
5/8/11 3:32:01 AM,%RH,13.564
5/8/11 4:02:01 AM,%RH,15.738
5/8/11 4:32:01 AM,%RH,13.564
5/8/11 5:02:01 AM,%RH,14.29
5/8/11 5:32:01 AM,%RH,14.29
5/8/11 6:02:01 AM,%RH,13.564
5/8/11 6:32:01 AM,%RH,14.29
5/8/11 7:02:01 AM,%RH,14.29
5/8/11 7:32:01 AM,%RH,13.564
5/8/11 8:02:01 AM,%RH,12.837
5/8/11 8:32:01 AM,%RH,13.564
5/8/11 9:02:01 AM,%RH,13.564
5/8/11 9:32:01 AM,%RH,12.108
5/8/11 10:02:01 AM,%RH,12.108
5/8/11 10:32:01 AM,%RH,11.378
5/8/11 11:02:01 AM,%RH,11.378
5/8/11 11:32:01 AM,%RH,12.108
5/8/11 12:02:01 PM,%RH,11.378
5/8/11 12:32:01 PM,%RH,10.646
5/8/11 1:02:01 PM,%RH,12.108
5/8/11 1:32:01 PM,%RH,10.646
5/8/11 2:02:01 PM,%RH,10.646
5/8/11 2:32:01 PM,%RH,9.913
5/8/11 3:02:01 PM,%RH,10.646
5/8/11 3:32:01 PM,%RH,9.913
5/8/11 4:02:01 PM,%RH,9.913
5/8/11 4:32:01 PM,%RH,9.913
5/8/11 5:02:01 PM,%RH,9.913
5/8/11 5:32:01 PM,%RH,9.913
5/8/11 6:02:01 PM,%RH,9.913
5/8/11 6:32:01 PM,%RH,11.378
5/8/11 7:02:01 PM,%RH,9.913
5/8/11 7:32:01 PM,%RH,9.179
5/8/11 8:02:01 PM,%RH,9.913
5/8/11 8:32:01 PM,%RH,9.179
5/8/11 9:02:01 PM,%RH,9.913
5/8/11 9:32:01 PM,%RH,9.913
5/8/11 10:02:01 PM,%RH,10.646
5/8/11 10:32:01 PM,%RH,9.913
5/8/11 11:02:01 PM,%RH,9.913
5/8/11 11:32:01 PM,%RH,10.646
5/9/11 12:02:01 AM,%RH,10.646
5/9/11 12:32:01 AM,%RH,10.646
