1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D600000014951F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sun May 08 09:23:01 CDT 2011
Mission Sample Count:  3479
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun May 08 09:23:01 CDT 2011
Total Mission Samples:  3479
Total Device Samples:  18328
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/8/11 9:23:01 AM,%RH,5.684
5/8/11 9:53:01 AM,%RH,3.57
5/8/11 10:23:01 AM,%RH,3.57
5/8/11 10:53:01 AM,%RH,3.57
5/8/11 11:23:01 AM,%RH,3.57
5/8/11 11:53:01 AM,%RH,2.862
5/8/11 12:23:01 PM,%RH,2.862
5/8/11 12:53:01 PM,%RH,2.153
5/8/11 1:23:01 PM,%RH,2.862
5/8/11 1:53:01 PM,%RH,2.153
5/8/11 2:23:01 PM,%RH,2.862
5/8/11 2:53:01 PM,%RH,2.862
5/8/11 3:23:01 PM,%RH,2.862
5/8/11 3:53:01 PM,%RH,2.862
5/8/11 4:23:01 PM,%RH,2.862
5/8/11 4:53:01 PM,%RH,2.862
5/8/11 5:23:01 PM,%RH,2.862
5/8/11 5:53:01 PM,%RH,2.862
5/8/11 6:23:01 PM,%RH,3.57
5/8/11 6:53:01 PM,%RH,2.862
5/8/11 7:23:01 PM,%RH,3.57
5/8/11 7:53:01 PM,%RH,3.57
5/8/11 8:23:01 PM,%RH,6.386
5/8/11 8:53:01 PM,%RH,9.873
5/8/11 9:23:01 PM,%RH,11.258
5/8/11 9:53:01 PM,%RH,12.637
5/8/11 10:23:01 PM,%RH,14.01
5/8/11 10:53:01 PM,%RH,15.376
5/8/11 11:23:01 PM,%RH,16.737
5/8/11 11:53:01 PM,%RH,18.768
5/9/11 12:23:01 AM,%RH,20.114
5/9/11 12:53:01 AM,%RH,21.455
5/9/11 1:23:01 AM,%RH,22.123
5/9/11 1:53:01 AM,%RH,22.123
5/9/11 2:23:01 AM,%RH,23.454
5/9/11 2:53:01 AM,%RH,26.1
5/9/11 3:23:01 AM,%RH,26.1
5/9/11 3:53:01 AM,%RH,27.414
5/9/11 4:23:01 AM,%RH,28.068
5/9/11 4:53:01 AM,%RH,27.414
5/9/11 5:23:01 AM,%RH,28.068
5/9/11 5:53:01 AM,%RH,28.068
5/9/11 6:23:01 AM,%RH,28.722
5/9/11 6:53:01 AM,%RH,13.324
5/9/11 7:23:01 AM,%RH,11.948
5/9/11 7:53:01 AM,%RH,8.483
5/9/11 8:23:01 AM,%RH,7.786
5/9/11 8:53:01 AM,%RH,6.386
5/9/11 9:23:01 AM,%RH,5.684
5/9/11 9:53:01 AM,%RH,4.981
5/9/11 10:23:01 AM,%RH,4.276
5/9/11 10:53:01 AM,%RH,4.276
5/9/11 11:23:01 AM,%RH,4.276
5/9/11 11:53:01 AM,%RH,2.862
5/9/11 12:23:01 PM,%RH,2.862
5/9/11 12:53:01 PM,%RH,4.276
5/9/11 1:23:01 PM,%RH,3.57
5/9/11 1:53:01 PM,%RH,2.862
5/9/11 2:23:01 PM,%RH,2.153
5/9/11 2:53:01 PM,%RH,3.57
5/9/11 3:23:01 PM,%RH,2.862
5/9/11 3:53:01 PM,%RH,2.862
5/9/11 4:23:01 PM,%RH,2.153
5/9/11 4:53:01 PM,%RH,4.981
