1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 11000000149BC741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat May 07 12:51:01 CDT 2011
Mission Sample Count:  3655
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat May 07 12:51:01 CDT 2011
Total Mission Samples:  3655
Total Device Samples:  19665
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/7/11 12:51:01 PM,%RH,5.316
5/7/11 1:21:01 PM,%RH,6.708
5/7/11 1:51:01 PM,%RH,5.316
5/7/11 2:21:01 PM,%RH,4.618
5/7/11 2:51:01 PM,%RH,3.217
5/7/11 3:21:01 PM,%RH,5.316
5/7/11 3:51:01 PM,%RH,2.515
5/7/11 4:21:01 PM,%RH,3.217
5/7/11 4:51:01 PM,%RH,3.217
5/7/11 5:21:01 PM,%RH,3.919
5/7/11 5:51:01 PM,%RH,3.919
5/7/11 6:21:01 PM,%RH,3.919
5/7/11 6:51:01 PM,%RH,3.217
5/7/11 7:21:01 PM,%RH,3.217
5/7/11 7:51:01 PM,%RH,3.217
5/7/11 8:21:01 PM,%RH,4.618
5/7/11 8:51:01 PM,%RH,6.708
5/7/11 9:21:01 PM,%RH,9.475
5/7/11 9:51:01 PM,%RH,10.85
5/7/11 10:21:01 PM,%RH,11.536
5/7/11 10:51:01 PM,%RH,12.902
5/7/11 11:21:01 PM,%RH,13.583
5/7/11 11:51:01 PM,%RH,14.263
5/8/11 12:21:01 AM,%RH,16.293
5/8/11 12:51:01 AM,%RH,15.618
5/8/11 1:21:01 AM,%RH,17.64
5/8/11 1:51:01 AM,%RH,16.293
5/8/11 2:21:01 AM,%RH,16.293
5/8/11 2:51:01 AM,%RH,16.293
5/8/11 3:21:01 AM,%RH,16.967
5/8/11 3:51:01 AM,%RH,11.536
5/8/11 4:21:01 AM,%RH,13.583
5/8/11 4:51:01 AM,%RH,14.263
5/8/11 5:21:01 AM,%RH,15.618
5/8/11 5:51:01 AM,%RH,15.618
