1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7100000014926D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat May 07 10:31:01 CDT 2011
Mission Sample Count:  3619
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat May 07 10:31:01 CDT 2011
Total Mission Samples:  3619
Total Device Samples:  19500
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/7/11 10:31:01 AM,%RH,6.244
5/7/11 11:01:01 AM,%RH,7.64
5/7/11 11:31:01 AM,%RH,6.943
5/7/11 12:01:01 PM,%RH,4.14
5/7/11 12:31:01 PM,%RH,4.843
5/7/11 1:01:01 PM,%RH,4.14
5/7/11 1:31:01 PM,%RH,4.843
5/7/11 2:01:01 PM,%RH,4.843
5/7/11 2:31:01 PM,%RH,4.14
5/7/11 3:01:01 PM,%RH,4.14
5/7/11 3:31:01 PM,%RH,4.14
5/7/11 4:01:01 PM,%RH,3.435
5/7/11 4:31:01 PM,%RH,3.435
5/7/11 5:01:01 PM,%RH,2.73
5/7/11 5:31:01 PM,%RH,3.435
5/7/11 6:01:01 PM,%RH,4.14
5/7/11 6:31:01 PM,%RH,4.14
5/7/11 7:01:01 PM,%RH,4.843
5/7/11 7:31:01 PM,%RH,4.843
5/7/11 8:01:01 PM,%RH,4.843
5/7/11 8:31:01 PM,%RH,4.843
5/7/11 9:01:01 PM,%RH,5.544
5/7/11 9:31:01 PM,%RH,6.244
5/7/11 10:01:01 PM,%RH,6.244
5/7/11 10:31:01 PM,%RH,6.244
5/7/11 11:01:01 PM,%RH,6.943
5/7/11 11:31:01 PM,%RH,9.031
5/8/11 12:01:01 AM,%RH,9.724
5/8/11 12:31:01 AM,%RH,9.031
5/8/11 1:01:01 AM,%RH,9.031
5/8/11 1:31:01 AM,%RH,10.416
5/8/11 2:01:01 AM,%RH,10.416
5/8/11 2:31:01 AM,%RH,9.724
5/8/11 3:01:01 AM,%RH,10.416
5/8/11 3:31:01 AM,%RH,9.031
