1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8B00000014988F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue Aug 16 17:46:01 CDT 2011
Mission Sample Count:  2643
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Aug 16 17:46:01 CDT 2011
Total Mission Samples:  2643
Total Device Samples:  21633
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/16/11 5:46:01 PM,%RH,34.164
8/16/11 6:16:01 PM,%RH,37.927
8/16/11 6:46:01 PM,%RH,33.533
8/16/11 7:16:01 PM,%RH,36.678
8/16/11 7:46:01 PM,%RH,68.174
8/16/11 8:16:01 PM,%RH,67.046
8/16/11 8:46:01 PM,%RH,53.735
8/16/11 9:16:01 PM,%RH,50.757
8/16/11 9:46:01 PM,%RH,49.558
8/16/11 10:16:01 PM,%RH,47.145
8/16/11 10:46:01 PM,%RH,48.957
8/16/11 11:16:01 PM,%RH,54.327
8/16/11 11:46:01 PM,%RH,57.268
8/17/11 12:16:01 AM,%RH,57.268
8/17/11 12:46:01 AM,%RH,57.853
8/17/11 1:16:01 AM,%RH,57.268
8/17/11 1:46:01 AM,%RH,54.327
8/17/11 2:16:01 AM,%RH,51.355
8/17/11 2:46:01 AM,%RH,48.957
8/17/11 3:16:01 AM,%RH,48.354
8/17/11 3:46:01 AM,%RH,44.102
8/17/11 4:16:01 AM,%RH,44.713
8/17/11 4:46:01 AM,%RH,45.323
8/17/11 5:16:01 AM,%RH,44.713
8/17/11 5:46:01 AM,%RH,50.757
8/17/11 6:16:01 AM,%RH,53.735
8/17/11 6:46:01 AM,%RH,57.268
8/17/11 7:16:01 AM,%RH,57.268
8/17/11 7:46:01 AM,%RH,61.912
8/17/11 8:16:01 AM,%RH,60.18
8/17/11 8:46:01 AM,%RH,59.6
8/17/11 9:16:01 AM,%RH,55.507
8/17/11 9:46:01 AM,%RH,55.507
8/17/11 10:16:01 AM,%RH,56.682
8/17/11 10:46:01 AM,%RH,44.713
8/17/11 11:16:01 AM,%RH,47.145
8/17/11 11:46:01 AM,%RH,40.411
8/17/11 12:16:01 PM,%RH,37.303
8/17/11 12:46:01 PM,%RH,34.164
8/17/11 1:16:01 PM,%RH,31.632
8/17/11 1:46:01 PM,%RH,37.927
8/17/11 2:16:01 PM,%RH,36.678
8/17/11 2:46:01 PM,%RH,36.051
8/17/11 3:16:01 PM,%RH,32.901
8/17/11 3:46:01 PM,%RH,31.632
8/17/11 4:16:01 PM,%RH,32.901
8/17/11 4:46:01 PM,%RH,36.051
8/17/11 5:16:01 PM,%RH,36.051
8/17/11 5:46:01 PM,%RH,30.359
8/17/11 6:16:01 PM,%RH,32.267
8/17/11 6:46:01 PM,%RH,30.996
8/17/11 7:16:01 PM,%RH,35.423
8/17/11 7:46:01 PM,%RH,34.795
8/17/11 8:16:01 PM,%RH,42.262
8/17/11 8:46:01 PM,%RH,50.158
8/17/11 9:16:01 PM,%RH,51.952
8/17/11 9:46:01 PM,%RH,49.558
8/17/11 10:16:01 PM,%RH,53.735
8/17/11 10:46:01 PM,%RH,57.268
8/17/11 11:16:01 PM,%RH,59.6
8/17/11 11:46:01 PM,%RH,61.912
8/18/11 12:16:01 AM,%RH,63.634
8/18/11 12:46:01 AM,%RH,66.48
8/18/11 1:16:01 AM,%RH,68.736
8/18/11 1:46:01 AM,%RH,70.415
8/18/11 2:16:01 AM,%RH,66.48
8/18/11 2:46:01 AM,%RH,57.853
8/18/11 3:16:01 AM,%RH,54.327
8/18/11 3:46:01 AM,%RH,51.952
8/18/11 4:16:01 AM,%RH,51.355
8/18/11 4:46:01 AM,%RH,48.354
8/18/11 5:16:01 AM,%RH,50.757
8/18/11 5:46:01 AM,%RH,54.917
8/18/11 6:16:01 AM,%RH,54.917
8/18/11 6:46:01 AM,%RH,54.917
8/18/11 7:16:01 AM,%RH,57.268
8/18/11 7:46:01 AM,%RH,59.019
8/18/11 8:16:01 AM,%RH,59.6
8/18/11 8:46:01 AM,%RH,59.6
8/18/11 9:16:01 AM,%RH,57.268
8/18/11 9:46:01 AM,%RH,53.142
8/18/11 10:16:01 AM,%RH,45.323
8/18/11 10:46:01 AM,%RH,36.678
8/18/11 11:16:01 AM,%RH,37.927
8/18/11 11:46:01 AM,%RH,37.927
8/18/11 12:16:01 PM,%RH,39.792
8/18/11 12:46:01 PM,%RH,39.172
8/18/11 1:16:01 PM,%RH,37.927
8/18/11 1:46:01 PM,%RH,34.795
8/18/11 2:16:01 PM,%RH,32.267
8/18/11 2:46:01 PM,%RH,30.996
8/18/11 3:16:01 PM,%RH,32.901
8/18/11 3:46:01 PM,%RH,33.533
8/18/11 4:16:01 PM,%RH,33.533
8/18/11 4:46:01 PM,%RH,39.172
8/18/11 5:16:01 PM,%RH,28.44
8/18/11 5:46:01 PM,%RH,36.678
8/18/11 6:16:01 PM,%RH,29.081
8/18/11 6:46:01 PM,%RH,30.996
