1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DC000000149BDE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Oct 08 18:25:01 CDT 2011
Mission Sample Count:  3357
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Oct 08 18:25:01 CDT 2011
Total Mission Samples:  3357
Total Device Samples:  26671
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/8/11 6:25:01 PM,%RH,19.317
10/8/11 6:55:01 PM,%RH,27.198
10/8/11 7:25:01 PM,%RH,41.778
10/8/11 7:55:01 PM,%RH,51.515
10/8/11 8:25:01 PM,%RH,55.08
10/8/11 8:55:01 PM,%RH,57.431
10/8/11 9:25:01 PM,%RH,63.217
10/8/11 9:55:01 PM,%RH,67.189
10/8/11 10:25:01 PM,%RH,74.398
10/8/11 10:55:01 PM,%RH,76.03
10/8/11 11:25:01 PM,%RH,86.612
10/8/11 11:55:01 PM,%RH,89.685
10/9/11 12:25:01 AM,%RH,88.666
10/9/11 12:55:01 AM,%RH,90.699
10/9/11 1:25:01 AM,%RH,95.197
10/9/11 1:55:01 AM,%RH,98.137
10/9/11 2:25:01 AM,%RH,99.107
10/9/11 2:55:01 AM,%RH,101.031
10/9/11 3:25:01 AM,%RH,101.985
10/9/11 3:55:01 AM,%RH,101.985
10/9/11 4:25:01 AM,%RH,102.46
10/9/11 4:55:01 AM,%RH,103.406
10/9/11 5:25:01 AM,%RH,102.46
10/9/11 5:55:01 AM,%RH,102.934
10/9/11 6:25:01 AM,%RH,104.347
10/9/11 6:55:01 AM,%RH,104.347
10/9/11 7:25:01 AM,%RH,104.816
10/9/11 7:55:01 AM,%RH,104.816
10/9/11 8:25:01 AM,%RH,104.347
10/9/11 8:55:01 AM,%RH,105.283
10/9/11 9:25:01 AM,%RH,103.406
