1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 230000001492B441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Fri Dec 16 18:20:01 CST 2011
Mission Sample Count:  3361
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Dec 16 18:20:01 CST 2011
Total Mission Samples:  3361
Total Device Samples:  29005
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/16/11 6:20:01 PM,%RH,90.443
12/16/11 6:50:01 PM,%RH,95.023
12/16/11 7:20:01 PM,%RH,95.526
12/16/11 7:50:01 PM,%RH,97.527
12/16/11 8:20:01 PM,%RH,97.527
12/16/11 8:50:01 PM,%RH,98.52
12/16/11 9:20:01 PM,%RH,98.024
12/16/11 9:50:01 PM,%RH,98.52
12/16/11 10:20:01 PM,%RH,98.52
12/16/11 10:50:01 PM,%RH,98.52
12/16/11 11:20:01 PM,%RH,98.024
12/16/11 11:50:01 PM,%RH,97.028
12/17/11 12:20:01 AM,%RH,98.024
12/17/11 12:50:01 AM,%RH,96.028
12/17/11 1:20:01 AM,%RH,99.015
12/17/11 1:50:01 AM,%RH,99.015
12/17/11 2:20:01 AM,%RH,100.002
12/17/11 2:50:01 AM,%RH,101.962
12/17/11 3:20:01 AM,%RH,100.984
12/17/11 3:50:01 AM,%RH,100.002
12/17/11 4:20:01 AM,%RH,101.962
12/17/11 4:50:01 AM,%RH,102.935
12/17/11 5:20:01 AM,%RH,102.935
12/17/11 5:50:01 AM,%RH,103.419
12/17/11 6:20:01 AM,%RH,104.385
12/17/11 6:50:01 AM,%RH,104.385
12/17/11 7:20:01 AM,%RH,104.385
12/17/11 7:50:01 AM,%RH,104.385
12/17/11 8:20:01 AM,%RH,104.385
12/17/11 8:50:01 AM,%RH,102.449
12/17/11 9:20:01 AM,%RH,100.984
12/17/11 9:50:01 AM,%RH,97.527
12/17/11 10:20:01 AM,%RH,89.413
12/17/11 10:50:01 AM,%RH,88.378
12/17/11 11:20:01 AM,%RH,91.469
12/17/11 11:50:01 AM,%RH,95.526
12/17/11 12:20:01 PM,%RH,91.469
12/17/11 12:50:01 PM,%RH,90.957
12/17/11 1:20:01 PM,%RH,92.49
12/17/11 1:50:01 PM,%RH,93.506
12/17/11 2:20:01 PM,%RH,88.896
12/17/11 2:50:01 PM,%RH,88.378
12/17/11 3:20:01 PM,%RH,89.929
