1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5800000014939441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 25 09:50:01 CST 2012
Mission Sample Count:  2139
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Feb 25 09:50:01 CST 2012
Total Mission Samples:  2139
Total Device Samples:  27297
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/25/12 9:50:01 AM,%RH,29.657
2/25/12 10:50:01 AM,%RH,26.217
2/25/12 11:50:01 AM,%RH,25.525
2/25/12 12:50:01 PM,%RH,28.972
2/25/12 1:50:01 PM,%RH,26.217
2/25/12 2:50:01 PM,%RH,24.832
2/25/12 3:50:01 PM,%RH,24.832
2/25/12 4:50:01 PM,%RH,28.285
2/25/12 5:50:01 PM,%RH,34.419
2/25/12 6:50:01 PM,%RH,39.117
2/25/12 7:50:01 PM,%RH,45.063
2/25/12 8:50:01 PM,%RH,45.717
2/25/12 9:50:01 PM,%RH,47.672
2/25/12 10:50:01 PM,%RH,49.615
2/25/12 11:50:01 PM,%RH,48.969
2/26/12 12:50:01 AM,%RH,50.26
2/26/12 1:50:01 AM,%RH,52.827
2/26/12 2:50:01 AM,%RH,49.615
2/26/12 3:50:01 AM,%RH,48.969
2/26/12 4:50:01 AM,%RH,52.827
2/26/12 5:50:01 AM,%RH,51.546
2/26/12 6:50:01 AM,%RH,48.969
2/26/12 7:50:01 AM,%RH,35.094
2/26/12 8:50:01 AM,%RH,22.045
2/26/12 9:50:01 AM,%RH,25.525
2/26/12 10:50:01 AM,%RH,22.744
2/26/12 11:50:01 AM,%RH,22.045
2/26/12 12:50:01 PM,%RH,21.346
2/26/12 1:50:01 PM,%RH,19.942
2/26/12 2:50:01 PM,%RH,19.942
2/26/12 3:50:01 PM,%RH,18.533
2/26/12 4:50:01 PM,%RH,19.942
2/26/12 5:50:01 PM,%RH,23.441
2/26/12 6:50:01 PM,%RH,26.217
2/26/12 7:50:01 PM,%RH,31.706
2/26/12 8:50:01 PM,%RH,33.743
2/26/12 9:50:01 PM,%RH,33.743
2/26/12 10:50:01 PM,%RH,34.419
2/26/12 11:50:01 PM,%RH,33.065
2/27/12 12:50:01 AM,%RH,31.706
2/27/12 1:50:01 AM,%RH,37.781
2/27/12 2:50:01 AM,%RH,45.063
2/27/12 3:50:01 AM,%RH,39.117
2/27/12 4:50:01 AM,%RH,40.447
2/27/12 5:50:01 AM,%RH,35.768
2/27/12 6:50:01 AM,%RH,31.706
2/27/12 7:50:01 AM,%RH,28.285
2/27/12 8:50:01 AM,%RH,18.533
2/27/12 9:50:01 AM,%RH,19.238
2/27/12 10:50:01 AM,%RH,22.045
2/27/12 11:50:01 AM,%RH,22.045
2/27/12 12:50:01 PM,%RH,24.832
2/27/12 1:50:01 PM,%RH,28.285
2/27/12 2:50:01 PM,%RH,26.908
2/27/12 3:50:01 PM,%RH,29.657
2/27/12 4:50:01 PM,%RH,27.597
2/27/12 5:50:01 PM,%RH,37.111
2/27/12 6:50:01 PM,%RH,51.546
2/27/12 7:50:01 PM,%RH,60.403
2/27/12 8:50:01 PM,%RH,58.527
2/27/12 9:50:01 PM,%RH,52.827
2/27/12 10:50:01 PM,%RH,56.639
2/27/12 11:50:01 PM,%RH,65.963
2/28/12 12:50:01 AM,%RH,73.806
2/28/12 1:50:01 AM,%RH,72.614
2/28/12 2:50:01 AM,%RH,61.026
