1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 230000001492B441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Feb 24 18:29:01 CST 2012
Mission Sample Count:  2134
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Feb 24 18:29:01 CST 2012
Total Mission Samples:  2134
Total Device Samples:  31141
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/24/12 6:29:01 PM,%RH,25.683
2/24/12 7:29:01 PM,%RH,40.771
2/24/12 8:29:01 PM,%RH,51.059
2/24/12 9:29:01 PM,%RH,58.702
2/24/12 10:29:01 PM,%RH,63.881
2/24/12 11:29:01 PM,%RH,66.717
2/25/12 12:29:01 AM,%RH,70.64
2/25/12 1:29:01 AM,%RH,73.408
2/25/12 2:29:01 AM,%RH,76.692
2/25/12 3:29:01 AM,%RH,77.777
2/25/12 4:29:01 AM,%RH,83.135
2/25/12 5:29:01 AM,%RH,84.72
2/25/12 6:29:01 AM,%RH,87.338
2/25/12 7:29:01 AM,%RH,87.338
2/25/12 8:29:01 AM,%RH,69.525
2/25/12 9:29:01 AM,%RH,38.302
2/25/12 10:29:01 AM,%RH,30.786
2/25/12 11:29:01 AM,%RH,22.456
2/25/12 12:29:01 PM,%RH,23.104
2/25/12 1:29:01 PM,%RH,22.456
2/25/12 2:29:01 PM,%RH,22.456
2/25/12 3:29:01 PM,%RH,21.158
2/25/12 4:29:01 PM,%RH,21.158
2/25/12 5:29:01 PM,%RH,23.751
2/25/12 6:29:01 PM,%RH,29.517
2/25/12 7:29:01 PM,%RH,37.061
2/25/12 8:29:01 PM,%RH,41.999
2/25/12 9:29:01 PM,%RH,49.866
2/25/12 10:29:01 PM,%RH,48.068
2/25/12 11:29:01 PM,%RH,58.702
2/26/12 12:29:01 AM,%RH,43.222
2/26/12 1:29:01 AM,%RH,46.259
2/26/12 2:29:01 AM,%RH,50.463
2/26/12 3:29:01 AM,%RH,49.866
2/26/12 4:29:01 AM,%RH,48.068
2/26/12 5:29:01 AM,%RH,48.668
2/26/12 6:29:01 AM,%RH,52.84
2/26/12 7:29:01 AM,%RH,52.248
2/26/12 8:29:01 AM,%RH,48.068
2/26/12 9:29:01 AM,%RH,27.605
2/26/12 10:29:01 AM,%RH,22.456
2/26/12 11:29:01 AM,%RH,17.891
2/26/12 12:29:01 PM,%RH,18.547
2/26/12 1:29:01 PM,%RH,16.577
2/26/12 2:29:01 PM,%RH,15.917
2/26/12 3:29:01 PM,%RH,14.596
2/26/12 4:29:01 PM,%RH,15.257
2/26/12 5:29:01 PM,%RH,18.547
2/26/12 6:29:01 PM,%RH,20.507
2/26/12 7:29:01 PM,%RH,27.605
2/26/12 8:29:01 PM,%RH,35.815
2/26/12 9:29:01 PM,%RH,41.386
2/26/12 10:29:01 PM,%RH,47.466
2/26/12 11:29:01 PM,%RH,56.956
2/27/12 12:29:01 AM,%RH,62.738
2/27/12 1:29:01 AM,%RH,65.019
2/27/12 2:29:01 AM,%RH,65.019
2/27/12 3:29:01 AM,%RH,67.844
2/27/12 4:29:01 AM,%RH,70.083
2/27/12 5:29:01 AM,%RH,68.966
2/27/12 6:29:01 AM,%RH,68.405
2/27/12 7:29:01 AM,%RH,72.304
2/27/12 8:29:01 AM,%RH,56.956
2/27/12 9:29:01 AM,%RH,40.771
2/27/12 10:29:01 AM,%RH,32.05
2/27/12 11:29:01 AM,%RH,23.104
2/27/12 12:29:01 PM,%RH,21.158
2/27/12 1:29:01 PM,%RH,22.456
2/27/12 2:29:01 PM,%RH,25.683
2/27/12 3:29:01 PM,%RH,25.04
2/27/12 4:29:01 PM,%RH,25.04
2/27/12 5:29:01 PM,%RH,25.683
2/27/12 6:29:01 PM,%RH,38.921
