1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7900000014956E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 25 13:28:01 GMT-06:00 2012
Mission Sample Count:  2139
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Feb 25 13:28:01 GMT-06:00 2012
Total Mission Samples:  2139
Total Device Samples:  27016
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/25/12 1:28:01 PM,%RH,33.524
2/25/12 2:28:01 PM,%RH,27.797
2/25/12 3:28:01 PM,%RH,25.213
2/25/12 4:28:01 PM,%RH,28.439
2/25/12 5:28:01 PM,%RH,32.262
2/25/12 6:28:01 PM,%RH,36.031
2/25/12 7:28:01 PM,%RH,42.801
2/25/12 8:28:01 PM,%RH,45.219
2/25/12 9:28:01 PM,%RH,47.612
2/25/12 10:28:01 PM,%RH,47.612
2/25/12 11:28:01 PM,%RH,49.982
2/26/12 12:28:01 AM,%RH,51.158
2/26/12 1:28:01 AM,%RH,52.911
2/26/12 2:28:01 AM,%RH,49.392
2/26/12 3:28:01 AM,%RH,49.982
2/26/12 4:28:01 AM,%RH,48.8
2/26/12 5:28:01 AM,%RH,51.158
2/26/12 6:28:01 AM,%RH,49.982
2/26/12 7:28:01 AM,%RH,47.612
2/26/12 8:28:01 AM,%RH,31.628
2/26/12 9:28:01 AM,%RH,23.259
2/26/12 10:28:01 AM,%RH,23.912
2/26/12 11:28:01 AM,%RH,19.311
2/26/12 12:28:01 PM,%RH,19.973
2/26/12 1:28:01 PM,%RH,19.311
2/26/12 2:28:01 PM,%RH,18.648
2/26/12 3:28:01 PM,%RH,16.65
2/26/12 4:28:01 PM,%RH,17.984
2/26/12 5:28:01 PM,%RH,23.259
2/26/12 6:28:01 PM,%RH,25.861
2/26/12 7:28:01 PM,%RH,29.08
2/26/12 8:28:01 PM,%RH,34.153
2/26/12 9:28:01 PM,%RH,33.524
2/26/12 10:28:01 PM,%RH,33.524
2/26/12 11:28:01 PM,%RH,35.406
2/27/12 12:28:01 AM,%RH,34.153
2/27/12 1:28:01 AM,%RH,36.031
2/27/12 2:28:01 AM,%RH,45.819
2/27/12 3:28:01 AM,%RH,39.746
2/27/12 4:28:01 AM,%RH,42.193
2/27/12 5:28:01 AM,%RH,40.973
2/27/12 6:28:01 AM,%RH,34.153
2/27/12 7:28:01 AM,%RH,36.654
2/27/12 8:28:01 AM,%RH,22.605
2/27/12 9:28:01 AM,%RH,22.605
2/27/12 10:28:01 AM,%RH,18.648
2/27/12 11:28:01 AM,%RH,19.973
2/27/12 12:28:01 PM,%RH,15.31
2/27/12 1:28:01 PM,%RH,20.633
2/27/12 2:28:01 PM,%RH,19.311
