1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: EA0000001494DD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri May 25 10:40:01 CDT 2012
Mission Sample Count:  3218
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri May 25 10:40:01 CDT 2012
Total Mission Samples:  3218
Total Device Samples:  31457
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/25/12 10:40:01 AM,%RH,13.231
5/25/12 11:40:01 AM,%RH,13.926
5/25/12 12:40:01 PM,%RH,14.618
5/25/12 1:40:01 PM,%RH,12.536
5/25/12 2:40:01 PM,%RH,13.231
5/25/12 3:40:01 PM,%RH,11.84
5/25/12 4:40:01 PM,%RH,11.84
5/25/12 5:40:01 PM,%RH,11.84
5/25/12 6:40:01 PM,%RH,11.84
5/25/12 7:40:01 PM,%RH,17.379
5/25/12 8:40:01 PM,%RH,28.899
5/25/12 9:40:01 PM,%RH,36.825
5/25/12 10:40:01 PM,%RH,44.582
5/25/12 11:40:01 PM,%RH,49.029
5/26/12 12:40:01 AM,%RH,52.794
5/26/12 1:40:01 AM,%RH,55.899
5/26/12 2:40:01 AM,%RH,58.362
5/26/12 3:40:01 AM,%RH,57.133
5/26/12 4:40:01 AM,%RH,56.517
5/26/12 5:40:01 AM,%RH,57.133
5/26/12 6:40:01 AM,%RH,58.362
5/26/12 7:40:01 AM,%RH,57.748
5/26/12 8:40:01 AM,%RH,52.794
5/26/12 9:40:01 AM,%RH,40.078
5/26/12 10:40:01 AM,%RH,35.516
5/26/12 11:40:01 AM,%RH,35.516
5/26/12 12:40:01 PM,%RH,30.232
5/26/12 1:40:01 PM,%RH,27.561
5/26/12 2:40:01 PM,%RH,29.566
5/26/12 3:40:01 PM,%RH,24.872
5/26/12 4:40:01 PM,%RH,27.561
5/26/12 5:40:01 PM,%RH,23.52
5/26/12 6:40:01 PM,%RH,33.543
5/26/12 7:40:01 PM,%RH,43.301
5/26/12 8:40:01 PM,%RH,56.517
5/26/12 9:40:01 PM,%RH,92.5
5/26/12 10:40:01 PM,%RH,93.585
5/26/12 11:40:01 PM,%RH,83.648
5/27/12 12:40:01 AM,%RH,90.863
5/27/12 1:40:01 AM,%RH,69.804
5/27/12 2:40:01 AM,%RH,70.394
5/27/12 3:40:01 AM,%RH,80.82
5/27/12 4:40:01 AM,%RH,87.003
5/27/12 5:40:01 AM,%RH,83.085
5/27/12 6:40:01 AM,%RH,91.41
5/27/12 7:40:01 AM,%RH,94.126
5/27/12 8:40:01 AM,%RH,70.394
5/27/12 9:40:01 AM,%RH,32.883
5/27/12 10:40:01 AM,%RH,28.23
5/27/12 11:40:01 AM,%RH,27.561
5/27/12 12:40:01 PM,%RH,32.883
5/27/12 1:40:01 PM,%RH,26.89
5/27/12 2:40:01 PM,%RH,22.163
5/27/12 3:40:01 PM,%RH,20.802
5/27/12 4:40:01 PM,%RH,22.842
5/27/12 5:40:01 PM,%RH,19.436
5/27/12 6:40:01 PM,%RH,14.618
5/27/12 7:40:01 PM,%RH,13.231
5/27/12 8:40:01 PM,%RH,28.23
5/27/12 9:40:01 PM,%RH,43.942
5/27/12 10:40:01 PM,%RH,49.659
5/27/12 11:40:01 PM,%RH,54.04
5/28/12 12:40:01 AM,%RH,51.544
5/28/12 1:40:01 AM,%RH,68.619
5/28/12 2:40:01 AM,%RH,66.834
5/28/12 3:40:01 AM,%RH,68.026
5/28/12 4:40:01 AM,%RH,65.638
5/28/12 5:40:01 AM,%RH,76.811
5/28/12 6:40:01 AM,%RH,79.109
5/28/12 7:40:01 AM,%RH,72.158
5/28/12 8:40:01 AM,%RH,45.221
5/28/12 9:40:01 AM,%RH,11.84
5/28/12 10:40:01 AM,%RH,10.443
5/28/12 11:40:01 AM,%RH,10.443
5/28/12 12:40:01 PM,%RH,11.84
5/28/12 1:40:01 PM,%RH,13.231
5/28/12 2:40:01 PM,%RH,12.536
5/28/12 3:40:01 PM,%RH,13.231
5/28/12 4:40:01 PM,%RH,14.618
5/28/12 5:40:01 PM,%RH,11.142
5/28/12 6:40:01 PM,%RH,11.84
5/28/12 7:40:01 PM,%RH,12.536
5/28/12 8:40:01 PM,%RH,15.31
5/28/12 9:40:01 PM,%RH,26.89
5/28/12 10:40:01 PM,%RH,36.825
5/28/12 11:40:01 PM,%RH,41.371
5/29/12 12:40:01 AM,%RH,43.942
5/29/12 1:40:01 AM,%RH,49.029
5/29/12 2:40:01 AM,%RH,51.544
5/29/12 3:40:01 AM,%RH,49.659
5/29/12 4:40:01 AM,%RH,55.28
5/29/12 5:40:01 AM,%RH,64.437
5/29/12 6:40:01 AM,%RH,70.394
5/29/12 7:40:01 AM,%RH,69.212
5/29/12 8:40:01 AM,%RH,42.659
5/29/12 9:40:01 AM,%RH,9.042
5/29/12 10:40:01 AM,%RH,6.225
5/29/12 11:40:01 AM,%RH,7.636
5/29/12 12:40:01 PM,%RH,11.142
5/29/12 1:40:01 PM,%RH,9.042
5/29/12 2:40:01 PM,%RH,10.443
5/29/12 3:40:01 PM,%RH,10.443
5/29/12 4:40:01 PM,%RH,7.636
5/29/12 5:40:01 PM,%RH,5.518
5/29/12 6:40:01 PM,%RH,5.518
5/29/12 7:40:01 PM,%RH,8.339
5/29/12 8:40:01 PM,%RH,15.31
5/29/12 9:40:01 PM,%RH,27.561
5/29/12 10:40:01 PM,%RH,30.232
5/29/12 11:40:01 PM,%RH,31.56
5/30/12 12:40:01 AM,%RH,38.78
5/30/12 1:40:01 AM,%RH,40.078
5/30/12 2:40:01 AM,%RH,42.659
5/30/12 3:40:01 AM,%RH,42.659
5/30/12 4:40:01 AM,%RH,44.582
5/30/12 5:40:01 AM,%RH,40.725
5/30/12 6:40:01 AM,%RH,39.43
5/30/12 7:40:01 AM,%RH,29.566
5/30/12 8:40:01 AM,%RH,9.743
5/30/12 9:40:01 AM,%RH,6.225
5/30/12 10:40:01 AM,%RH,5.518
5/30/12 11:40:01 AM,%RH,7.636
5/30/12 12:40:01 PM,%RH,6.225
5/30/12 1:40:01 PM,%RH,6.225
5/30/12 2:40:01 PM,%RH,5.518
5/30/12 3:40:01 PM,%RH,6.225
5/30/12 4:40:01 PM,%RH,6.225
5/30/12 5:40:01 PM,%RH,5.518
5/30/12 6:40:01 PM,%RH,6.225
5/30/12 7:40:01 PM,%RH,6.225
5/30/12 8:40:01 PM,%RH,7.636
5/30/12 9:40:01 PM,%RH,13.926
5/30/12 10:40:01 PM,%RH,22.842
5/30/12 11:40:01 PM,%RH,26.219
5/31/12 12:40:01 AM,%RH,24.196
5/31/12 1:40:01 AM,%RH,27.561
5/31/12 2:40:01 AM,%RH,32.222
5/31/12 3:40:01 AM,%RH,28.899
5/31/12 4:40:01 AM,%RH,30.896
5/31/12 5:40:01 AM,%RH,32.222
5/31/12 6:40:01 AM,%RH,34.86
5/31/12 7:40:01 AM,%RH,39.43
5/31/12 8:40:01 AM,%RH,32.883
5/31/12 9:40:01 AM,%RH,7.636
5/31/12 10:40:01 AM,%RH,6.931
5/31/12 11:40:01 AM,%RH,9.042
5/31/12 12:40:01 PM,%RH,13.926
5/31/12 1:40:01 PM,%RH,24.196
5/31/12 2:40:01 PM,%RH,36.825
5/31/12 3:40:01 PM,%RH,30.232
5/31/12 4:40:01 PM,%RH,31.56
5/31/12 5:40:01 PM,%RH,32.222
5/31/12 6:40:01 PM,%RH,43.301
5/31/12 7:40:01 PM,%RH,51.544
5/31/12 8:40:01 PM,%RH,49.659
5/31/12 9:40:01 PM,%RH,44.582
5/31/12 10:40:01 PM,%RH,48.397
5/31/12 11:40:01 PM,%RH,60.197
6/1/12 12:40:01 AM,%RH,64.437
6/1/12 1:40:01 AM,%RH,81.955
6/1/12 2:40:01 AM,%RH,84.21
6/1/12 3:40:01 AM,%RH,85.889
6/1/12 4:40:01 AM,%RH,89.766
6/1/12 5:40:01 AM,%RH,89.766
6/1/12 6:40:01 AM,%RH,87.558
6/1/12 7:40:01 AM,%RH,85.889
6/1/12 8:40:01 AM,%RH,72.744
6/1/12 9:40:01 AM,%RH,76.233
6/1/12 10:40:01 AM,%RH,72.158
6/1/12 11:40:01 AM,%RH,49.029
6/1/12 12:40:01 PM,%RH,41.371
6/1/12 1:40:01 PM,%RH,40.078
6/1/12 2:40:01 PM,%RH,36.171
6/1/12 3:40:01 PM,%RH,33.543
6/1/12 4:40:01 PM,%RH,28.899
6/1/12 5:40:01 PM,%RH,28.23
6/1/12 6:40:01 PM,%RH,22.163
6/1/12 7:40:01 PM,%RH,27.561
6/1/12 8:40:01 PM,%RH,37.478
6/1/12 9:40:01 PM,%RH,49.029
6/1/12 10:40:01 PM,%RH,57.748
6/1/12 11:40:01 PM,%RH,62.021
6/2/12 12:40:01 AM,%RH,60.806
6/2/12 1:40:01 AM,%RH,65.638
6/2/12 2:40:01 AM,%RH,57.748
6/2/12 3:40:01 AM,%RH,60.806
6/2/12 4:40:01 AM,%RH,72.158
6/2/12 5:40:01 AM,%RH,77.387
6/2/12 6:40:01 AM,%RH,83.648
6/2/12 7:40:01 AM,%RH,83.085
6/2/12 8:40:01 AM,%RH,51.544
6/2/12 9:40:01 AM,%RH,26.89
6/2/12 10:40:01 AM,%RH,23.52
6/2/12 11:40:01 AM,%RH,26.89
6/2/12 12:40:01 PM,%RH,24.196
6/2/12 1:40:01 PM,%RH,19.436
6/2/12 2:40:01 PM,%RH,14.618
6/2/12 3:40:01 PM,%RH,16.69
6/2/12 4:40:01 PM,%RH,20.12
6/2/12 5:40:01 PM,%RH,17.379
6/2/12 6:40:01 PM,%RH,18.752
6/2/12 7:40:01 PM,%RH,20.802
6/2/12 8:40:01 PM,%RH,26.219
6/2/12 9:40:01 PM,%RH,34.86
6/2/12 10:40:01 PM,%RH,42.659
6/2/12 11:40:01 PM,%RH,36.825
6/3/12 12:40:01 AM,%RH,54.661
6/3/12 1:40:01 AM,%RH,58.362
6/3/12 2:40:01 AM,%RH,55.28
6/3/12 3:40:01 AM,%RH,47.764
6/3/12 4:40:01 AM,%RH,46.495
6/3/12 5:40:01 AM,%RH,51.544
6/3/12 6:40:01 AM,%RH,41.371
6/3/12 7:40:01 AM,%RH,40.078
6/3/12 8:40:01 AM,%RH,32.883
6/3/12 9:40:01 AM,%RH,22.842
6/3/12 10:40:01 AM,%RH,16.001
6/3/12 11:40:01 AM,%RH,15.31
6/3/12 12:40:01 PM,%RH,13.231
6/3/12 1:40:01 PM,%RH,12.536
6/3/12 2:40:01 PM,%RH,13.231
6/3/12 3:40:01 PM,%RH,15.31
6/3/12 4:40:01 PM,%RH,16.69
6/3/12 5:40:01 PM,%RH,14.618
6/3/12 6:40:01 PM,%RH,15.31
6/3/12 7:40:01 PM,%RH,18.066
6/3/12 8:40:01 PM,%RH,15.31
6/3/12 9:40:01 PM,%RH,24.872
6/3/12 10:40:01 PM,%RH,32.222
6/3/12 11:40:01 PM,%RH,36.171
6/4/12 12:40:01 AM,%RH,38.78
6/4/12 1:40:01 AM,%RH,39.43
6/4/12 2:40:01 AM,%RH,43.942
6/4/12 3:40:01 AM,%RH,42.659
6/4/12 4:40:01 AM,%RH,43.301
6/4/12 5:40:01 AM,%RH,49.029
6/4/12 6:40:01 AM,%RH,46.495
6/4/12 7:40:01 AM,%RH,46.495
6/4/12 8:40:01 AM,%RH,22.842
6/4/12 9:40:01 AM,%RH,11.84
6/4/12 10:40:01 AM,%RH,10.443
6/4/12 11:40:01 AM,%RH,10.443
6/4/12 12:40:01 PM,%RH,9.743
6/4/12 1:40:01 PM,%RH,10.443
6/4/12 2:40:01 PM,%RH,9.743
6/4/12 3:40:01 PM,%RH,9.743
6/4/12 4:40:01 PM,%RH,8.339
6/4/12 5:40:01 PM,%RH,8.339
6/4/12 6:40:01 PM,%RH,9.743
6/4/12 7:40:01 PM,%RH,10.443
6/4/12 8:40:01 PM,%RH,12.536
6/4/12 9:40:01 PM,%RH,18.752
6/4/12 10:40:01 PM,%RH,24.196
6/4/12 11:40:01 PM,%RH,38.13
6/5/12 12:40:01 AM,%RH,44.582
6/5/12 1:40:01 AM,%RH,51.544
6/5/12 2:40:01 AM,%RH,57.748
6/5/12 3:40:01 AM,%RH,60.806
6/5/12 4:40:01 AM,%RH,68.619
6/5/12 5:40:01 AM,%RH,71.571
6/5/12 6:40:01 AM,%RH,78.536
6/5/12 7:40:01 AM,%RH,76.233
6/5/12 8:40:01 AM,%RH,61.414
