1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 590000001498F241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Oct 06 10:27:01 CDT 2012
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Oct 06 10:27:01 CDT 2012
Total Mission Samples:  4096
Total Device Samples:  13918
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/6/12 10:27:01 AM,%RH,48.508
10/6/12 11:27:01 AM,%RH,25.897
10/6/12 12:27:01 PM,%RH,26.548
10/6/12 1:27:01 PM,%RH,30.426
10/6/12 2:27:01 PM,%RH,31.068
10/6/12 3:27:01 PM,%RH,27.846
10/6/12 4:27:01 PM,%RH,27.846
10/6/12 5:27:01 PM,%RH,28.493
10/6/12 6:27:01 PM,%RH,34.891
10/6/12 7:27:01 PM,%RH,63.788
10/6/12 8:27:01 PM,%RH,75.487
10/6/12 9:27:01 PM,%RH,67.189
10/6/12 10:27:01 PM,%RH,86.095
10/6/12 11:27:01 PM,%RH,100.552
10/7/12 12:27:01 AM,%RH,102.46
10/7/12 1:27:01 AM,%RH,102.46
10/7/12 2:27:01 AM,%RH,104.347
10/7/12 3:27:01 AM,%RH,105.283
10/7/12 4:27:01 AM,%RH,105.283
10/7/12 5:27:01 AM,%RH,105.749
10/7/12 6:27:01 AM,%RH,104.816
10/7/12 7:27:01 AM,%RH,104.816
10/7/12 8:27:01 AM,%RH,105.283
10/7/12 9:27:01 AM,%RH,101.031
10/7/12 10:27:01 AM,%RH,81.915
10/7/12 11:27:01 AM,%RH,68.872
10/7/12 12:27:01 PM,%RH,59.18
10/7/12 1:27:01 PM,%RH,46.079
10/7/12 2:27:01 PM,%RH,45.468
10/7/12 3:27:01 PM,%RH,39.292
10/7/12 4:27:01 PM,%RH,39.292
10/7/12 5:27:01 PM,%RH,40.538
10/7/12 6:27:01 PM,%RH,49.715
10/7/12 7:27:01 PM,%RH,53.303
10/7/12 8:27:01 PM,%RH,56.845
10/7/12 9:27:01 PM,%RH,47.296
10/7/12 10:27:01 PM,%RH,52.112
10/7/12 11:27:01 PM,%RH,52.708
10/8/12 12:27:01 AM,%RH,53.303
10/8/12 1:27:01 AM,%RH,53.303
10/8/12 2:27:01 AM,%RH,44.857
10/8/12 3:27:01 AM,%RH,44.244
10/8/12 4:27:01 AM,%RH,42.396
10/8/12 5:27:01 AM,%RH,47.903
10/8/12 6:27:01 AM,%RH,52.708
10/8/12 7:27:01 AM,%RH,46.688
10/8/12 8:27:01 AM,%RH,45.468
10/8/12 9:27:01 AM,%RH,34.891
10/8/12 10:27:01 AM,%RH,28.493
10/8/12 11:27:01 AM,%RH,31.708
10/8/12 12:27:01 PM,%RH,26.548
10/8/12 1:27:01 PM,%RH,31.708
10/8/12 2:27:01 PM,%RH,32.985
10/8/12 3:27:01 PM,%RH,30.426
10/8/12 4:27:01 PM,%RH,33.622
10/8/12 5:27:01 PM,%RH,36.785
10/8/12 6:27:01 PM,%RH,46.079
10/8/12 7:27:01 PM,%RH,50.916
10/8/12 8:27:01 PM,%RH,55.67
10/8/12 9:27:01 PM,%RH,55.08
10/8/12 10:27:01 PM,%RH,41.778
10/8/12 11:27:01 PM,%RH,39.915
10/9/12 12:27:01 AM,%RH,45.468
10/9/12 1:27:01 AM,%RH,44.857
10/9/12 2:27:01 AM,%RH,44.244
10/9/12 3:27:01 AM,%RH,48.508
10/9/12 4:27:01 AM,%RH,51.515
10/9/12 5:27:01 AM,%RH,53.303
10/9/12 6:27:01 AM,%RH,49.715
10/9/12 7:27:01 AM,%RH,41.159
10/9/12 8:27:01 AM,%RH,41.159
10/9/12 9:27:01 AM,%RH,31.708
10/9/12 10:27:01 AM,%RH,26.548
10/9/12 11:27:01 AM,%RH,24.592
10/9/12 12:27:01 PM,%RH,29.783
10/9/12 1:27:01 PM,%RH,24.592
10/9/12 2:27:01 PM,%RH,25.897
10/9/12 3:27:01 PM,%RH,19.981
10/9/12 4:27:01 PM,%RH,21.305
10/9/12 5:27:01 PM,%RH,23.281
10/9/12 6:27:01 PM,%RH,29.139
10/9/12 7:27:01 PM,%RH,32.985
10/9/12 8:27:01 PM,%RH,37.414
10/9/12 9:27:01 PM,%RH,39.292
10/9/12 10:27:01 PM,%RH,34.891
10/9/12 11:27:01 PM,%RH,34.891
10/10/12 12:27:01 AM,%RH,36.785
10/10/12 1:27:01 AM,%RH,38.041
10/10/12 2:27:01 AM,%RH,40.538
10/10/12 3:27:01 AM,%RH,41.159
10/10/12 4:27:01 AM,%RH,40.538
10/10/12 5:27:01 AM,%RH,44.244
10/10/12 6:27:01 AM,%RH,44.857
10/10/12 7:27:01 AM,%RH,49.112
10/10/12 8:27:01 AM,%RH,39.915
10/10/12 9:27:01 AM,%RH,34.891
10/10/12 10:27:01 AM,%RH,36.155
10/10/12 11:27:01 AM,%RH,33.622
10/10/12 12:27:01 PM,%RH,30.426
10/10/12 1:27:01 PM,%RH,32.985
10/10/12 2:27:01 PM,%RH,32.985
10/10/12 3:27:01 PM,%RH,32.347
10/10/12 4:27:01 PM,%RH,36.155
10/10/12 5:27:01 PM,%RH,42.396
10/10/12 6:27:01 PM,%RH,52.708
10/10/12 7:27:01 PM,%RH,60.34
10/10/12 8:27:01 PM,%RH,60.918
10/10/12 9:27:01 PM,%RH,69.431
10/10/12 10:27:01 PM,%RH,67.752
10/10/12 11:27:01 PM,%RH,74.398
10/11/12 12:27:01 AM,%RH,74.398
10/11/12 1:27:01 AM,%RH,78.188
10/11/12 2:27:01 AM,%RH,72.754
10/11/12 3:27:01 AM,%RH,66.061
10/11/12 4:27:01 AM,%RH,55.67
10/11/12 5:27:01 AM,%RH,50.316
10/11/12 6:27:01 AM,%RH,58.598
10/11/12 7:27:01 AM,%RH,62.644
10/11/12 8:27:01 AM,%RH,63.788
10/11/12 9:27:01 AM,%RH,54.489
10/11/12 10:27:01 AM,%RH,55.67
10/11/12 11:27:01 AM,%RH,42.396
10/11/12 12:27:01 PM,%RH,39.292
10/11/12 1:27:01 PM,%RH,41.159
10/11/12 2:27:01 PM,%RH,39.915
10/11/12 3:27:01 PM,%RH,40.538
10/11/12 4:27:01 PM,%RH,46.079
10/11/12 5:27:01 PM,%RH,46.079
10/11/12 6:27:01 PM,%RH,47.296
10/11/12 7:27:01 PM,%RH,55.08
10/11/12 8:27:01 PM,%RH,59.761
10/11/12 9:27:01 PM,%RH,62.07
