1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0800000014C0EA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Oct 06 17:37:01 CDT 2012
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Oct 06 17:37:01 CDT 2012
Total Mission Samples:  4096
Total Device Samples:  27459
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/6/12 5:37:01 PM,%RH,27.431
10/6/12 6:37:01 PM,%RH,54.484
10/6/12 7:37:01 PM,%RH,70.605
10/6/12 8:37:01 PM,%RH,81.6
10/6/12 9:37:01 PM,%RH,89.038
10/6/12 10:37:01 PM,%RH,100.297
10/6/12 11:37:01 PM,%RH,100.297
10/7/12 12:37:01 AM,%RH,102.287
10/7/12 1:37:01 AM,%RH,103.276
10/7/12 2:37:01 AM,%RH,104.751
10/7/12 3:37:01 AM,%RH,105.729
10/7/12 4:37:01 AM,%RH,105.729
10/7/12 5:37:01 AM,%RH,105.729
10/7/12 6:37:01 AM,%RH,104.751
10/7/12 7:37:01 AM,%RH,104.751
10/7/12 8:37:01 AM,%RH,103.276
10/7/12 9:37:01 AM,%RH,89.038
10/7/12 10:37:01 AM,%RH,75.606
10/7/12 11:37:01 AM,%RH,68.918
10/7/12 12:37:01 PM,%RH,59.758
10/7/12 1:37:01 PM,%RH,52.111
10/7/12 2:37:01 PM,%RH,41.22
10/7/12 3:37:01 PM,%RH,38.752
10/7/12 4:37:01 PM,%RH,35.018
10/7/12 5:37:01 PM,%RH,34.391
10/7/12 6:37:01 PM,%RH,39.988
10/7/12 7:37:01 PM,%RH,52.706
10/7/12 8:37:01 PM,%RH,68.354
10/7/12 9:37:01 PM,%RH,74.503
10/7/12 10:37:01 PM,%RH,76.706
10/7/12 11:37:01 PM,%RH,77.254
10/8/12 12:37:01 AM,%RH,73.949
10/8/12 1:37:01 AM,%RH,76.157
10/8/12 2:37:01 AM,%RH,81.6
10/8/12 3:37:01 AM,%RH,83.212
10/8/12 4:37:01 AM,%RH,82.138
