1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1C000000149C6741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Oct 06 15:55:01 CDT 2012
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Oct 06 15:55:01 CDT 2012
Total Mission Samples:  4096
Total Device Samples:  34356
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/6/12 3:55:01 PM,%RH,31.514
10/6/12 4:55:01 PM,%RH,31.514
10/6/12 5:55:01 PM,%RH,30.886
10/6/12 6:55:01 PM,%RH,53.926
10/6/12 7:55:01 PM,%RH,70.914
10/6/12 8:55:01 PM,%RH,73.642
10/6/12 9:55:01 PM,%RH,73.099
10/6/12 10:55:01 PM,%RH,90.911
10/6/12 11:55:01 PM,%RH,99.307
10/7/12 12:55:01 AM,%RH,100.272
10/7/12 1:55:01 AM,%RH,100.272
10/7/12 2:55:01 AM,%RH,102.189
10/7/12 3:55:01 AM,%RH,103.14
10/7/12 4:55:01 AM,%RH,102.665
10/7/12 5:55:01 AM,%RH,104.086
10/7/12 6:55:01 AM,%RH,103.614
10/7/12 7:55:01 AM,%RH,103.14
10/7/12 8:55:01 AM,%RH,103.14
10/7/12 9:55:01 AM,%RH,99.307
10/7/12 10:55:01 AM,%RH,67.601
10/7/12 11:55:01 AM,%RH,60.848
10/7/12 12:55:01 PM,%RH,59.706
10/7/12 1:55:01 PM,%RH,49.809
10/7/12 2:55:01 PM,%RH,41.403
10/7/12 3:55:01 PM,%RH,35.877
10/7/12 4:55:01 PM,%RH,39.572
10/7/12 5:55:01 PM,%RH,40.183
10/7/12 6:55:01 PM,%RH,42.011
10/7/12 7:55:01 PM,%RH,56.252
10/7/12 8:55:01 PM,%RH,56.252
10/7/12 9:55:01 PM,%RH,54.509
10/7/12 10:55:01 PM,%RH,54.509
10/7/12 11:55:01 PM,%RH,53.341
10/8/12 12:55:01 AM,%RH,52.168
10/8/12 1:55:01 AM,%RH,55.672
10/8/12 2:55:01 AM,%RH,49.809
10/8/12 3:55:01 AM,%RH,49.809
10/8/12 4:55:01 AM,%RH,50.401
10/8/12 5:55:01 AM,%RH,52.168
10/8/12 6:55:01 AM,%RH,48.622
10/8/12 7:55:01 AM,%RH,51.58
10/8/12 8:55:01 AM,%RH,49.216
10/8/12 9:55:01 AM,%RH,45.034
10/8/12 10:55:01 AM,%RH,31.514
10/8/12 11:55:01 AM,%RH,31.514
10/8/12 12:55:01 PM,%RH,32.141
10/8/12 1:55:01 PM,%RH,33.391
10/8/12 2:55:01 PM,%RH,31.514
10/8/12 3:55:01 PM,%RH,35.877
10/8/12 4:55:01 PM,%RH,36.496
10/8/12 5:55:01 PM,%RH,38.959
10/8/12 6:55:01 PM,%RH,44.432
10/8/12 7:55:01 PM,%RH,52.755
10/8/12 8:55:01 PM,%RH,53.926
10/8/12 9:55:01 PM,%RH,44.432
10/8/12 10:55:01 PM,%RH,38.345
10/8/12 11:55:01 PM,%RH,42.618
10/9/12 12:55:01 AM,%RH,43.224
10/9/12 1:55:01 AM,%RH,44.432
10/9/12 2:55:01 AM,%RH,46.235
10/9/12 3:55:01 AM,%RH,48.622
10/9/12 4:55:01 AM,%RH,50.991
10/9/12 5:55:01 AM,%RH,56.831
10/9/12 6:55:01 AM,%RH,52.755
10/9/12 7:55:01 AM,%RH,45.635
10/9/12 8:55:01 AM,%RH,45.635
10/9/12 9:55:01 AM,%RH,40.183
10/9/12 10:55:01 AM,%RH,30.256
10/9/12 11:55:01 AM,%RH,32.141
10/9/12 12:55:01 PM,%RH,27.727
10/9/12 1:55:01 PM,%RH,26.456
10/9/12 2:55:01 PM,%RH,26.456
10/9/12 3:55:01 PM,%RH,24.54
10/9/12 4:55:01 PM,%RH,25.18
10/9/12 5:55:01 PM,%RH,25.818
10/9/12 6:55:01 PM,%RH,27.727
10/9/12 7:55:01 PM,%RH,35.877
10/9/12 8:55:01 PM,%RH,37.73
10/9/12 9:55:01 PM,%RH,34.636
10/9/12 10:55:01 PM,%RH,33.391
10/9/12 11:55:01 PM,%RH,37.114
10/10/12 12:55:01 AM,%RH,38.959
10/10/12 1:55:01 AM,%RH,37.114
10/10/12 2:55:01 AM,%RH,37.73
10/10/12 3:55:01 AM,%RH,40.183
10/10/12 4:55:01 AM,%RH,41.403
10/10/12 5:55:01 AM,%RH,43.224
10/10/12 6:55:01 AM,%RH,47.431
10/10/12 7:55:01 AM,%RH,48.622
10/10/12 8:55:01 AM,%RH,51.58
10/10/12 9:55:01 AM,%RH,49.809
10/10/12 10:55:01 AM,%RH,37.114
10/10/12 11:55:01 AM,%RH,30.886
10/10/12 12:55:01 PM,%RH,32.141
10/10/12 1:55:01 PM,%RH,30.886
10/10/12 2:55:01 PM,%RH,32.141
10/10/12 3:55:01 PM,%RH,34.636
10/10/12 4:55:01 PM,%RH,35.258
