1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 55000000149BB341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Oct 06 15:20:01 CDT 2012
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Oct 06 15:20:01 CDT 2012
Total Mission Samples:  8192
Total Device Samples:  43578
Temperature Logging:  disabled
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/6/12 3:20:01 PM,%RH,30.134
10/6/12 3:50:01 PM,%RH,33.342
10/6/12 4:20:01 PM,%RH,30.778
10/6/12 4:50:01 PM,%RH,27.545
10/6/12 5:20:01 PM,%RH,31.421
10/6/12 5:50:01 PM,%RH,31.421
10/6/12 6:20:01 PM,%RH,33.342
10/6/12 6:50:01 PM,%RH,57.841
10/6/12 7:20:01 PM,%RH,69.319
10/6/12 7:50:01 PM,%RH,74.316
10/6/12 8:20:01 PM,%RH,78.671
10/6/12 8:50:01 PM,%RH,82.943
10/6/12 9:20:01 PM,%RH,87.132
10/6/12 9:50:01 PM,%RH,90.731
10/6/12 10:20:01 PM,%RH,94.266
10/6/12 10:50:01 PM,%RH,98.229
10/6/12 11:20:01 PM,%RH,98.229
10/6/12 11:50:01 PM,%RH,98.719
10/7/12 12:20:01 AM,%RH,98.719
10/7/12 12:50:01 AM,%RH,98.719
10/7/12 1:20:01 AM,%RH,99.207
10/7/12 1:50:01 AM,%RH,99.207
10/7/12 2:20:01 AM,%RH,100.18
10/7/12 2:50:01 AM,%RH,102.11
10/7/12 3:20:01 AM,%RH,102.589
10/7/12 3:50:01 AM,%RH,104.019
10/7/12 4:20:01 AM,%RH,103.544
10/7/12 4:50:01 AM,%RH,103.544
10/7/12 5:20:01 AM,%RH,104.019
10/7/12 5:50:01 AM,%RH,104.019
10/7/12 6:20:01 AM,%RH,103.544
10/7/12 6:50:01 AM,%RH,103.544
10/7/12 7:20:01 AM,%RH,103.544
10/7/12 7:50:01 AM,%RH,102.589
10/7/12 8:20:01 AM,%RH,102.589
10/7/12 8:50:01 AM,%RH,100.18
10/7/12 9:20:01 AM,%RH,99.207
10/7/12 9:50:01 AM,%RH,97.738
10/7/12 10:20:01 AM,%RH,94.266
10/7/12 10:50:01 AM,%RH,91.239
10/7/12 11:20:01 AM,%RH,78.671
10/7/12 11:50:01 AM,%RH,70.439
10/7/12 12:20:01 PM,%RH,58.427
10/7/12 12:50:01 PM,%RH,55.484
10/7/12 1:20:01 PM,%RH,50.105
10/7/12 1:50:01 PM,%RH,44.621
10/7/12 2:20:01 PM,%RH,37.148
10/7/12 2:50:01 PM,%RH,41.53
10/7/12 3:20:01 PM,%RH,40.908
10/7/12 3:50:01 PM,%RH,42.77
10/7/12 4:20:01 PM,%RH,40.284
10/7/12 4:50:01 PM,%RH,37.778
10/7/12 5:20:01 PM,%RH,42.77
10/7/12 5:50:01 PM,%RH,42.77
