1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4600000014989641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Oct 05 09:58:01 CDT 2012
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Oct 05 09:58:01 CDT 2012
Total Mission Samples:  4096
Total Device Samples:  34724
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/5/12 9:58:01 AM,%RH,36.107
10/5/12 10:58:01 AM,%RH,36.107
10/5/12 11:58:01 AM,%RH,36.107
10/5/12 12:58:01 PM,%RH,33.604
10/5/12 1:58:01 PM,%RH,31.084
10/5/12 2:58:01 PM,%RH,30.452
10/5/12 3:58:01 PM,%RH,34.232
10/5/12 4:58:01 PM,%RH,39.829
10/5/12 5:58:01 PM,%RH,40.445
10/5/12 6:58:01 PM,%RH,38.592
10/5/12 7:58:01 PM,%RH,40.445
10/5/12 8:58:01 PM,%RH,41.675
10/5/12 9:58:01 PM,%RH,42.9
10/5/12 10:58:01 PM,%RH,43.511
10/5/12 11:58:01 PM,%RH,47.154
10/6/12 12:58:01 AM,%RH,41.06
10/6/12 1:58:01 AM,%RH,42.9
10/6/12 2:58:01 AM,%RH,43.511
10/6/12 3:58:01 AM,%RH,45.944
10/6/12 4:58:01 AM,%RH,49.561
10/6/12 5:58:01 AM,%RH,42.9
10/6/12 6:58:01 AM,%RH,41.06
10/6/12 7:58:01 AM,%RH,37.352
10/6/12 8:58:01 AM,%RH,37.973
10/6/12 9:58:01 AM,%RH,34.858
10/6/12 10:58:01 AM,%RH,34.858
10/6/12 11:58:01 AM,%RH,34.858
10/6/12 12:58:01 PM,%RH,31.084
10/6/12 1:58:01 PM,%RH,37.352
10/6/12 2:58:01 PM,%RH,37.973
10/6/12 3:58:01 PM,%RH,43.511
10/6/12 4:58:01 PM,%RH,45.337
10/6/12 5:58:01 PM,%RH,46.55
10/6/12 6:58:01 PM,%RH,63.066
10/6/12 7:58:01 PM,%RH,66.495
10/6/12 8:58:01 PM,%RH,74.343
10/6/12 9:58:01 PM,%RH,70.445
10/6/12 10:58:01 PM,%RH,71.005
10/6/12 11:58:01 PM,%RH,66.495
10/7/12 12:58:01 AM,%RH,65.926
10/7/12 1:58:01 AM,%RH,76.546
10/7/12 2:58:01 AM,%RH,76.546
10/7/12 3:58:01 AM,%RH,81.978
10/7/12 4:58:01 AM,%RH,93.548
10/7/12 5:58:01 AM,%RH,95.085
10/7/12 6:58:01 AM,%RH,93.033
10/7/12 7:58:01 AM,%RH,98.129
10/7/12 8:58:01 AM,%RH,90.444
