1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 230000001492B441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Mar 30 16:28:01 CST 2013
Mission Sample Count:  3232
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Mar 30 16:28:01 CST 2013
Total Mission Samples:  3232
Total Device Samples:  41738
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/30/13 4:28:01 PM,%RH,13.933
3/30/13 5:28:01 PM,%RH,15.917
3/30/13 6:28:01 PM,%RH,16.577
3/30/13 7:28:01 PM,%RH,18.547
3/30/13 8:28:01 PM,%RH,19.201
3/30/13 9:28:01 PM,%RH,23.751
3/30/13 10:28:01 PM,%RH,30.786
3/30/13 11:28:01 PM,%RH,31.418
3/31/13 12:28:01 AM,%RH,36.439
3/31/13 1:28:01 AM,%RH,38.302
3/31/13 2:28:01 AM,%RH,38.921
3/31/13 3:28:01 AM,%RH,42.611
3/31/13 4:28:01 AM,%RH,42.611
3/31/13 5:28:01 AM,%RH,44.44
3/31/13 6:28:01 AM,%RH,43.222
3/31/13 7:28:01 AM,%RH,41.999
3/31/13 8:28:01 AM,%RH,28.881
3/31/13 9:28:01 AM,%RH,19.201
3/31/13 10:28:01 AM,%RH,23.104
3/31/13 11:28:01 AM,%RH,23.751
3/31/13 12:28:01 PM,%RH,27.605
3/31/13 1:28:01 PM,%RH,28.881
3/31/13 2:28:01 PM,%RH,28.244
3/31/13 3:28:01 PM,%RH,26.325
3/31/13 4:28:01 PM,%RH,25.683
3/31/13 5:28:01 PM,%RH,28.244
3/31/13 6:28:01 PM,%RH,34.565
3/31/13 7:28:01 PM,%RH,44.44
3/31/13 8:28:01 PM,%RH,55.786
3/31/13 9:28:01 PM,%RH,62.165
3/31/13 10:28:01 PM,%RH,66.717
3/31/13 11:28:01 PM,%RH,70.64
4/1/13 12:28:01 AM,%RH,72.857
4/1/13 1:28:01 AM,%RH,76.147
4/1/13 2:28:01 AM,%RH,75.602
4/1/13 3:28:01 AM,%RH,78.858
4/1/13 4:28:01 AM,%RH,81.539
4/1/13 5:28:01 AM,%RH,88.896
4/1/13 6:28:01 AM,%RH,89.929
4/1/13 7:28:01 AM,%RH,77.235
4/1/13 8:28:01 AM,%RH,45.047
4/1/13 9:28:01 AM,%RH,30.786
4/1/13 10:28:01 AM,%RH,28.881
4/1/13 11:28:01 AM,%RH,25.04
4/1/13 12:28:01 PM,%RH,22.456
4/1/13 1:28:01 PM,%RH,17.234
4/1/13 2:28:01 PM,%RH,15.917
4/1/13 3:28:01 PM,%RH,16.577
4/1/13 4:28:01 PM,%RH,15.257
4/1/13 5:28:01 PM,%RH,19.855
4/1/13 6:28:01 PM,%RH,17.234
4/1/13 7:28:01 PM,%RH,22.456
