1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0800000014C0EA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Mar 29 18:50:01 CST 2013
Mission Sample Count:  3262
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Mar 29 18:50:01 CST 2013
Total Mission Samples:  3262
Total Device Samples:  30723
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/29/13 6:50:01 PM,%RH,17.729
3/29/13 7:50:01 PM,%RH,20.99
3/29/13 8:50:01 PM,%RH,25.511
3/29/13 9:50:01 PM,%RH,26.152
3/29/13 10:50:01 PM,%RH,30.611
3/29/13 11:50:01 PM,%RH,29.343
3/30/13 12:50:01 AM,%RH,27.431
3/30/13 1:50:01 AM,%RH,29.343
3/30/13 2:50:01 AM,%RH,33.136
3/30/13 3:50:01 AM,%RH,39.371
3/30/13 4:50:01 AM,%RH,39.988
3/30/13 5:50:01 AM,%RH,39.371
3/30/13 6:50:01 AM,%RH,39.988
3/30/13 7:50:01 AM,%RH,24.225
3/30/13 8:50:01 AM,%RH,15.101
3/30/13 9:50:01 AM,%RH,15.101
3/30/13 10:50:01 AM,%RH,15.759
3/30/13 11:50:01 AM,%RH,15.759
3/30/13 12:50:01 PM,%RH,15.101
3/30/13 1:50:01 PM,%RH,14.441
3/30/13 2:50:01 PM,%RH,13.118
3/30/13 3:50:01 PM,%RH,16.417
3/30/13 4:50:01 PM,%RH,17.074
3/30/13 5:50:01 PM,%RH,14.441
3/30/13 6:50:01 PM,%RH,17.729
3/30/13 7:50:01 PM,%RH,18.384
3/30/13 8:50:01 PM,%RH,22.287
3/30/13 9:50:01 PM,%RH,27.431
3/30/13 10:50:01 PM,%RH,29.343
3/30/13 11:50:01 PM,%RH,31.876
3/31/13 12:50:01 AM,%RH,34.391
3/31/13 1:50:01 AM,%RH,32.506
3/31/13 2:50:01 AM,%RH,35.018
3/31/13 3:50:01 AM,%RH,38.132
3/31/13 4:50:01 AM,%RH,38.752
3/31/13 5:50:01 AM,%RH,36.89
3/31/13 6:50:01 AM,%RH,38.132
3/31/13 7:50:01 AM,%RH,34.391
3/31/13 8:50:01 AM,%RH,22.287
3/31/13 9:50:01 AM,%RH,20.34
3/31/13 10:50:01 AM,%RH,23.58
3/31/13 11:50:01 AM,%RH,25.511
3/31/13 12:50:01 PM,%RH,30.611
3/31/13 1:50:01 PM,%RH,29.343
3/31/13 2:50:01 PM,%RH,29.978
3/31/13 3:50:01 PM,%RH,24.868
3/31/13 4:50:01 PM,%RH,26.792
3/31/13 5:50:01 PM,%RH,31.244
3/31/13 6:50:01 PM,%RH,39.371
3/31/13 7:50:01 PM,%RH,50.32
3/31/13 8:50:01 PM,%RH,58.594
3/31/13 9:50:01 PM,%RH,63.226
3/31/13 10:50:01 PM,%RH,64.945
3/31/13 11:50:01 PM,%RH,65.516
4/1/13 12:50:01 AM,%RH,64.945
4/1/13 1:50:01 AM,%RH,71.165
4/1/13 2:50:01 AM,%RH,73.394
4/1/13 3:50:01 AM,%RH,71.724
4/1/13 4:50:01 AM,%RH,73.949
4/1/13 5:50:01 AM,%RH,79.436
4/1/13 6:50:01 AM,%RH,83.747
4/1/13 7:50:01 AM,%RH,47.917
4/1/13 8:50:01 AM,%RH,39.988
4/1/13 9:50:01 AM,%RH,33.764
4/1/13 10:50:01 AM,%RH,31.244
4/1/13 11:50:01 AM,%RH,25.511
4/1/13 12:50:01 PM,%RH,24.225
4/1/13 1:50:01 PM,%RH,20.34
4/1/13 2:50:01 PM,%RH,15.759
4/1/13 3:50:01 PM,%RH,19.037
4/1/13 4:50:01 PM,%RH,19.689
4/1/13 5:50:01 PM,%RH,23.58
4/1/13 6:50:01 PM,%RH,20.34
4/1/13 7:50:01 PM,%RH,26.152
4/1/13 8:50:01 PM,%RH,31.876
4/1/13 9:50:01 PM,%RH,62.651
4/1/13 10:50:01 PM,%RH,58.594
4/1/13 11:50:01 PM,%RH,59.758
4/2/13 12:50:01 AM,%RH,56.252
4/2/13 1:50:01 AM,%RH,59.758
4/2/13 2:50:01 AM,%RH,67.789
4/2/13 3:50:01 AM,%RH,81.6
4/2/13 4:50:01 AM,%RH,62.651
4/2/13 5:50:01 AM,%RH,66.654
4/2/13 6:50:01 AM,%RH,79.978
4/2/13 7:50:01 AM,%RH,53.892
4/2/13 8:50:01 AM,%RH,42.447
4/2/13 9:50:01 AM,%RH,36.267
4/2/13 10:50:01 AM,%RH,29.343
4/2/13 11:50:01 AM,%RH,26.152
4/2/13 12:50:01 PM,%RH,20.99
4/2/13 1:50:01 PM,%RH,25.511
4/2/13 2:50:01 PM,%RH,27.431
4/2/13 3:50:01 PM,%RH,40.605
4/2/13 4:50:01 PM,%RH,30.611
4/2/13 5:50:01 PM,%RH,39.371
4/2/13 6:50:01 PM,%RH,49.121
4/2/13 7:50:01 PM,%RH,65.516
4/2/13 8:50:01 PM,%RH,75.055
4/2/13 9:50:01 PM,%RH,82.675
4/2/13 10:50:01 PM,%RH,96.771
4/2/13 11:50:01 PM,%RH,96.771
4/3/13 12:50:01 AM,%RH,100.796
4/3/13 1:50:01 AM,%RH,101.294
4/3/13 2:50:01 AM,%RH,102.287
4/3/13 3:50:01 AM,%RH,103.769
4/3/13 4:50:01 AM,%RH,103.769
4/3/13 5:50:01 AM,%RH,104.751
4/3/13 6:50:01 AM,%RH,103.276
4/3/13 7:50:01 AM,%RH,99.295
4/3/13 8:50:01 AM,%RH,75.606
4/3/13 9:50:01 AM,%RH,59.758
4/3/13 10:50:01 AM,%RH,54.484
4/3/13 11:50:01 AM,%RH,48.52
4/3/13 12:50:01 PM,%RH,33.764
4/3/13 1:50:01 PM,%RH,30.611
4/3/13 2:50:01 PM,%RH,27.431
4/3/13 3:50:01 PM,%RH,26.152
4/3/13 4:50:01 PM,%RH,26.792
4/3/13 5:50:01 PM,%RH,35.018
4/3/13 6:50:01 PM,%RH,51.515
4/3/13 7:50:01 PM,%RH,63.8
4/3/13 8:50:01 PM,%RH,72.839
4/3/13 9:50:01 PM,%RH,72.839
4/3/13 10:50:01 PM,%RH,76.706
4/3/13 11:50:01 PM,%RH,81.6
4/4/13 12:50:01 AM,%RH,76.157
4/4/13 1:50:01 AM,%RH,75.606
4/4/13 2:50:01 AM,%RH,66.086
4/4/13 3:50:01 AM,%RH,55.074
4/4/13 4:50:01 AM,%RH,56.252
4/4/13 5:50:01 AM,%RH,47.917
4/4/13 6:50:01 AM,%RH,53.892
4/4/13 7:50:01 AM,%RH,36.267
4/4/13 8:50:01 AM,%RH,29.343
4/4/13 9:50:01 AM,%RH,23.58
4/4/13 10:50:01 AM,%RH,22.934
4/4/13 11:50:01 AM,%RH,20.99
4/4/13 12:50:01 PM,%RH,19.037
4/4/13 1:50:01 PM,%RH,17.729
4/4/13 2:50:01 PM,%RH,16.417
4/4/13 3:50:01 PM,%RH,13.118
4/4/13 4:50:01 PM,%RH,15.101
4/4/13 5:50:01 PM,%RH,20.99
4/4/13 6:50:01 PM,%RH,25.511
4/4/13 7:50:01 PM,%RH,31.244
4/4/13 8:50:01 PM,%RH,35.643
4/4/13 9:50:01 PM,%RH,39.988
4/4/13 10:50:01 PM,%RH,37.512
4/4/13 11:50:01 PM,%RH,38.132
4/5/13 12:50:01 AM,%RH,43.06
4/5/13 1:50:01 AM,%RH,41.22
4/5/13 2:50:01 AM,%RH,41.22
4/5/13 3:50:01 AM,%RH,39.988
4/5/13 4:50:01 AM,%RH,38.752
4/5/13 5:50:01 AM,%RH,38.132
4/5/13 6:50:01 AM,%RH,39.988
4/5/13 7:50:01 AM,%RH,36.89
4/5/13 8:50:01 AM,%RH,28.707
4/5/13 9:50:01 AM,%RH,25.511
4/5/13 10:50:01 AM,%RH,24.225
4/5/13 11:50:01 AM,%RH,22.287
4/5/13 12:50:01 PM,%RH,19.037
4/5/13 1:50:01 PM,%RH,20.34
4/5/13 2:50:01 PM,%RH,15.759
4/5/13 3:50:01 PM,%RH,15.101
4/5/13 4:50:01 PM,%RH,16.417
4/5/13 5:50:01 PM,%RH,18.384
4/5/13 6:50:01 PM,%RH,20.34
4/5/13 7:50:01 PM,%RH,21.639
4/5/13 8:50:01 PM,%RH,22.287
4/5/13 9:50:01 PM,%RH,24.868
4/5/13 10:50:01 PM,%RH,24.225
4/5/13 11:50:01 PM,%RH,26.792
4/6/13 12:50:01 AM,%RH,25.511
4/6/13 1:50:01 AM,%RH,25.511
4/6/13 2:50:01 AM,%RH,27.431
4/6/13 3:50:01 AM,%RH,26.792
4/6/13 4:50:01 AM,%RH,27.431
4/6/13 5:50:01 AM,%RH,26.152
4/6/13 6:50:01 AM,%RH,31.876
4/6/13 7:50:01 AM,%RH,22.934
4/6/13 8:50:01 AM,%RH,20.99
4/6/13 9:50:01 AM,%RH,20.99
4/6/13 10:50:01 AM,%RH,20.99
4/6/13 11:50:01 AM,%RH,19.037
4/6/13 12:50:01 PM,%RH,15.759
4/6/13 1:50:01 PM,%RH,13.118
4/6/13 2:50:01 PM,%RH,13.78
4/6/13 3:50:01 PM,%RH,13.118
4/6/13 4:50:01 PM,%RH,10.459
4/6/13 5:50:01 PM,%RH,11.125
4/6/13 6:50:01 PM,%RH,12.455
4/6/13 7:50:01 PM,%RH,12.455
4/6/13 8:50:01 PM,%RH,17.074
4/6/13 9:50:01 PM,%RH,20.34
4/6/13 10:50:01 PM,%RH,24.868
4/6/13 11:50:01 PM,%RH,27.431
4/7/13 12:50:01 AM,%RH,29.978
4/7/13 1:50:01 AM,%RH,25.511
4/7/13 3:50:01 AM,%RH,24.868
4/7/13 4:50:01 AM,%RH,26.152
4/7/13 5:50:01 AM,%RH,27.431
4/7/13 6:50:01 AM,%RH,25.511
4/7/13 7:50:01 AM,%RH,29.343
4/7/13 8:50:01 AM,%RH,20.99
4/7/13 9:50:01 AM,%RH,19.037
4/7/13 10:50:01 AM,%RH,17.729
4/7/13 11:50:01 AM,%RH,16.417
4/7/13 12:50:01 PM,%RH,13.118
4/7/13 1:50:01 PM,%RH,12.455
4/7/13 2:50:01 PM,%RH,13.78
4/7/13 3:50:01 PM,%RH,12.455
4/7/13 4:50:01 PM,%RH,11.791
4/7/13 5:50:01 PM,%RH,10.459
4/7/13 6:50:01 PM,%RH,13.78
4/7/13 7:50:01 PM,%RH,13.118
4/7/13 8:50:01 PM,%RH,17.729
4/7/13 9:50:01 PM,%RH,21.639
4/7/13 10:50:01 PM,%RH,22.934
4/7/13 11:50:01 PM,%RH,24.225
4/8/13 12:50:01 AM,%RH,26.152
4/8/13 1:50:01 AM,%RH,27.431
4/8/13 2:50:01 AM,%RH,24.868
4/8/13 3:50:01 AM,%RH,23.58
4/8/13 4:50:01 AM,%RH,25.511
4/8/13 5:50:01 AM,%RH,29.978
